,W-0,R-0,R-1,R-2,R-3,R-4,
131485303064,6613,13906,5159,6854,7145,9609,
131485803064,3772,12848,5318,4980,8140,11039,
131486803064,3763,1578,3211,4859,7042,8924,
131487803064,3762,12629,2903,4928,7021,9048,
131488803064,3744,1595,2895,5290,7098,9132,
131492303064,4809,12305,3157,5034,7089,9099,
131492803064,3713,12722,3191,4908,6864,9047,
131493803064,3888,12385,13901,4926,18102,8806,
131497803064,4004,12696,3332,5063,7193,9285,
131500303064,3974,12491,3049,4909,6933,9169,
131501303064,4601,1548,13765,5079,6836,8811,
131502803064,3870,1514,3017,4861,7049,8849,
131503303064,3445,11903,3187,4778,6757,9027,
131503803064,4463,12767,3077,5033,7023,9173,
131506803064,3806,12718,3274,5059,7198,9051,
131507303064,3452,12196,2910,4864,6831,8997,
131507803064,2547,12152,3116,6044,6981,8855,
131508303064,3475,1552,3108,4902,7094,9066,
131509303064,5252,12117,14073,5027,6861,9156,
131512303064,3655,1525,2894,4888,6791,8821,
131514303064,3770,1502,2929,4869,6978,9577,
131514803064,4547,12542,13866,4914,6915,8797,
131515303064,3728,12541,3094,4913,7070,8923,
131516803064,5151,12724,25340,16606,18241,8902,
131517303064,3716,1580,15133,4996,7302,8816,
131519803064,2754,12093,3035,5034,6803,8787,
131520803064,3992,12256,3117,4919,7181,9287,
131521303064,3596,12437,3116,4991,7099,9011,
131523303064,4642,12147,14071,4875,6889,9046,
131524303064,4160,12170,2811,5097,6913,8822,
131524803064,3153,12045,2886,4975,7143,8843,
131525803064,4473,1698,3232,4834,6862,8817,
131526803064,4306,1841,2975,58306,7065,20435,
131527303064,3654,12099,3141,4896,7001,8817,
131528803064,4667,12101,14008,5088,6806,8889,
131530303064,3632,12573,3208,5013,6895,9169,
131530803064,8085,17500,7509,7139,6874,9140,
131533303064,3978,12552,2846,5007,7183,8862,
131533803064,3245,11894,3072,4899,6887,8858,
131534303064,3681,12015,2978,4793,6992,8895,
131535303064,4538,11927,3244,4901,6882,8926,
131535803064,5262,12303,3077,4994,7184,8868,
131536303064,3257,11894,3233,4985,6882,9131,
131537803064,5176,13713,3406,5121,18001,8835,
131538303064,3550,12075,3164,5021,6787,8783,
131539303064,4345,3801,3985,4766,6889,8826,
131539803064,4067,22707,16364,5002,6875,19677,
131540803064,5194,12533,14086,4900,7117,8924,
131541303064,10930,12356,14103,16186,17764,8784,
131541803064,4490,12153,3291,4988,6850,9092,
131542303064,3759,1235,2821,5144,7144,8813,
