,W-0,R-0,R-1,R-2,R-3,R-4,
132083732513,10718,12557,3138,5109,7115,9145,
132084232513,95222,12323,2938,5188,7095,8999,
132085232513,5347,12335,3063,5033,6871,9181,
132086232513,4115,12223,3241,5061,7356,8906,
132087232513,3178,12315,2985,4887,6908,8883,
132090732513,4148,11916,2841,5008,7018,9037,
132091232513,4593,12161,2921,4847,7032,9008,
132092232513,5142,1534,3076,4889,7670,9222,
132096232513,53047,1585,2944,5102,7141,9163,
132098732513,3881,1463,2907,4944,6976,8994,
132099732513,4772,1449,3327,5209,6851,8867,
132101232513,9328,17483,17012,17907,6887,9009,
132101732513,78597,11818,2954,4858,6773,8841,
132102232513,4188,12401,2932,4945,6884,8989,
132105232513,3748,1482,2902,5111,7077,9106,
132105732513,5237,1636,2879,4901,6917,8879,
132106232513,3815,1864,3271,5043,6879,8783,
132106732513,4122,1518,3216,5006,6829,8948,
132107732513,3793,1668,2778,4769,6748,8937,
132110732513,4874,1834,2895,5266,6937,9110,
132112732513,3603,1590,2858,4838,6761,8856,
132113232513,4077,1622,2760,4881,6906,8815,
132113732513,10673,11845,2900,4999,6819,8759,
132115232513,49187,1620,2935,4895,6906,8957,
132115732513,3729,1528,3091,5043,7452,9098,
132118232513,4191,2563,3408,5816,6845,8832,
132119232513,5298,12127,3223,5054,7098,9089,
132119732513,5184,1424,2926,4927,6840,8746,
132121732513,3699,11961,2837,4703,6909,8850,
132122732513,3686,1646,2952,4801,6945,8843,
132123232513,3733,1591,3155,5023,6870,9076,
132124232513,3677,1615,2768,5410,6874,9382,
132125232513,3703,1302,2861,5067,6857,8905,
132125732513,3879,1572,2865,4816,6868,8875,
132127232513,3694,11878,2903,4764,6704,8755,
132128732513,4001,12127,2796,4794,6903,8860,
132129232513,4139,12108,3274,5075,6936,8792,
132131732513,5211,1579,2832,4941,6913,8865,
132132232513,3779,1655,3084,4983,6813,8855,
132132732513,3690,1374,2824,4994,6775,8750,
132133732513,3684,1667,2779,4793,6792,8851,
132134232513,5136,1640,2933,4933,6846,8854,
132134732513,5922,1669,3089,5150,6842,8781,
132136232513,3411,1737,2790,4822,7027,9001,
132136732513,4127,12011,2958,4935,6816,8763,
132137732513,3754,1570,2767,4977,7058,9069,
132138232513,3990,11911,3312,4850,6882,8938,
132139232513,3704,11965,3035,4980,6841,8764,
132139732513,3829,1723,2791,4777,6780,8709,
132140232513,3630,1448,2868,4875,6775,8743,
132140732513,4169,1799,2879,4969,6767,8844,
132142232513,4054,11992,2792,4784,6698,8746,
132144232513,3731,1716,2993,4894,6842,8797,
132145232513,3684,11709,3000,4792,6883,8835,
132145732513,206421,1334,2837,4693,6755,8843,
132146232513,5355,1858,2840,5039,6873,8742,
132146732513,3662,1432,2820,4836,6948,8798,
132148232513,4937,1667,2910,4829,7046,8812,
132150732513,5186,1965,2961,4776,6810,8755,
132151232513,3693,1624,2903,4800,6710,8754,
132151732513,3946,11798,3131,4815,8032,8842,
132152732513,4004,12244,2756,4862,6748,8787,
132153732513,3661,1334,2880,4805,6831,8737,
132154232513,5750,1947,2926,4890,6808,8758,
132154732513,10745,1972,2994,4899,6740,8760,
132155232513,6074,2696,3277,5169,6895,8960,
132156232513,14945,1787,2878,4743,6777,8805,
132157732513,6608,1372,3036,5130,6979,8791,
132158232513,3816,1675,2826,4968,6837,8899,
132158732513,3737,1336,2798,5141,6858,8936,
132159232513,3628,1453,2813,4805,6891,8818,
132160732513,9735,2010,3042,4826,6912,8740,
132161732513,3486,1824,3053,6442,7001,9290,
132162232513,3649,1396,2828,4983,6761,8824,
132162732513,4585,1652,3014,5045,6934,8932,
132163232513,4630,1696,2853,4880,6774,8841,
132164232513,3635,1593,2822,4933,6801,8835,
132164732513,11951,1297,3045,5115,7004,9110,
132168732513,3194,11734,2865,4794,6810,9043,
132169232513,3214,11727,2865,4717,6773,8881,
132171232513,3609,1413,2844,4771,6717,8793,
132171732513,12478,1650,2997,4841,6905,8952,
132172232513,5122,1751,2753,4797,6808,8755,
132172732513,3738,1613,2711,4722,6874,8777,
132174232513,3229,1393,2815,4867,7151,9072,
132175232513,3706,1594,2971,4881,6779,8783,
132177732513,5056,1799,2913,5468,6965,9472,
132178232513,3685,1569,2938,4873,6764,8693,
132178732513,3389,12121,3096,5130,6840,8837,
132179232513,3569,1403,3039,4892,6742,8819,
132180232513,4474,12432,2976,5048,7034,8742,
132180732513,3464,1404,2876,4971,6830,8680,
132181232513,3721,1434,2861,4967,6774,8891,
132184732513,4422,1767,3027,4838,6852,8999,
132185232513,4033,11750,2851,4705,6712,8705,
132186232513,3758,11778,2854,4795,6862,8803,
132188732513,3637,1715,2986,4984,6735,8727,
132189232513,3611,1483,3015,4865,6824,8793,
132190732513,3757,1731,3087,4857,6761,8757,
132191732513,85381,1675,2901,4854,6825,8887,
132192232513,3163,1472,2949,4791,6905,9102,
132192732513,4568,12410,2944,4970,6873,8752,
132193732513,11719,1738,2856,5076,7099,8792,
132194732513,5427,12198,2889,4971,6767,9059,
132195732513,4421,11892,2789,4987,6872,8709,
132197232513,11915,1349,3173,4863,6778,8815,
132197732513,3891,1452,2950,4841,6871,8836,
132198732513,5126,1706,2768,4814,6817,8866,
132199232513,4078,1447,2979,5036,6756,9009,
132199732513,4163,1999,3141,5006,7023,8761,
132200232513,3646,1340,2998,4946,6848,8729,
132201232513,3663,11838,3169,4855,6740,8839,
132202232513,3786,1669,3051,4936,6767,8688,
132202732513,3040,11644,2772,4734,6663,8672,
132203232513,3654,1622,3177,4725,6837,8711,
132203732513,5227,1754,2902,5008,6937,8778,
132206232513,5085,1615,2808,4842,6760,8772,
132206732513,3615,1418,2879,4789,6737,8757,
132208732513,3767,1578,2836,4782,6907,8937,
132209232513,3598,1267,2812,4795,6676,8648,
132209732513,6543,13701,3321,4776,6809,8946,
132210732513,4129,1758,3051,4869,6832,8731,
132211232513,5083,1637,2702,4703,6831,8785,
132215232513,6150,12247,3122,4996,6854,8704,
132215732513,3811,12699,2942,4855,6875,8862,
132216732513,3613,1562,2754,4849,6838,8888,
132219232513,3661,1593,2845,4755,8979,9374,
132220232513,3540,1393,3060,4939,7196,9723,
132221232513,3750,1676,2927,4827,6694,9143,
132223232513,5132,11959,2918,4946,6937,8874,
132223732513,3738,1481,2951,4801,6797,8844,
132224232513,4692,1464,2752,4855,6844,8776,
132224732513,4165,12027,2836,4785,6937,8879,
132225732513,3624,1638,2867,4820,6789,8673,
132226232513,3579,1379,2760,4880,6807,8826,
132226732513,96294,1486,2918,4850,6699,8790,
132227732513,3623,1379,2986,5209,6710,8728,
