,W-0,R-0,R-1,R-2,R-3,R-4,
133275665340,6939,2121,3965,7459,7222,8904,
133276165340,3870,11952,3128,5034,6909,8994,
133277165340,3884,1833,3063,5230,7070,8989,
133278165340,3526,1392,3108,4864,7219,9365,
133279165340,3858,11926,2939,4916,6935,9106,
133282665340,3972,1510,3019,4894,6931,9226,
133283165340,10125,1450,2994,5397,6871,8872,
133284165340,13572,12258,3215,5132,6908,9082,
133288165340,3828,1441,2938,5324,6874,8943,
133290665340,3136,1279,2908,4897,6833,8837,
133291665340,3858,11928,3003,4944,6923,8951,
133293165340,3623,1537,2973,4884,6929,8957,
133293665340,3983,12438,3095,4823,6964,8854,
133294165340,3650,1571,3139,4949,6886,8890,
133297165340,3997,1448,2871,4893,6930,8873,
133297665340,3778,1738,2887,8642,9007,9137,
133298165340,3805,1358,3026,4919,6910,8853,
133298665340,3891,1750,3217,4983,6983,8946,
133299665340,4011,1498,3007,4926,6826,8825,
133302665340,4002,1801,3088,4860,6808,8888,
133304665340,7920,1626,2995,5038,6933,10943,
133305165340,3816,11823,2998,4839,7028,8852,
133305665340,3987,1450,3105,5022,7348,8874,
133307165340,70486,2109,3600,5193,6974,9069,
133307665340,4220,1533,3583,5036,6817,8815,
133310165340,3980,1618,3041,4950,6888,8891,
133311165340,3961,1382,2854,5290,6994,9095,
133311665340,12832,9435,9107,5501,7928,8941,
133313665340,5256,12362,2957,4865,6837,8852,
133314665340,3920,12186,3123,5156,6945,8852,
133315165340,3659,1393,3030,4941,6936,8916,
133316165340,4811,1751,2902,5099,6826,8819,
133317165340,6112,1649,3541,5147,7019,8940,
133317665340,3839,1631,3063,5122,6971,8869,
133319165340,3759,1697,3031,5131,6986,8964,
133320665340,3501,1377,3021,4857,6935,8885,
133321165340,3880,11958,3061,4914,6916,8869,
133323665340,3301,1492,2999,4898,7004,8933,
133324165340,14425,12024,2923,4841,6871,8853,
133324665340,3467,11979,3210,5138,7048,8975,
133325665340,3828,1528,2909,5007,6891,8855,
133326165340,3970,11907,3234,4938,6873,8844,
133326665340,5281,2792,3066,5099,7053,8947,
133328165340,6226,1347,2984,5105,7132,9143,
133328665340,3853,1389,2920,4952,6849,8914,
133329665340,5460,1527,2906,5047,6881,8816,
133330165340,3835,1467,3177,4913,6875,8904,
133331165340,5381,1657,2987,5204,6965,8974,
133331665340,3986,12295,2818,5025,6939,8977,
133332165340,3769,1611,2804,4824,7280,8830,
133332665340,6769,1464,3075,5028,7225,9006,
133334165340,6616,1721,3055,5104,6871,8847,
133336165340,3543,1359,3012,4835,6810,8813,
133337165340,4011,1784,2854,5159,6776,8863,
133337665340,3948,11772,2854,4929,6953,8912,
133338165340,300000,1755,2904,4963,6872,8825,
133338665340,5072,1467,2854,4847,6852,8787,
133340165340,97072,12131,2895,4856,7939,8850,
133342665340,3762,1375,2986,4874,7103,8967,
133343165340,3605,1478,3132,4845,6933,8857,
133343665340,5859,1632,2894,4949,6916,8845,
133344665340,4225,1541,3206,5234,7018,8956,
133345665340,3777,1812,2924,4993,6915,8894,
133346165340,4065,1815,3167,4995,7036,8844,
133346665340,3839,1761,2982,4940,6827,8923,
133347165340,3788,1707,2926,4817,6862,8961,
133348165340,3459,1701,3177,4855,6816,8842,
133349665340,13417,1643,2983,4867,6803,8828,
133350165340,3921,1434,3066,4851,7045,8864,
133350665340,3953,1503,3134,4913,6848,8861,
133351165340,4218,12034,2934,4940,6841,8772,
133352665340,9846,1979,3556,4988,6922,8935,
133353665340,4014,1486,3636,4899,6910,9011,
133354165340,3874,12790,2938,4955,6883,8876,
133354665340,3738,1472,2939,4851,7004,8857,
133355165340,50119,1435,2957,5427,6868,8858,
133356165340,3749,1606,2792,4793,6844,8827,
133356665340,4973,1438,2908,5285,6929,9016,
133360665340,3553,1406,2917,4804,6780,8774,
133361165340,3708,1431,2913,4894,6840,8868,
133363165340,3699,1467,3111,4809,6810,8776,
133363665340,3853,1634,3040,4912,6886,9002,
133364165340,4534,1852,2908,5105,6886,8877,
133364665340,3696,1234,2909,4855,6890,8980,
133366165340,13973,1316,3057,4907,6847,8859,
133367165340,4907,1710,4638,5196,7046,8893,
133369665340,3515,1403,2972,4958,6799,8811,
133370165340,9106,1248,2929,5031,6877,9015,
133370665340,3302,1605,3040,4771,6789,9369,
133371165340,3254,11817,3024,5984,7652,8964,
133372165340,3873,1577,2855,4900,6807,8874,
133372665340,3263,1526,3047,4851,7067,9155,
133373165340,4224,11827,3047,5345,6817,8803,
133376665340,54949,12006,2899,4891,6922,8894,
133377165340,3697,1574,2833,4880,6853,8846,
133378165340,3786,1533,2936,4948,6824,8795,
133380665340,4511,12400,3077,4916,7000,8860,
133381165340,3442,1359,2847,4863,6786,8808,
133382665340,3613,1415,3354,4839,6836,8851,
133383665340,3553,1235,3357,4692,6770,8718,
133384165340,3855,1411,3077,4904,6884,8845,
133384665340,3450,1312,2819,4899,6849,8815,
133385665340,3553,1474,2898,5000,6939,8899,
133386665340,3494,1390,2980,5025,6957,8916,
133387665340,3653,1508,2801,4879,6810,8789,
133389165340,3775,1397,3011,5053,6789,8798,
133389665340,4417,1988,2868,4778,6794,8942,
133390665340,3604,11778,2893,4907,6807,8842,
133391165340,3905,11763,3040,5213,6885,8886,
133391665340,3552,1489,2969,4985,6823,9019,
133392165340,4627,1535,2837,4830,6813,8873,
133393165340,109819,1408,3863,4819,6828,8767,
133394165340,3835,1512,3173,4902,6996,9171,
133394665340,4172,12020,2723,4898,6805,8792,
133395165340,3571,1400,2974,5015,7238,8882,
133395665340,3937,1473,3079,5049,6824,8801,
133398165340,3531,1416,2864,4779,6812,8749,
133398665340,4839,1535,3021,4997,6855,8844,
133400665340,3442,1347,2943,4822,6780,8781,
133401165340,3862,1804,2853,4854,6769,8865,
133401665340,5149,11765,2860,4916,6830,8845,
133402665340,3631,1472,3082,4964,6937,9049,
133403165340,4073,1786,3810,4846,6878,8799,
133407165340,3564,1332,2931,4883,6896,8913,
133407665340,4077,1519,2854,4807,6861,9267,
133408665340,3549,1431,3180,4835,6873,8821,
133411165340,3531,1561,3273,4903,6860,8799,
133412165340,4218,1761,3003,4862,6813,8787,
133413165340,3574,1503,2961,4913,6879,8849,
133415165340,61271,12017,3072,4942,6916,8792,
133415665340,119925,1745,2799,4785,6765,8792,
133416165340,3612,1600,2940,5142,6916,8950,
133416665340,3992,11891,3199,4894,6831,8774,
133417665340,4147,12170,3114,4932,6794,8999,
133418165340,3963,1869,3062,4933,6831,8944,
133418665340,5492,1815,2887,5262,6778,8787,
133419665340,8364,12019,2901,5181,6863,8833,
133420165340,3933,1464,2894,5279,7136,9036,
133421165340,3792,1818,3430,4839,6788,9121,
133421665340,3580,1588,2929,4909,6924,8918,
133422165340,3708,1464,2944,4953,7002,8830,
133423665340,3570,1458,2908,4823,6775,8905,
133424665340,3725,1637,2913,4846,6782,8929,
133426665340,3615,1510,3004,5007,6984,8924,
133427165340,25301,11854,2937,4947,6975,8913,
133427665340,14205,11855,2865,4816,6913,8774,
133428165340,3713,1403,3051,5010,6777,8827,
133429165340,34805,11835,2914,4936,9005,8862,
133430165340,4565,11884,3160,5039,6874,8890,
133430665340,5105,1489,2918,4891,6775,8862,
133431665340,5209,1394,2889,5042,6815,8815,
133432165340,76563,11908,2920,4804,6819,8783,
133432665340,3611,1385,2902,4994,7171,8818,
133433165340,7437,1448,2911,5181,6865,8796,
133434165340,3054,11777,2868,4770,6797,8949,
133434665340,15454,12320,2974,5008,6863,8879,
133435665340,3614,1421,3151,4862,6908,9052,
133436165340,3572,1411,2869,4930,6833,8842,
133437165340,3392,1322,3161,4855,6874,8853,
133437665340,4061,1615,3387,4836,6853,8897,
133438665340,3602,1500,2821,4940,6799,8828,
133439165340,4595,12397,2942,5088,6850,8816,
133442165340,3560,1457,2910,4897,6870,8868,
133444165340,12028,1629,2908,4912,6776,8827,
133445165340,5084,1632,2871,4885,6940,8800,
133445665340,8411,11755,2794,4858,6871,8828,
133446165340,3591,1430,2836,4819,6773,8886,
133447165340,3995,1734,3092,5026,6860,8817,
133448165340,4803,1473,2956,4946,6866,8894,
133448665340,3636,1405,2768,4807,6783,8832,
133449165340,3639,1563,2966,4806,6925,8809,
133449665340,3854,1935,3051,4828,6812,8873,
133450165340,4451,12623,3136,4937,6876,8788,
133451665340,9805,1344,2776,4918,6946,8887,
133452665340,3776,1456,3504,4846,6950,8815,
133453165340,3633,1561,2870,4862,6783,8772,
133455665340,5651,11907,3292,5010,6904,8870,
133456665340,4499,2023,2845,5012,6833,8852,
133458165340,6886,13253,4540,5018,7539,10336,
133459165340,3075,1513,2833,4846,6812,8884,
133459665340,3566,1361,3064,4806,6826,8884,
133461165340,30742,12139,2940,4875,6830,9126,
133463665340,3481,1365,2914,4844,6738,9005,
133464165340,4472,1465,3236,4860,165175,165042,
133464665340,131452,1305,2825,4793,6761,8778,
133466165340,6010,1643,2813,4906,6796,8799,
133466665340,33215,1427,2953,4970,6883,9048,
133468665340,19980,24303,16848,16718,20389,20962,
133469165340,6422,12055,3095,5227,6992,9134,
133469665340,5081,1281,2817,5512,6845,8804,
133470665340,82885,79984,79894,79789,79486,79850,
133471665340,3469,1361,2926,4775,6749,9171,
133472165340,7949,11812,2808,4794,6822,8821,
133472665340,3561,1423,2988,4813,6838,8807,
133473165340,3894,11938,3084,5033,6826,9002,
133473665340,4440,2335,2951,4823,6844,8805,
133474165340,4559,1282,3172,4865,6873,8785,
133474665340,3575,1435,2897,4869,6958,8817,
133476165340,3551,1373,2876,4872,7126,8899,
133477665340,3916,1532,3026,5007,6961,8946,
133479665340,5790,2381,4910,5450,6869,8840,
133481165340,4167,1643,3170,6343,6954,8821,
133481665340,300000,1885,2869,5014,6872,8811,
133483165340,175801,1704,3164,4891,6875,8913,
133483665340,10539,1474,2932,4898,6969,8831,
133485665340,4907,1342,2964,5444,6747,8788,
133486665340,3103,11832,2865,4905,6913,8833,
133487665340,94287,1369,2866,4780,6766,8823,
133488165340,3824,1777,3064,4958,6872,8855,
133489165340,50909,1486,2945,4890,7012,9045,
133490165340,3445,1277,2845,4827,6851,8794,
133490665340,3631,1468,2902,4872,6858,9109,
133491165340,3630,1617,2931,4841,6778,8885,
133493665340,5017,1529,2798,4827,6939,9017,
133497165340,3745,1534,3007,4989,6851,8905,
133497665340,3703,1463,3032,4948,6844,8804,
133498165340,3648,1571,2950,4816,6824,8857,
133499165340,4407,1277,3203,4834,6779,8768,
133500165340,11216,1274,2833,4930,6834,8915,
133500665340,4605,1493,2857,4863,6791,8814,
133501665340,3713,2785,3456,4850,6917,8842,
133502165340,5970,12190,3263,4900,6855,8828,
133502665340,3704,1549,2823,4786,6829,8944,
133503165340,3451,1351,2802,4875,6991,8961,
133505165340,48559,1477,2833,4808,6809,8802,
133505665340,20221,25412,25760,25581,25379,25749,
133507165340,4419,1292,3099,5018,6835,8826,
133508165340,3699,1395,2854,4807,6791,8805,
133513665340,3656,1490,3003,4877,6936,8866,
133515665340,4474,1470,3101,4864,6803,8873,
133517165340,3833,11929,2987,5031,6838,8817,
133519665340,11471,1741,3128,5058,6861,8918,
133522165340,3442,1333,2934,4817,6762,8795,
133522665340,3571,1334,2885,4946,6879,8753,
133523165340,4184,1447,3036,4911,6831,8878,
133523665340,3604,1414,3144,4936,6838,8854,
133525165340,3617,1487,2865,4850,6754,8886,
133525665340,20913,1446,2778,4824,6808,9037,
133526165340,3055,11993,2809,4912,7018,8868,
133527165340,3543,1412,2946,4942,6852,9106,
133527665340,3719,1887,2985,4911,6816,8794,
133528165340,32472,1636,3083,5155,6975,8891,
133528665340,3518,1325,2886,4859,6844,8891,
133529665340,4451,2111,3195,4957,6906,8867,
133530165340,144844,1859,3042,5115,7097,8974,
133530665340,4835,11816,3289,4988,6898,8719,
133531165340,4000,1551,2868,4904,6777,8798,
133531665340,3624,1481,3007,5028,6894,8768,
133532165340,4037,1584,3009,4846,6853,8846,
133533665340,4424,1659,3105,5003,6911,9237,
133534165340,4986,1409,2807,4847,6843,8796,
133536165340,4996,1382,2859,4804,6761,8798,
133536665340,4444,1493,2826,4852,6855,8823,
133538165340,6394,11962,3183,5090,6851,8869,
133539165340,3587,1449,3068,5113,6839,9311,
133541665340,4053,1597,2884,4956,6872,8956,
133542165340,3581,1413,2943,4864,6817,8820,
133543165340,3743,11826,2860,4858,6932,9019,
133544665340,3735,1478,2968,4904,6857,8781,
133545665340,7171,11790,3210,4938,7021,8918,
133547665340,3510,1336,2916,4885,6876,8788,
133548165340,3590,1485,3077,4901,7505,9017,
133548665340,3953,11841,2995,4921,6850,8854,
133549165340,3653,1276,3038,4794,6801,8763,
133549665340,5010,2487,2957,4875,6931,8993,
133550665340,5096,1290,2889,4797,7200,8799,
133551665340,6393,1449,2877,4995,6852,8911,
133552165340,3855,12158,3396,4832,6861,8836,
133553165340,3810,11821,2929,4996,6817,8789,
133554165340,3471,1314,2978,4843,6827,8833,
133555165340,5150,1591,2987,4925,6804,8765,
133555665340,3809,1619,3036,5114,6832,8837,
133557665340,4141,1997,2866,5110,6873,8776,
133558165340,9593,11855,2970,4894,6819,8987,
133558665340,3615,1413,3015,5592,6855,9036,
133559165340,3819,11770,3169,4937,6894,8808,
133560665340,6041,1915,3492,4971,7089,8993,
133561165340,3271,1221,3070,4803,6865,8823,
133563165340,3573,1406,2999,4867,7203,8859,
133563665340,3543,1526,2780,4812,6789,8797,
133565665340,3776,11884,2835,4859,6830,8811,
133566665340,5314,1537,2963,5102,6943,8904,
133567165340,3525,1398,2845,4814,6785,8781,
133567665340,9901,11995,2893,4839,6792,10197,
133568165340,4539,2367,3225,4921,6850,8874,
133568665340,3978,11930,2796,4882,6874,8769,
133570165340,3246,11935,3047,4933,6805,8901,
133571665340,5112,11967,2860,4914,6864,8907,
133572165340,4078,11781,2843,4924,6879,8892,
133573165340,5823,1434,3019,5290,7015,8958,
133574165340,5295,1463,2974,5383,7005,8836,
133574665340,3865,1334,2796,4792,6765,8789,
133576665340,3616,1468,3215,4771,6854,9281,
133577165340,3908,1851,3104,4786,6780,8792,
133577665340,3121,1316,2921,4749,6748,8803,
133578165340,3546,1391,3030,4892,6977,8784,
133579165340,3453,1406,3559,4824,6764,8793,
133580665340,13183,10412,10575,10759,10812,10931,
133581665340,4536,1598,3006,4838,6819,8899,
133582165340,4976,1357,2931,4848,6847,8862,
133582665340,3504,1418,2824,5026,6810,8770,
133583165340,5571,1987,2870,4858,6941,8932,
133583665340,3611,1533,2936,4885,6859,8875,
133585165340,46856,1551,2900,4776,6836,8832,
133586165340,3907,1378,2996,4863,6804,8877,
133586665340,3550,1415,3077,4785,6881,8946,
133587665340,26172,1373,3167,4880,6874,8903,
133588165340,5322,1874,3048,5113,6928,8838,
133588665340,3805,1622,3028,5035,6913,8844,
133590165340,3904,1429,3000,4981,6821,8826,
133590665340,98042,1553,3042,4930,6820,9039,
133591665340,3497,1377,2887,4947,6792,8916,
133593165340,3226,11856,3020,4980,6827,8799,
133594165340,3595,1329,3066,5117,6997,8774,
133594665340,13110,12258,2849,5029,7016,8886,
133595165340,44986,1632,3960,5229,6766,8788,
133596665340,5226,1416,3011,5085,6757,8782,
133597165340,3815,1402,2856,5133,6844,8790,
133598665340,3075,1396,2861,4824,6956,8850,
133599665340,5122,1394,2923,4937,6798,8833,
133600165340,5384,12132,3839,4906,7056,9049,
133601165340,3429,1897,3172,4798,6928,8972,
133602165340,3702,1573,2985,5366,7012,8972,
133602665340,3884,1872,3015,4911,6931,8874,
133603165340,3269,1298,3011,4825,6822,8876,
133605165340,4468,11931,3057,4975,6897,8919,
133606165340,3444,1387,2873,4881,6765,8786,
133606665340,4327,2348,2848,4878,6766,8976,
133607165340,3895,11967,2923,5031,6897,8803,
133607665340,3650,1313,2937,4951,6831,9248,
133608665340,5650,1605,3224,4956,6939,8825,
133609165340,3820,11742,2973,4827,6934,8905,
133609665340,3161,11838,2956,4924,6810,8858,
133610165340,4886,12547,2850,5058,6774,8898,
133610665340,3500,1416,2941,4853,6798,8837,
133611165340,3448,1330,2893,4833,6821,9033,
133611665340,4645,2412,3035,4881,6837,8821,
133612165340,3837,1496,2924,5113,6858,8833,
133612665340,3719,1643,3010,4796,6899,8885,
133613165340,3907,1709,3090,4897,6886,8853,
133613665340,3372,1379,3169,4784,6868,9920,
133615165340,3627,1329,2864,4759,6722,8801,
133616665340,4072,1714,2871,4807,6856,8900,
133617165340,3560,1391,2993,4854,6773,8844,
133617665340,5195,1320,2909,5001,6973,8817,
133618165340,3165,1647,2959,4776,6819,8828,
133618665340,3539,1430,2793,4855,6799,8870,
133619665340,3577,1302,3391,4877,6834,8830,
133620165340,3747,1492,2898,4888,6826,8860,
133623665340,5159,11759,3050,5242,6885,9033,
133624165340,4793,1466,2807,4943,6902,8806,
133624665340,3573,1470,3117,4829,6822,8856,
133625165340,54850,49858,50076,49386,50288,50160,
133626165340,3951,2450,3086,4977,6957,8872,
133626665340,3734,1518,2923,4844,6764,8805,
133627165340,4154,1571,3028,4887,6775,8813,
133628665340,4341,12026,2805,4863,6869,8849,
133631665340,3923,1492,3026,4828,6976,8943,
133633665340,3824,12031,2847,4828,6970,8851,
133635665340,3855,11805,2928,4795,6814,8850,
133636165340,68064,1407,2888,4788,6835,8820,
133636665340,3745,11565,3121,4938,6839,8900,
133637665340,5129,1547,2909,4939,6910,8897,
133638165340,3598,1246,2913,4847,7063,8847,
133639665340,3280,11896,2845,4960,6956,8842,
133641165340,11180,1521,2871,4958,6801,8758,
133641665340,4034,1652,2968,4893,6884,8859,
133642665340,3434,1390,2937,4866,6807,8909,
133643665340,3827,11958,3006,4834,6937,8907,
133644165340,3554,1459,2919,4824,6919,9070,
133645165340,48970,1338,2996,4971,7036,9008,
133647165340,3579,1428,2870,4813,7115,8834,
133647665340,3798,2140,3004,5023,6876,8812,
133648165340,33105,1557,3052,4998,6842,8853,
133648665340,4458,1411,4019,5997,7974,10892,
133650165340,3536,1440,2876,5230,6895,9126,
133651665340,5594,1482,3019,4954,6999,8855,
133652165340,16493,1349,2881,4792,6805,8863,
133653165340,3730,11887,2859,4818,6934,8855,
133654165340,3304,1594,3111,4803,6827,8932,
133654665340,3541,1417,2929,5091,6836,8825,
133655165340,3609,1575,3110,5039,6917,8910,
133656165340,3443,1267,2767,4803,7087,8868,
133656665340,4708,2049,3018,4923,6794,8833,
133657165340,3561,1419,3007,5019,6971,8955,
133657665340,7423,1703,2909,4917,6764,8879,
133658165340,3809,1492,2997,4813,7025,8838,
133658665340,3747,1437,2988,4829,6839,8895,
133659665340,5575,1913,3175,5256,7100,8965,
133660165340,3947,11927,2921,5106,6932,8932,
133660665340,3533,1470,3209,4790,7205,8746,
133661165340,3961,1955,2989,4927,6797,8922,
133663165340,4587,1459,2848,4816,6863,8894,
133664165340,5500,2964,3097,4941,6980,8957,
133665165340,3553,1323,2847,4935,6839,8820,
133667165340,7463,1339,2975,5031,7250,8883,
133669665340,12056,1346,3094,4799,6896,8928,
133670665340,3644,1473,2952,4849,6777,8919,
133671165340,3606,1477,2836,4850,6867,8830,
133671665340,3740,11811,2947,4843,6818,8826,
133672665340,3585,1237,2930,4814,6805,8797,
133673665340,3836,12019,2962,4873,6831,9059,
133674165340,3697,1557,3055,4999,6894,8890,
133674665340,4849,12058,2901,4885,6992,8788,
133675165340,47383,1296,2964,4745,6796,8793,
133675665340,10534,1218,2925,4964,6808,9092,
133676665340,6519,1473,3030,4854,6960,8918,
133677165340,3833,11974,3001,4844,6904,8838,
133678665340,3555,1494,2928,4940,6881,8868,
133679665340,5826,12183,3103,4960,6767,8938,
133684165340,3973,11713,2856,4765,6842,8869,
133684665340,5468,11696,2878,4883,6804,8873,
133685665340,4527,1333,2880,4991,6796,8764,
133686165340,2792,11735,3007,4840,7000,8776,
133686665340,4056,11952,3088,5043,6847,8793,
133687665340,3223,12043,2893,4831,6881,9031,
133689165340,3840,11918,2992,4941,6777,8863,
133689665340,88574,12580,3079,4969,7065,8875,
133690665340,12595,1647,3203,5086,6868,8872,
133691165340,4134,11843,2901,4834,6791,8832,
133691665340,5024,1794,2854,4833,6898,8815,
133692165340,3867,1746,2793,4893,6855,8935,
133692665340,17634,14227,14438,14929,15113,15293,
133693665340,4621,1340,2899,4816,6830,9008,
133694165340,3576,1443,3187,4831,6945,8809,
133694665340,3730,1431,2895,4959,6845,8788,
133695165340,3512,1383,2857,4850,6790,8995,
133695665340,5309,11914,2825,5097,6766,8795,
133696165340,3100,1368,2834,4962,6828,8829,
133699165340,3499,1365,2919,4864,6878,8791,
133700165340,3932,1477,3065,4784,6863,8883,
133700665340,3834,1506,2941,4902,6842,8890,
133701165340,3576,1415,2911,4796,6917,9041,
133702665340,3250,1444,3011,4983,6811,8831,
133703165340,3829,1407,3032,4896,6804,8891,
133705665340,3481,1385,2891,4858,7118,9230,
133707665340,5558,1425,3485,5091,6867,8920,
133708665340,3625,1389,3067,4874,6973,9107,
133709165340,5010,1638,2965,4882,6750,8843,
133709665340,3484,1373,2951,4840,6801,8849,
133710665340,3467,1322,2840,4894,6889,8774,
133711165340,3500,1419,2879,4807,6882,8890,
133712665340,3585,1363,3021,4942,6903,8799,
133714165340,51266,1226,2898,4844,7261,8773,
133715165340,46748,11879,2965,5102,6812,8818,
133716165340,3548,1379,2907,4843,6892,8992,
133717665340,9954,1823,3185,4866,7031,8853,
133719665340,3820,1466,3577,4901,6820,8865,
133720665340,11963,16551,16803,16407,17961,8847,
133721665340,4695,1431,2876,4908,7013,8999,
133722165340,3568,1452,2885,4801,6760,9128,
133727665340,3527,1379,2960,4823,6863,8799,
133728665340,5175,11854,2822,5378,6798,8851,
133729165340,3871,1891,2958,4952,6817,8814,
133729665340,3936,11791,3057,4832,6836,8838,
133730665340,3449,1390,2825,4786,6760,8880,
133731165340,5633,1260,2899,5114,6823,8807,
133731665340,5895,11803,2834,4935,6805,8801,
133732165340,3588,1447,3239,4759,6777,8770,
133734165340,3632,1506,2965,4928,6896,8966,
133735665340,3592,11755,3006,4779,6900,8806,
133736165340,9926,2462,3116,4971,7254,8829,
133738165340,3824,1543,2961,5013,7028,9051,
133739665340,3914,1574,2782,4791,6755,8846,
133740165340,10237,1263,2873,4886,6873,8975,
133740665340,5250,11853,2881,4811,6774,8812,
133741165340,3108,13344,3283,5760,6970,8761,
133742165340,3700,1448,2870,4838,6824,8820,
133742665340,3542,1475,2802,4871,6838,8828,
133743665340,9767,1469,3097,4926,7031,9416,
133745165340,6552,1602,4554,5169,6887,9366,

