,W-0,R-0,R-1,R-2,R-3,R-4,
135064625231,4061,12347,5513,5027,7055,10862,
135065125231,3657,3270,14202,5026,7031,20047,
135066125231,3295,12969,3236,5449,7076,9128,
135067125231,4076,13053,3072,5110,7170,9384,
135068125231,258994,271047,271296,265607,266472,266297,
135071625231,NULL,NULL,NULL,NULL,NULL,NULL,
135072125231,185724,189541,193276,189125,216542,194699,
135073125231,5812,24483,16667,31757,9688,19731,
135077125231,3726,12013,3002,4993,6946,8972,
135079625231,3347,13002,3089,5413,6948,8921,
135080625231,3937,12305,3040,5020,6919,9026,
135082125231,3532,12289,3009,5029,7037,8963,
135082625231,3854,12549,3019,15924,6891,19848,
135083125231,3110,12110,2881,4968,7071,8962,
135086125231,5181,12529,13883,4937,6995,8834,
135086625231,3978,12048,13762,15683,6984,9922,
135087125231,3652,12050,13880,5062,6914,8811,
135087625231,7983,12167,13911,5078,6998,8942,
135088625231,3722,23916,24869,5599,28652,30385,
135091625231,3928,11967,3030,5137,7169,8980,
135093625231,3632,11958,3073,4995,6898,8907,
135094125231,3142,12089,2947,5521,6736,8925,
135094625231,3133,11997,3597,4805,6873,8809,
135096125231,3817,12531,2815,4943,7599,9035,
135096625231,3732,12546,2912,5016,7281,8921,
135099125231,6824,12182,14898,5401,7060,8985,
135100125231,4702,12167,13729,4950,6913,9081,
135100625231,4000,12183,3132,5100,6834,9137,
135102625231,22485,23463,24419,26540,28626,30682,
135103625231,5112,12226,13868,4956,6839,8914,
135104125231,5239,12121,13978,5063,6909,9086,
135105125231,103883,12260,2858,5017,6929,8907,
135106125231,2929,12014,2815,4740,6864,8889,
135106625231,3546,12585,2975,5022,6812,8765,
135108125231,3324,12348,3014,5061,6971,8967,
135109625231,3941,12146,3018,4981,6937,8900,
135110125231,3682,12075,3056,5043,6953,8960,
135112625231,5216,12637,14076,4963,6952,9011,
135113125231,5346,12548,13946,5064,17719,9082,
135113625231,5091,12439,13746,4920,6808,8685,
135114625231,3702,12561,2837,4891,6736,8977,
135115125231,3103,11965,2881,4920,6735,8747,
135115625231,3905,12996,3000,4915,6965,8912,
135117125231,3174,12062,2876,4992,6876,8868,
135117625231,3605,12076,3001,4922,6858,9003,
135118625231,4073,12725,13736,5117,28662,41189,
135119125231,2693,12067,2895,4895,6938,8910,
135120125231,3924,11947,2904,5094,6964,8905,
135120625231,3902,11918,13728,4869,6814,8904,
135121125231,3720,12354,2877,4876,6833,9691,
135121625231,5576,12149,13680,4905,6898,8903,
135123125231,3695,11841,2950,5033,6824,8760,
135125125231,106376,12285,57101,26746,7012,41318,
135126125231,3696,12153,2928,5028,6847,41634,
135126625231,3799,12180,13853,5012,6966,8951,
135127125231,6679,12502,24610,26572,17608,30814,
135127625231,9376,12144,13836,15847,18019,8930,
135129125231,3306,23164,24959,27059,6947,9028,
135131625231,5748,12299,13717,16406,17958,19920,
135132125231,3702,12591,2951,5068,7009,9062,
135132625231,3685,12087,2868,4987,7297,8925,
135133625231,3391,12318,3142,5040,6918,8842,
135134625231,3632,11909,2927,4958,6869,8882,
135135125231,4538,12303,13740,5047,6918,8940,
135135625231,3727,12134,3016,5091,6817,8977,
135136125231,4369,12022,14076,5059,6931,9358,
135137125231,4962,11851,13963,5894,7151,8712,
135138625231,4428,12205,3156,4857,6854,8944,
135139125231,3496,12218,2862,4898,7128,8981,
135139625231,3582,12233,3201,4854,6884,8908,
135140125231,5824,12526,13920,5135,6962,8964,
135141625231,3677,12008,3162,5106,6907,8894,
135142625231,3684,12713,15390,16422,7069,8968,
135143125231,3667,12308,2962,4912,6908,8831,
135143625231,4015,12259,2906,4891,6988,8763,
135144125231,3650,12471,2893,5066,6926,8890,
135145125231,3673,22842,13926,26626,6872,8797,
135145625231,3718,12109,3012,5032,6901,8925,
135149625231,3710,12132,3008,4885,6968,8859,
135150125231,4062,12116,3095,5185,6981,9004,
135152125231,3062,11956,2858,4910,6855,9339,
135152625231,4116,12112,3183,4967,6879,8736,
135153125231,3919,12097,13755,4925,6895,8867,
135153625231,3748,11985,13876,4857,7015,9403,
135155125231,24211,12077,2888,4923,6822,9041,
135156125231,3966,12908,13880,4947,6928,8835,
135158625231,54940,11984,2943,4826,6720,8836,
135159125231,9739,12242,13881,5135,18294,9019,
135159625231,3540,12005,2812,4901,6881,8905,
135160125231,3532,22583,13860,4917,6920,19720,
135161125231,3574,12016,2816,15949,6947,19942,
135161625231,3673,12450,2901,5239,6829,8813,
135162125231,12744,66517,2950,4916,6923,8893,
135165625231,4894,12008,13929,5056,7105,9112,
135166125231,3467,11942,3022,4863,6665,8914,
135167125231,5015,12749,13598,4913,6736,8896,
135169625231,3961,12585,3001,4973,7093,8893,
135170125231,3914,12379,36735,48455,6941,8993,
135171625231,12269,12397,2933,4863,6741,8938,
135172625231,3747,22763,2890,5488,28413,8901,
135173125231,59417,12392,3124,15916,17985,8987,
135173625231,3764,12344,2734,5099,6767,8902,
135174625231,4965,11634,13567,15596,6856,8742,
135175625231,3859,12135,13907,4875,6837,8755,
135176625231,3582,12180,2904,4868,6693,9024,
135178125231,2623,11964,2846,4949,6755,8881,
135178625231,4174,12484,3007,4908,6836,8747,
135179625231,3856,12148,2972,4989,6819,8819,
135180125231,3854,12002,2997,4907,6937,8873,
135180625231,4017,11846,13764,4862,6754,8913,
