,W-0,R-0,R-1,R-2,R-3,R-4,
136258978304,4020,13046,3273,5019,6942,10975,
136259478304,4787,12531,3246,5658,7088,9190,
136260478304,3650,15310,3224,7621,7092,9380,
136261478304,3520,12450,3157,5027,7019,8973,
136262478304,5332,12467,3194,16100,7057,63904,
136265978304,3822,12335,3134,4951,6878,8889,
136266478304,6262,24086,25150,5004,7189,8825,
136267478304,4554,12361,13943,4994,7102,8829,
136271478304,22937,12068,3058,5307,6894,8854,
136273978304,10964,12474,2980,4875,6891,9004,
136274978304,5033,12408,14518,16619,22784,22130,
136276478304,4134,12528,3078,5071,6882,8913,
136276978304,3594,12426,3009,5028,6999,8895,
136277478304,3886,11982,2999,4906,6908,8893,
136280478304,3949,12677,14538,4931,7107,8984,
136280978304,5380,12201,14593,5020,7079,9057,
136281478304,5212,12642,13829,5018,6925,9073,
136281978304,3658,12386,3082,4997,6856,8881,
136282978304,5062,12155,13855,5278,6954,9038,
136285978304,3847,12048,3167,5189,7046,9079,
136287978304,3515,12168,2923,4895,6837,8816,
136288478304,3448,11954,2847,4836,6843,8811,
136288978304,3897,12369,3160,4985,6920,8922,
136290478304,7503,12072,13732,5020,6930,9013,
136290978304,3919,12019,14205,5230,7282,8896,
136293478304,4142,12653,3306,5109,6956,8918,
136294478304,5239,22983,14482,4980,17880,8803,
136294978304,58205,55565,46808,48525,50518,52664,
136296978304,71938,12452,3245,5077,6961,9017,
136297978304,5804,12297,13797,4883,6866,8948,
136298478304,3544,12520,3022,4841,6863,9180,
136299478304,3434,13628,13957,4934,6867,8948,
136300478304,5213,12086,2852,4879,7083,8805,
136300978304,3663,12283,2859,4967,6891,8965,
136302478304,4176,12186,3107,4952,6859,8832,
136303978304,3579,12693,3317,4945,7097,10342,
136304478304,4163,12342,3217,5108,7012,9005,
136306978304,3766,13607,2917,4870,6924,8941,
136307478304,4526,11789,4155,16020,6990,8872,
136307978304,3304,12168,2918,5203,7039,8913,
136308978304,130877,132684,136135,137007,138171,139402,
136309478304,7833,12677,14064,15847,7102,9288,
136309978304,2531,11948,3047,4849,6819,8880,
136311478304,3757,12482,3309,4979,6998,8938,
136311978304,4144,12400,3141,4871,6896,9003,
136312978304,3758,12003,2834,4889,6894,8910,
136313478304,4521,11995,13942,5037,7205,9012,
136314478304,4530,12274,14083,4838,6900,8863,
136314978304,3532,12068,3055,15846,6919,19869,
136315478304,12323,12483,25032,4882,18100,20110,
136315978304,3856,12103,3075,4889,6952,8945,
136317478304,3883,12521,3283,4963,6939,8867,
136319478304,3235,12230,2949,5053,6928,8838,
136320478304,58446,12319,3097,4925,6936,9091,
136320978304,3581,11975,2944,4927,6858,8881,
136321478304,110110,45078,36052,26894,7172,52954,
136321978304,4405,11994,3387,4912,6778,8914,
136323478304,3548,12176,2848,4874,6959,8905,
136325978304,3239,12668,2851,4855,6882,9061,
136326478304,3547,12111,3001,4930,6846,9100,
136326978304,3651,12408,2848,4960,6963,8962,
136327978304,3653,12026,2958,5052,6956,9064,
136328978304,3545,11991,2979,4861,6880,8963,
136329478304,4079,11853,3275,4888,6873,8805,
136329978304,3979,12068,2913,5025,6833,8895,
136330478304,12819,13020,2945,4917,6930,8889,
136331478304,3441,11959,2961,4841,6832,8904,
136332978304,26196,12169,13882,4804,6775,8891,
136333478304,3594,12180,3013,4900,6819,8812,
136333978304,3633,11983,2995,4887,6870,8896,
136334478304,3895,11919,3109,5159,6928,8892,
136335978304,3546,12032,2919,4844,6930,8938,
136336978304,3895,12431,2996,4823,6932,9035,
136337478304,2587,11881,2822,4810,6823,8807,
136337978304,4143,12045,3026,5440,6976,8892,
136338478304,3843,12052,3189,4836,6817,8795,
136339478304,3661,12476,2928,5018,7009,9005,
136339978304,3663,12403,2889,4912,6825,8979,
136343978304,6121,12456,13984,15790,17598,9065,
136344478304,6050,12390,13931,15913,6912,8790,
136346478304,20998,12336,2873,5036,6919,8918,
136346978304,3909,11862,13826,4866,6820,8949,
136347478304,4666,12249,13588,15844,6988,8912,
136347978304,2878,12061,3879,4812,7184,9009,
136349478304,3633,12431,24791,16225,7134,19956,
136350478304,3808,12216,2862,4980,6951,8854,
136352978304,3489,11895,3033,4955,6994,8954,
136353478304,3851,15373,16031,5075,7087,9030,
136353978304,2640,11900,57461,26760,6890,8834,
136354478304,3878,11817,3208,4939,6830,8875,
136355478304,3250,12089,3037,4918,6956,8914,
136355978304,3994,12066,2839,4800,6948,8916,
136356478304,4877,23405,24651,26914,29054,21371,
136359978304,3467,12196,2951,4824,6762,8843,
136360478304,6005,12105,2896,16003,6875,8936,
136361478304,3269,12330,2968,4956,7069,8966,
136363978304,5078,12184,14403,4933,7172,9166,
136364478304,3794,12221,3241,4948,6819,8899,
136365978304,4051,11922,3078,4979,6915,8864,
136366978304,3838,11944,3054,4817,17616,8817,
136367478304,3600,11871,3353,4886,6688,8917,
136367978304,3620,12027,2959,4877,6763,8850,
136368978304,3665,12177,3093,4917,6904,8922,
136369978304,3671,11893,3353,4895,6954,8904,
136370978304,3612,12546,3054,5030,7034,8877,
136372478304,3496,12039,2907,4870,7145,8781,
136372978304,4053,11838,13782,15932,7088,9085,
136373978304,3623,11845,2840,5058,6904,8888,
136374478304,5052,12764,3066,5343,6999,9002,
136374978304,3554,11925,3020,4983,6794,8872,
136375478304,3641,11900,2979,5217,6852,8853,
136376478304,3602,12504,2954,5091,6883,8976,
136377478304,9312,12041,13905,16265,17811,9589,
136377978304,3014,11934,2895,5088,6954,8849,
136378478304,3487,11956,2881,4886,6837,8802,
136378978304,3887,12439,3271,4893,6855,9459,
136381478304,3853,12362,14078,4964,7190,8869,
136381978304,25116,11838,13637,5225,6916,9508,
136383978304,4034,12933,3194,5188,6900,9070,
136384478304,6054,14339,15416,5066,6926,8950,
136384978304,4049,12109,3284,4947,6773,8858,
136385978304,3658,12300,3040,4857,6898,8796,
136386478304,3635,56010,13855,15877,28845,20067,
136390478304,21435,12273,14030,5040,7159,8906,
136390978304,5173,12449,13772,15832,6957,8903,
136391978304,21146,33854,24670,37798,28364,19947,
136394478304,3523,12100,2894,4872,7171,8829,
136395478304,2668,11911,2877,4775,6837,8867,
136396478304,3739,11825,2892,4797,6745,8971,
136398478304,4491,11970,13805,4897,6755,8838,
136398978304,3914,12604,13619,26888,18338,19566,
136399478304,3656,11889,13637,4831,6811,8826,
136399978304,3654,12099,3050,5106,6975,8993,
136400978304,13216,12264,13996,4879,6806,8994,
136401478304,3969,12516,2907,4831,6859,8874,
136401978304,3633,11899,3153,4789,6849,8841,
136402978304,3600,11945,2933,4905,6824,8942,
136403478304,3877,12171,3001,4921,6815,8957,
136404478304,3736,12607,3065,4854,6950,9028,
136404978304,3475,12203,2996,4989,6918,9276,
136405478304,4518,12867,14557,4919,6866,8817,
136406978304,3574,12070,2811,4831,6846,8806,
136407978304,3566,12260,2767,4802,6988,8800,
136409978304,2583,11950,2925,4783,6750,8832,
136410478304,3832,12276,13542,4803,6813,8757,
136410978304,4067,11908,4613,5149,7197,8908,
136411478304,3809,12000,3085,4976,7027,8974,
136412478304,3687,12047,3016,4871,17564,19675,
136413478304,5030,12351,14316,4835,6865,12206,
136413978304,12151,12346,2961,4926,6933,8860,
136414978304,2744,11967,2954,4805,6917,8927,
136415478304,4408,12225,13904,4827,6873,8955,
136415978304,8451,22920,25286,58938,17883,8886,
136416478304,3783,11961,2835,4864,6928,8903,
136417478304,26765,13283,2875,5008,6888,8664,
136417978304,5948,77660,13625,4870,6859,19834,
136418978304,5823,11776,13569,15628,17595,8742,
136419478304,2915,11939,3666,5407,6916,8818,
136420478304,8082,33991,14020,26313,6905,41243,
136420978304,3542,11893,2844,4752,17612,8836,
136421978304,31909,12268,2974,4791,6934,8799,
136422478304,3615,12046,2892,4866,18805,30693,
136425478304,3765,12371,3032,4914,8054,9150,
136427478304,2651,11781,2882,4850,6793,8905,
136428478304,3534,11845,3030,4834,6792,9138,
136428978304,9110,12258,3060,5012,6875,9013,
136429478304,3557,12039,2947,4864,6841,8844,
136430478304,3251,12258,3000,4917,6900,8886,
136431478304,64586,72471,71841,71496,72358,69885,
136431978304,3823,11807,2844,4815,6913,8788,
136432478304,4075,12437,13890,15951,18231,8953,
136432978304,3517,12059,3041,4841,6820,8866,
136433478304,3837,12020,3074,4893,6828,8764,
136434978304,3645,11886,2849,5339,6844,8941,
136435978304,4506,11909,13898,4833,6777,8806,
136436478304,2543,11844,2829,5079,6826,8822,
136438978304,3414,12436,2850,4790,6805,8815,
136439978304,3347,11892,2930,4868,6918,8759,
136441478304,3849,11892,13668,4807,7100,8746,
136442478304,3433,11947,2876,4783,6842,9835,
136442978304,3981,12010,2919,4854,6995,9037,
136444478304,3609,12100,3335,4904,6854,8917,
136446978304,4132,12033,2956,4978,6878,8942,
136447478304,3326,12275,3031,4896,6693,8807,
136447978304,2661,11988,2914,19656,6816,19878,
136449478304,3733,12373,2998,4839,6797,8824,
136449978304,13960,23458,14095,15867,17629,19814,
136451978304,3673,11840,2962,4853,6827,8835,
136452478304,3578,12007,2778,4778,6759,8810,
136452978304,3776,12407,3087,4766,6760,8834,
136453978304,22089,11687,2864,4830,6841,8853,
136454978304,3957,11883,2876,4840,6928,8889,
136455478304,3831,11963,2927,4863,6832,8823,
136455978304,3650,12032,2986,5188,6785,8819,
136456478304,7328,12003,14523,15657,6808,19752,
136456978304,3806,22850,67506,15774,17617,8901,
136457478304,3556,11872,2914,5077,6913,8778,
136457978304,300000,12250,3382,27051,17941,9023,
136459478304,13919,22920,25048,26443,28480,19797,
136460978304,3544,13116,3001,15667,6922,8818,
136462978304,10410,12114,13685,28318,19243,9043,
136464478304,5781,13805,14069,4990,6908,8886,
136464978304,4049,11885,2992,4827,6827,8832,
136466478304,11617,12397,3112,4895,6774,8664,
136466978304,3784,12165,2870,4885,6871,8790,
136468978304,266052,11801,13472,4808,6807,8822,
136469978304,4771,12093,13832,4956,6855,8852,
136470978304,3521,12435,13499,15612,6810,8826,
136471478304,8121,11958,13762,4828,6855,8890,
136472478304,3744,12004,13843,5129,6802,8808,
136473478304,3074,12169,2912,26645,17773,9051,
136473978304,3319,12147,2989,4827,6958,9241,
136474478304,239031,245598,246463,242259,245385,245499,
136476978304,141109,33802,13616,4961,17656,8898,
136480478304,NULL,NULL,NULL,NULL,NULL,NULL,
136480978304,261340,11955,35484,15547,6947,41478,
136481478304,35754,11789,3896,4839,7248,8930,
136482478304,3537,3155,2971,4654,6825,10173,
136483478304,5104,12018,3012,6033,7232,9839,
136483978304,3520,12082,13727,15678,6817,9067,
136484978304,11910,12097,2956,4921,6903,8862,
136485478304,4945,11820,13503,4839,6821,8732,
136485978304,3440,11812,2889,4954,6843,8771,
136486478304,5154,11985,13832,4964,6874,8889,
136488478304,3945,11911,2865,4787,6924,9277,
136488978304,3830,12169,24764,15794,6880,8996,
136490478304,3521,11643,2885,4886,6765,8825,
136491478304,6766,11924,13498,4872,7178,9287,
136496978304,3542,11970,3003,4811,6912,8857,
136498978304,5833,12248,2838,4882,6875,8765,
136500478304,4616,11878,13869,4877,6983,8873,
136502978304,3534,12296,2981,4905,7039,8897,
136505478304,11031,11909,3320,4908,6769,11674,
136505978304,5828,12138,13637,4895,7370,8751,
136506478304,3568,12308,3061,4831,6826,8904,
136506978304,3593,12153,2907,4820,6790,8982,
136508478304,3453,12079,2787,4802,17517,8894,
136508978304,2954,12089,3177,4933,6803,8995,
136509478304,10839,12086,3211,4878,6890,8924,
136510478304,3597,11958,2751,4810,6808,8765,
136510978304,3106,12124,2858,4926,6853,8872,
136511478304,3852,12347,14014,15527,6866,9054,
136511978304,3662,11949,2821,4907,6810,8752,
136512978304,3620,11931,2921,4800,6836,8805,
136513478304,4171,12098,2879,5109,7068,8856,
136513978304,2945,11868,2864,48087,17522,41225,
136514478304,4184,11937,2993,5473,6862,8861,
136514978304,58040,11947,2843,4858,6839,8823,
136515478304,3176,12169,2930,4814,6908,8890,
136516978304,4656,12148,2958,4914,6967,8898,
136517478304,3507,11965,2871,4882,6730,8820,
136519478304,5152,11906,14109,4842,6875,8885,
136519978304,4015,11982,3239,4998,6869,9186,
136521478304,3622,12193,2910,4831,6806,8950,
136522478304,4955,11947,13969,5332,6935,8756,
136524978304,3838,11927,3008,4784,6752,8727,
136525478304,2536,11969,2937,4883,6983,8876,
136526478304,3914,12443,3100,5006,6808,8931,
136527978304,2828,11736,13622,4863,6747,52833,
136528978304,3543,11838,2876,4853,6820,8811,
136530978304,6501,11940,13682,5267,6928,8912,
136531478304,4813,11942,13900,5203,6858,8831,
136531978304,3483,11801,2848,4785,6761,8822,
136532478304,3781,11959,2970,4950,6828,9015,
136532978304,3789,11792,13887,4818,6797,8864,
136533978304,4012,11921,2921,4951,6753,8817,
136534978304,4200,12141,3045,4986,6921,8836,
136535478304,79393,11977,2923,4899,6959,8922,
136536478304,3846,12555,13902,15851,17786,8896,
136537478304,5456,12034,5909,5625,6808,8839,
136538478304,3856,12178,2871,5089,6850,8744,
136538978304,60179,12032,2990,4964,6858,8925,
136540978304,3842,11858,2962,4864,6834,8996,
136541478304,3205,11935,2881,5215,6786,8886,
136541978304,4082,11869,14329,17309,6875,9022,
136542478304,3213,12051,3014,4841,6847,8845,
136543978304,3507,11976,2934,4867,6956,8838,
136544478304,3966,11897,2882,4878,6803,8884,
136546478304,3448,11966,3048,4980,6850,8838,
136546978304,3777,12063,2855,5246,6831,8816,
136548978304,3946,22913,24851,49472,7086,30780,
136549978304,4821,12211,13964,15852,17840,8963,
136550478304,36042,34109,38948,38961,39920,41512,
136550978304,4560,12019,14107,4863,6868,8838,
136551478304,3563,13313,3339,7408,18008,9251,
136551978304,2494,11771,4013,4749,6761,8875,
136553478304,12006,12414,3079,5141,6882,8988,
