,W-0,R-0,R-1,R-2,R-3,R-4,
113033712228,1769,12176,3259,5184,9260,9109,
113034212228,1876,1583,16543,7457,7201,10767,
113035212228,35473,39805,35066,46639,46927,43036,
113036212228,29063,12514,3137,5114,7217,9171,
113037212228,42554,12087,3236,5100,7056,9306,
113040712228,1849,1648,3240,5057,6998,9504,
113041212228,1446,12693,3144,5006,6950,8833,
113042212228,1464,1706,3095,4915,6934,9019,
113046212228,1862,1667,3148,4988,18008,9046,
113048712228,1590,23830,25521,5083,7114,9019,
113049712228,1613,11915,13768,5048,6985,9021,
113051212228,1827,12555,14081,5165,6956,8874,
113051712228,1699,12601,2957,4985,7047,9026,
113052212228,1650,12482,14142,5156,7253,9052,
113055212228,1597,12320,3099,5028,7196,9001,
113055712228,1298,1553,3006,4938,7073,8908,
113056212228,1661,12005,2968,4913,7015,9112,
113056712228,119528,12369,3086,5134,6940,9025,
113057712228,2704,2080,3184,5027,6932,9138,
113060712228,2305,2082,3231,4898,6927,8878,
113062712228,1867,12594,3032,4941,7018,9056,
113063212228,18017,12296,3157,5183,7005,9070,
113063712228,10513,12747,2946,4913,6892,8899,
113065212228,2013,1825,3088,4980,6999,20367,
113065712228,1655,12277,2978,4850,7021,9099,
113068212228,1534,12218,25540,4857,6852,19937,
113069212228,300000,12403,3232,4921,6902,8961,
113069712228,1763,2132,46723,15721,6812,20077,
113071712228,1650,12227,3244,4972,7024,9007,
113072712228,1427,12286,14065,15928,17980,9063,
113073212228,1361,11998,2952,5030,6998,8999,
113074212228,1674,12228,3098,4949,6949,8857,
113075212228,1556,12168,3083,4828,6873,9139,
113075712228,1267,1525,3736,5254,7324,9241,
113077212228,1577,12110,13769,4927,6944,9021,
113078712228,1821,1649,14353,4991,51646,31447,
113079212228,4359,12865,15639,7040,6931,10006,
113081712228,1701,12122,14031,5657,6925,8918,
113082212228,3624,12233,2953,4898,6940,9075,
113082712228,1714,12110,2998,4901,6930,8934,
113083712228,1515,11986,2996,5529,6960,8976,
113084212228,1501,11880,2875,15924,6906,8911,
113084712228,1473,12299,24968,15928,6940,64216,
