,W-0,R-0,R-1,R-2,R-3,R-4,
114818559309,1610,11969,3497,4964,7051,8924,
114819059309,4615,12601,3200,5080,7414,8891,
114820059309,1990,1785,3463,5196,7002,9139,
114821059309,1917,1590,3017,5097,7071,8885,
114822059309,1631,2217,3362,5114,7279,9213,
114825559309,1817,1506,2986,5057,6946,8889,
114826059309,1832,1580,3020,5038,6937,8981,
114827059309,1905,2201,3399,5056,7124,9056,
114831059309,1677,12031,3100,4951,7075,9224,
114833559309,1356,1520,3077,4902,6936,8973,
114834559309,1388,1555,3054,4894,6890,8823,
114836059309,3464,1379,3835,4935,6912,8862,
114836559309,1320,1566,2975,4876,6912,8841,
114837059309,1626,11872,3006,5725,6842,8829,
114840059309,1541,1857,2974,4895,6907,8948,
114840559309,1556,11925,2898,4928,6941,8905,
114841059309,1966,1650,3070,4923,6916,8938,
114841559309,2047,1674,3260,5185,7515,9061,
114842559309,1296,1494,2956,4876,6904,8976,
114845559309,1847,1649,2941,4822,6991,8896,
114847559309,1678,1536,3083,4964,6990,9042,
114848059309,1313,1523,3258,4972,6961,8932,
114848559309,16282,11843,2980,4879,6882,8859,
114850059309,1290,1463,3057,4868,7299,8833,
114850559309,6518,1371,3079,6019,6952,8952,
114853059309,1502,11960,3029,4838,6957,9148,
114854059309,1747,1530,3076,4936,7057,8969,
114854559309,1298,1549,2819,4830,6896,8908,
114856559309,1923,1661,3082,4877,6890,8943,
114857559309,1608,12109,3018,4912,6886,9015,
114858059309,1809,275154,3106,4836,6941,9040,
114859059309,5428,1548,2867,4846,6860,8875,
114860059309,1248,1445,3409,4833,6829,8870,
114860559309,1845,1609,2961,4909,6976,9044,
114862059309,1296,1525,2837,4876,6878,9035,
114863559309,1759,1427,3005,4953,6930,8920,
114864059309,1557,11953,3029,4896,6875,8924,
114866559309,1433,1619,3079,4889,7229,8985,
114867059309,1658,12316,2963,5054,6890,9515,
114867559309,74386,11955,3015,4913,6890,8911,
114868559309,1590,11753,2991,4821,6917,9184,
114869059309,278658,1876,3122,7323,7488,8995,
114869559309,300000,12540,3182,5031,7000,9018,
114871059309,NULL,NULL,NULL,NULL,NULL,NULL,
114871559309,NULL,NULL,NULL,NULL,NULL,NULL,
114872559309,NULL,NULL,NULL,NULL,NULL,NULL,
114873059309,10598,47953,28674,33536,13449,45323,
114874059309,NULL,NULL,NULL,NULL,NULL,NULL,
114874559309,1225,14542,3391,7566,7846,9873,
114875059309,1283,1770,3585,4652,6851,8929,
114875559309,1304,1648,3087,5213,6829,9767,
114877059309,11153,1260,2797,4775,6834,8838,
114879059309,1425,1553,2883,4867,6908,8905,
114880059309,1417,1271,2906,4818,6896,8882,
114880559309,275960,279631,279819,279399,279523,279970,
114881059309,180207,1321,2853,4827,6835,8819,
114881559309,300000,1275,2832,4826,6799,8788,
114883059309,300000,1566,3040,5041,6928,8857,
114885559309,1380,11771,2845,4849,6802,8883,
114886059309,1194,1463,2916,4820,6829,8772,
114886559309,1375,1528,2799,4999,6919,8854,
114887559309,107308,1357,2940,4819,6802,8836,
114888559309,1122,1295,2896,4734,6815,8653,
114889059309,1471,1631,3069,4910,6827,8830,
114889559309,64618,11830,2942,4799,6786,8798,
114890059309,1252,11642,2855,4981,6985,9012,
114891059309,1192,1391,2885,4972,6840,8843,
114892559309,1230,1398,2899,4858,6874,8940,
114893059309,9823,1285,2947,4844,6848,8938,
114893559309,23239,1250,3029,4949,6848,8889,
114894059309,130442,134571,134377,134478,134656,134772,
114895559309,1756,1551,2966,4910,6936,8874,
114896559309,3831,1287,3050,4815,6752,8807,
114897059309,1553,1329,2963,5157,6893,8768,
114897559309,1615,1866,2858,4819,6860,8949,
114898059309,1218,1386,2989,5085,6887,8991,
114899059309,2458,12770,3023,4947,6825,8969,
114899559309,5563,1192,3017,5043,6968,9004,
114903559309,1340,1531,2892,4941,6891,8838,
114904059309,43402,1511,3067,4876,6962,8917,
114906059309,1227,1438,2799,4687,6851,8816,
114906559309,16234,1299,2844,4657,6878,8775,
114907059309,1335,1136,2860,4870,6604,9027,
114907559309,1107,1300,2908,4802,6804,8764,
114909059309,1958,1654,2868,4930,8091,8951,
114910059309,1543,11912,2929,4800,6875,8786,
114912559309,1865,12087,2803,4874,6796,8806,
114913059309,1816,11973,2852,4985,6929,8865,
114913559309,1274,1529,2925,4951,6853,8841,
114914059309,1430,11686,2950,4977,6824,8776,
114915059309,1162,1325,2934,4888,6906,8786,
114915559309,1445,1331,2853,4663,6795,8769,
114916059309,1516,11846,2962,4953,6963,9046,
114919559309,1362,1518,2806,4978,6919,8761,
114920059309,7621,12283,2965,5033,7074,8763,
114921059309,1846,1600,2800,4823,6798,8827,
