,W-0,R-0,R-1,R-2,R-3,R-4,
115412833907,4195,12934,3305,6007,7202,9073,
115413333907,1530,12023,3385,5289,6958,9165,
115414333907,1647,12197,2993,5070,7005,9351,
115415333907,147360,1701,3326,5090,7171,9336,
115416333907,1673,1454,3426,5243,6989,9028,
115419833907,171894,1846,3090,5236,7038,9144,
115420333907,7841,1771,2896,4942,7205,9139,
115421333907,1544,12401,2926,5415,6898,8965,
115425333907,1597,12089,3002,5262,6872,8940,
115427833907,1772,12041,3186,5036,7081,8881,
115428833907,1808,1541,2900,4802,6779,8882,
115430333907,1611,12137,2867,4952,6936,8944,
115430833907,1703,1413,3180,5172,6965,9148,
115431333907,1653,1762,3278,4973,6934,8964,
115434333907,1638,1477,2848,5307,6959,8836,
115434833907,1959,1725,3053,5455,6838,8901,
115435333907,1846,1644,3089,4829,6952,8895,
115435833907,2039,1751,3193,5530,7010,8974,
115436833907,1585,1375,2995,4861,6947,8985,
115439833907,2606,1389,2982,4841,6781,8770,
115441833907,1438,12062,2887,5026,6993,9040,
115442333907,1921,12208,2925,4807,6818,8845,
115442833907,1646,1451,3046,5043,6797,8787,
115444333907,1772,1928,3003,4962,6924,8821,
115444833907,1914,1592,3027,4904,6962,8898,
115447333907,1551,11953,2931,4780,6823,8912,
115448333907,2020,12282,2828,5665,6813,8842,
115448833907,300000,11789,3249,4914,6865,8785,
115450833907,37923,12265,3239,4952,6769,9238,
115451833907,1689,1890,3084,4846,7006,8906,
115452333907,1745,1553,3031,5215,6989,9035,
115453333907,1794,12208,3034,5060,7152,8992,
115454333907,16400,1684,3475,5178,7243,9085,
115454833907,1709,1513,3035,4997,6863,8920,
115456333907,1741,11992,3238,5034,6879,9346,
115457833907,300000,12247,2991,4959,6870,8977,
115458333907,5577,12839,15356,5947,8647,9688,
115460833907,1974,1666,2934,4967,6914,8953,
115461333907,1481,11821,2895,4985,6971,8814,
115461833907,1804,1514,2974,5217,6928,8956,
115462833907,2004,1614,3269,5061,6930,8921,
115463333907,1448,11948,2944,4850,6825,8799,
115463833907,1510,1322,3084,4887,6811,8895,
115465333907,118485,1331,2951,4796,6939,8776,
115465833907,1599,1342,2911,5920,6856,8870,
