,W-0,R-0,R-1,R-2,R-3,R-4,
116602654829,1634,3773,3281,4920,8660,9030,
116603154829,1609,192544,183643,175382,209382,182557,
116604154829,1823,12479,3282,5135,7112,8901,
116605154829,114702,12305,14359,16102,18017,19839,
116606154829,10399,12449,3648,4966,6989,9013,
116609654829,1696,12502,3121,5077,7148,8982,
116610154829,1571,11959,3279,4932,7216,9013,
116611154829,33166,13130,2920,4935,6911,9044,
116615154829,24091,34699,36927,38321,29110,31634,
116617654829,1810,12531,3339,5166,6945,8904,
116618654829,1610,12848,14022,4904,6876,8890,
116620154829,1701,12438,2981,5004,7014,8977,
116620654829,21885,12156,14102,5115,7140,8961,
116621154829,1728,12523,14271,4930,7222,8961,
116624154829,1815,12276,3073,4868,7067,8969,
116624654829,1616,12790,3357,4861,6946,9060,
116625154829,1629,12358,2834,4783,6948,9142,
116625654829,3942,23034,13975,15845,18004,19918,
116626654829,1883,12091,3297,5211,7025,9371,
116629654829,1445,12820,2881,4961,6993,9665,
116631654829,3261,11947,14064,4969,6937,8954,
116632154829,1836,12927,3102,5004,7111,8992,
116632654829,1402,12037,3130,4923,6964,9016,
116634154829,1828,12780,3031,5121,7006,10000,
116634654829,1646,12277,15018,17508,7164,9449,
116637154829,1607,12278,13911,5027,7105,8959,
116638154829,1571,12268,3744,5437,7336,8992,
116638654829,1954,12854,14299,5064,7225,9141,
116640654829,1670,12316,2948,4850,6770,8809,
116641654829,1579,16351,3367,4932,7643,9096,
116642154829,1819,12362,2990,5324,7049,9076,
116643154829,32373,12338,3078,5003,6990,8909,
116644154829,1664,12082,3120,4917,6839,8849,
116644654829,1540,12520,3412,4895,6937,8982,
116646154829,1441,11931,13732,5012,7370,8848,
116647654829,1545,12141,3106,5090,7038,8936,
116648154829,1806,12863,14108,4985,7311,9008,
116650654829,1487,11897,2984,4936,6963,8945,
116651154829,1811,12825,3226,5057,7047,8902,
116651654829,1379,12490,13802,5321,6936,9161,
116652654829,12633,12798,3121,5131,6936,9042,
116653154829,1587,12510,3050,5013,7113,9100,
116653654829,1568,12348,14060,15937,18122,8851,
116655154829,1315,11835,13879,4827,7549,8961,
116655654829,1658,12490,3079,5135,6897,8903,
116656654829,1549,12075,2994,4878,6842,8957,
116657154829,35580,45073,49280,49472,40940,42274,
116658154829,176113,12168,3064,5108,18047,20006,
116658654829,1568,12220,3331,16167,17943,20106,
116659154829,26254,34253,35530,37825,40282,31240,
116659654829,1562,34244,2942,15782,6933,41823,
116661154829,1488,11940,2991,5014,6903,8870,
116663154829,1513,11983,13954,4855,6810,8840,
116664154829,9252,11965,13938,4911,6996,8882,
116664654829,1412,11968,3071,5146,6889,9090,
116665154829,122666,12162,13760,15726,6873,19930,
116665654829,150585,166915,163000,163341,163871,162884,
116667154829,1993,23949,3159,5035,40375,8761,
116669654829,1588,11859,3047,15799,50302,8795,
116670154829,1503,33820,24733,37486,28725,19740,
116670654829,10448,12299,13967,37557,6908,30956,
116671654829,1617,12128,2963,26661,7085,8956,
116672654829,1677,12165,3098,5252,7009,9115,
116673154829,2222,12896,3357,4820,7510,9209,
116673654829,1534,12401,3363,4947,6969,9104,
116674154829,11620,23311,13877,15814,17879,19814,
116675154829,6640,23035,25212,5618,29150,9048,
116676654829,1505,12049,3088,4992,6886,8851,
116677154829,1602,12346,13903,5046,7087,9092,
116677654829,1660,11998,13876,4755,6905,8786,
116678154829,1652,12416,14275,5034,6993,9037,
116679654829,30983,44800,3078,4832,6803,41949,
116680654829,1623,11822,3068,16023,18545,8983,
116681154829,1868,12479,3304,4966,6911,8983,
116681654829,125451,12021,2970,4987,7130,8777,
116682154829,1417,12468,3141,5120,7002,8951,
116683154829,1807,12076,3004,4999,6938,9053,
116683654829,5607,12554,14008,15987,7044,8933,
116687654829,1475,12134,2958,5305,6798,8896,
116688154829,1484,11926,78784,15869,29319,8960,
116690154829,1470,11904,3149,4813,6926,8860,
116690654829,1538,12269,14329,4788,6854,8906,
116691154829,1434,12034,2899,4891,7379,8815,
116691654829,1713,12454,13908,4937,6964,8954,
116693154829,1923,33810,3602,26458,6948,20226,
116694154829,1660,12475,3114,5159,6912,8997,
116696654829,253597,22817,13761,19088,30890,9005,
116697154829,1591,12106,3092,4981,6983,8856,
116697654829,197693,12127,4114,4902,6852,9664,
116698154829,1414,12320,3013,15822,6862,8807,
116699154829,1543,33997,2956,69771,17582,30436,
116699654829,1515,13036,14048,4899,6932,9036,
116700154829,1670,12315,3158,5068,6973,9003,
116703654829,3627,13897,14244,15755,6953,8859,
116704154829,2023,13117,3058,4981,7045,8930,
116705154829,1800,12666,3467,5109,6943,9074,
116707654829,1650,11972,3259,5122,6968,8906,
116708154829,1580,12237,2978,4987,7011,8959,
116709654829,1732,12392,3073,4942,6925,8868,
116710654829,1317,11866,2955,4947,17922,10453,
116711154829,1519,11980,2924,4834,6952,8833,
116711654829,1481,12276,2947,4883,6828,8969,
116712654829,1329,11767,2837,4787,6880,8795,
116713654829,1318,11886,2941,4862,6862,8895,
116714654829,119722,12662,3110,5041,6923,8985,
116716154829,1715,12420,3105,5037,6854,8870,
116716654829,12106,12352,2907,37886,7042,19685,
116717654829,1740,12723,3289,4902,6902,8957,
116718154829,1352,12326,14082,4975,7010,8846,
116718654829,1644,12234,13893,5316,7017,8876,
116719154829,1497,12163,13913,15698,17841,19548,
116720154829,1740,12380,3595,5152,7022,8762,
116721154829,1589,12416,3053,4996,6949,9129,
116721654829,1779,11915,13530,4982,6968,8757,
116722154829,1520,12573,3094,5467,7219,8983,
116722654829,1739,12402,3120,5083,6980,8838,
116725154829,1519,12091,2992,4990,6904,8890,
116725654829,1389,12101,2944,4832,6800,9045,
116727654829,300000,12572,3302,5003,7164,9040,
116728154829,1758,12458,3272,15806,6795,8830,
116728654829,1634,12232,3002,4947,6849,8930,
116729654829,1408,11846,3057,4906,6851,8863,
116730154829,1646,12327,2956,4999,6903,8871,
116734154829,1540,12221,3031,5071,6925,9038,
116734654829,1428,34103,24867,4875,17665,9809,
116735654829,1436,12255,14243,16420,17898,19825,
116738154829,11766,12433,13758,4819,7271,8938,
116739154829,1563,12444,14316,4804,17795,9064,
116740154829,1585,12339,13951,5124,7097,9097,
116742154829,1585,12001,3074,5002,7058,9138,
116742654829,2438,12312,4427,4814,7900,9156,
116743154829,1504,23395,13817,16045,17870,19948,
116743654829,1921,12598,3422,5140,6985,8814,
116744654829,1737,12599,13925,5086,7026,9051,
116745154829,1558,11823,2863,4821,6807,8920,
116745654829,1548,12370,3032,5013,6880,8842,
116746654829,1562,12219,2978,4872,6871,9287,
116747154829,1341,12071,3553,4957,7217,8753,
116748154829,5288,16134,15678,15799,17922,20211,
116748654829,17860,12330,3017,4850,6883,9014,
116749154829,1405,11853,13706,4911,6811,8776,
116750654829,1380,12335,3342,5145,6909,8830,
116751654829,1552,13913,14228,4847,7018,8836,
116753654829,1602,12532,2930,5001,6979,8900,
116754154829,1400,11766,3034,4837,6843,8734,
116754654829,1414,12440,3828,4813,6814,8732,
116755154829,1333,12367,2984,4872,6760,8754,
116756154829,1985,22912,14117,15722,6776,19749,
116757154829,1614,11859,2993,4808,6880,8861,
116757654829,1462,11811,13753,5007,6818,8791,
116758654829,9623,12253,13597,4861,7040,9395,
116759154829,1545,11779,2978,5134,6918,8932,
116759654829,1794,12398,3517,4884,6814,8898,
116760154829,1497,12095,2907,4848,6901,9201,
116761154829,1682,12357,26291,16367,18097,19877,
116761654829,1388,12236,3080,4885,7042,8896,
116762654829,1739,13420,14011,4837,6784,8762,
116763154829,1454,11919,2827,4891,7058,8867,
116764154829,1538,12274,14251,15752,6965,9025,
116764654829,1352,12034,13892,4842,6951,9138,
116765654829,1448,11960,2894,4883,6815,8795,
116766154829,1441,12618,13955,5091,17796,9368,
116769154829,1826,11877,13769,15965,17718,20043,
116771154829,1400,12303,3017,5033,6994,8835,
116772154829,1457,12014,2958,4908,7243,8899,
116772654829,1568,12016,2968,4947,9139,9040,
116773154829,7158,12165,2814,4944,6969,8872,
116774154829,1623,11968,13868,4858,7040,8901,
116775154829,1469,12049,13847,4851,18061,8884,
116775654829,1656,12106,2846,4941,6803,8731,
116776154829,1443,11893,2913,5008,6857,8891,
116776654829,1396,11849,3304,4900,6847,8910,
116777154829,1519,12338,2852,4787,6896,8848,
116778654829,9605,11987,13796,5507,6812,8758,
116779654829,1362,11900,2957,4926,7064,8838,
116780154829,1465,11889,2954,4891,6741,8820,
116782654829,1411,12033,13868,4950,6786,20710,
116783654829,1410,12325,2866,5030,7004,9015,
116785154829,1520,12074,2802,15775,6863,8722,
116786154829,1436,12139,2828,15594,6845,8856,
116786654829,1467,12244,2945,5240,6888,8955,
116788154829,1639,12505,3086,5321,6958,9027,
116790654829,1467,12031,3077,4987,6855,8778,
116791154829,1406,23064,14239,4928,17901,9020,
116791654829,1362,12156,2907,4968,7047,8761,
116793154829,4759,15672,15556,15869,6981,8904,
