,W-0,R-0,R-1,R-2,R-3,R-4,
118388926706,1922,14866,14583,4849,11112,10562,
118389426706,1971,12632,25153,6810,18952,9019,
118390426706,128046,12507,3154,5065,7068,9124,
118391426706,1445,12042,3145,5590,6976,8921,
118392426706,1545,12206,3183,5147,7146,9025,
118395926706,100821,NULL,NULL,NULL,NULL,NULL,
118396426706,10481,13545,4415,16051,21629,8878,
118397426706,1660,12012,14551,4824,6841,8871,
118401426706,1604,12360,3092,5011,6901,8794,
118403926706,1473,12136,2959,4968,6919,8829,
118404926706,1550,NULL,NULL,NULL,NULL,NULL,
118406426706,1241,12119,3616,5422,7029,8718,
118406926706,1726,14114,15152,16124,6981,8867,
118407426706,1242,NULL,NULL,NULL,NULL,NULL,
118410426706,1151,11934,3844,4848,6744,8700,
118410926706,1998,11811,13536,4944,6732,8619,
118411426706,1979,12167,13723,5056,6819,8925,
118411926706,1598,12205,2889,4775,6866,8798,
118412926706,1525,12609,3208,4896,7012,8991,
118415926706,1100,NULL,NULL,NULL,NULL,NULL,
118417926706,1256,12023,13475,15421,6625,8726,
118418426706,1362,12253,2640,26402,6680,19396,
118418926706,1225,12500,2777,4674,6753,8957,
118420426706,1576,12122,13704,4694,6647,8957,
118420926706,1285,11852,2896,4885,6791,8759,
118423426706,1286,12410,13790,4897,6853,8822,
118424426706,42475,12422,3363,5128,7128,8712,
118424926706,56958,12097,13771,4856,6799,8908,
118426926706,1694,12214,2867,4988,6758,8904,
118427926706,1641,12389,3057,4969,7019,8720,
118428426706,1572,12259,2893,4905,6801,8734,
118429426706,1513,11787,13850,6360,6701,8989,
118430426706,1613,12144,2959,4985,6755,8735,
118430926706,5527,15796,16403,16251,7344,8729,
118432426706,1483,11969,2874,4699,7394,8691,
118433926706,3501,12786,13988,4774,6847,8722,
118434426706,1583,12375,2821,4874,6950,8779,
118436926706,1432,NULL,NULL,NULL,NULL,NULL,
118437426706,1135,12023,2674,5213,6827,8910,
118437926706,1369,12055,2612,4617,7086,8609,
118438926706,1004,11815,2964,4659,6577,8640,
118439426706,11155,23088,14510,15543,17701,19603,
118439926706,1366,12040,3148,4688,6676,9441,
118441426706,1422,11929,2864,4778,6846,8931,
118441926706,1407,11836,13592,4906,7041,8804,
118442926706,1613,11834,13738,4853,17560,19780,
118443426706,1201,11417,2803,4776,6972,8712,
118444426706,1572,12087,13600,4759,6903,8828,
118444926706,1582,12089,3014,4772,6708,8756,
118445426706,1285,11723,13547,4839,6998,8802,
118445926706,1849,12265,2809,4855,6819,9011,
118447426706,1371,11898,2869,4714,6747,8758,
118449426706,1604,12360,3017,5163,6964,9100,
118450426706,1549,12012,3053,4818,6886,8664,
118450926706,3692,11929,13849,15437,6820,8788,
