Time(micros),Thread, Start(micros),Delay (micros),Value
124937279935,W-0,209,21882,124937279935
124937279935,R-0,216,1367,124936779935
124937279935,R-0,11625,12457,124937279935
124937279935,R-1,2232,3244,124937279935
124937279935,R-2,4207,5151,124937279935
124937279935,R-3,6198,8566,124937279935
124937279935,R-4,8248,11011,124937279935
124937779935,W-0,222,33292,124937779935
124937779935,R-0,826,1790,124937279935
124937779935,R-0,12050,14356,124937779935
124937779935,R-1,2193,5131,124937779935
124937779935,R-2,4186,6817,124937779935
124937779935,R-3,6179,6994,124937779935
124937779935,R-4,8177,9018,124937779935
124938779935,W-0,206,19334,124938779935
124938779935,R-0,499,1398,124937779935
124938779935,R-0,11684,12416,124938779935
124938779935,R-1,2246,3209,124938779935
124938779935,R-2,4276,5285,124938779935
124938779935,R-3,6228,7181,124938779935
124938779935,R-4,8192,9205,124938779935
124939779935,W-0,208,56261,124939779935
124939779935,R-0,515,1532,124938779935
124939779935,R-0,11835,12529,124938779935
124939779935,R-0,22748,23631,124939779935
124939779935,R-1,2233,3029,124938779935
124939779935,R-1,13368,14501,124939779935
124939779935,R-2,4194,4975,124939779935
124939779935,R-3,6244,7237,124939779935
124939779935,R-4,8273,9142,124939779935
124940779935,W-0,218,43511,124940779935
124940779935,R-0,515,1849,124940779935
124940779935,R-1,2248,4048,124940779935
124940779935,R-2,4262,5141,124940779935
124940779935,R-3,6207,6992,124940779935
124940779935,R-4,8238,9036,124940779935
124944279935,W-0,552,14296,124944279935
124944279935,R-0,333,978,124943279935
124944279935,R-0,11243,12038,124944279935
124944279935,R-1,2240,2942,124944279935
124944279935,R-2,4226,5246,124944279935
124944279935,R-3,6188,6954,124944279935
124944279935,R-4,8189,9141,124944279935
124944779935,W-0,230,12280,124944779935
124944779935,R-0,315,1523,124944779935
124944779935,R-1,2197,3027,124944779935
124944779935,R-2,4305,5439,124944779935
124944779935,R-3,6294,7008,124944779935
124944779935,R-4,8205,8912,124944779935
124945779935,W-0,540,53968,124945779935
124945779935,R-0,271,1036,124940279935
124945779935,R-0,11463,12716,124945779935
124945779935,R-1,2203,2988,124940279935
124945779935,R-1,13618,14432,124945779935
124945779935,R-2,4238,5201,124945779935
124945779935,R-3,6234,6939,124945779935
124945779935,R-4,8440,9939,124945779935
124949779935,W-0,225,21556,124949779935
124949779935,R-0,516,1294,124944779935
124949779935,R-0,11535,12203,124949779935
124949779935,R-1,2212,3199,124949779935
124949779935,R-2,4229,4967,124949779935
124949779935,R-3,6218,7060,124949779935
124949779935,R-4,8205,9029,124949779935
124952279935,W-0,250,26910,124952279935
124952279935,R-0,249,1115,124951279935
124952279935,R-0,11370,11962,124952279935
124952279935,R-1,2221,2833,124952279935
124952279935,R-2,4157,4855,124952279935
124952279935,R-3,6196,6814,124952279935
124952279935,R-4,8189,8925,124952279935
124953279935,W-0,231,46205,124953279935
124953279935,R-0,279,1130,124944279935
124953279935,R-0,11380,11972,124953279935
124953279935,R-1,2178,3050,124953279935
124953279935,R-2,4192,5031,124953279935
124953279935,R-3,6360,7125,124953279935
124953279935,R-4,8192,8906,124953279935
124954779935,W-0,202,39944,124954779935
124954779935,R-0,293,975,124946279935
124954779935,R-0,11352,12064,124954779935
124954779935,R-1,2224,2921,124954779935
124954779935,R-2,4237,4953,124954779935
124954779935,R-3,6316,7156,124954779935
124954779935,R-4,8221,8952,124946279935
124954779935,R-4,19281,20144,124954779935
124955279935,W-0,242,36307,124955279935
124955279935,R-0,532,1565,124938279935
124955279935,R-0,11815,12454,124955279935
124955279935,R-1,2195,3524,124955279935
124955279935,R-2,4214,4873,124955279935
124955279935,R-3,6206,6932,124955279935
124955279935,R-4,8196,8885,124955279935
124955779935,W-0,225,41326,124955779935
124955779935,R-0,507,1302,124942779935
124955779935,R-0,11557,12257,124955779935
124955779935,R-1,2196,2779,124955779935
124955779935,R-2,4232,4974,124955779935
124955779935,R-3,6202,6878,124955779935
124955779935,R-4,8193,9007,124955779935
124958779935,W-0,231,23035,124958779935
124958779935,R-0,577,1483,124958779935
124958779935,R-1,2221,2935,124941779935
124958779935,R-1,13228,13890,124958779935
124958779935,R-2,4233,4947,124958779935
124958779935,R-3,6207,6859,124958779935
124958779935,R-4,8159,8844,124958779935
124959279935,W-0,215,37981,124959279935
124959279935,R-0,583,1316,124959279935
124959279935,R-1,2192,2812,124959279935
124959279935,R-2,4158,4896,124959279935
124959279935,R-3,6234,6876,124959279935
124959279935,R-4,8163,8835,124959279935
124959779935,W-0,287,13165,124959779935
