Time(micros),Thread, Start(micros),Delay (micros),Value
126722668317,W-0,213,35024,126722668317
126722668317,R-0,865,1789,126722168317
126722668317,R-0,12025,12650,126722668317
126722668317,R-1,2298,3029,126722668317
126722668317,R-2,4228,4930,126722668317
126722668317,R-3,6177,6948,126722668317
126722668317,R-4,8203,9173,126722668317
126723168317,W-0,203,25909,126723168317
126723168317,R-0,1157,8567,126723168317
126723168317,R-1,2189,8593,126723168317
126723168317,R-2,8967,9889,126723168317
126723168317,R-3,7006,8408,126723168317
126723168317,R-4,8239,9360,126723168317
126724168317,W-0,234,55456,126724168317
126724168317,R-0,200,1308,126723168317
126724168317,R-0,11549,12970,126724168317
126724168317,R-1,2169,3246,126724168317
126724168317,R-2,4215,5130,126724168317
126724168317,R-3,6209,7028,126724168317
126724168317,R-4,9472,11030,126724168317
126725168317,W-0,209,42789,126725168317
126725168317,R-0,528,1826,126725168317
126725168317,R-1,2205,3547,126725168317
126725168317,R-2,4188,5126,126725168317
126725168317,R-3,6203,7336,126725168317
126725168317,R-4,8259,9235,126725168317
126726168317,W-0,218,50734,126726168317
126726168317,R-0,477,10634,126724668317
126726168317,R-0,21790,22435,126726168317
126726168317,R-1,2221,10278,126724668317
126726168317,R-1,20543,21305,126726168317
126726168317,R-2,4567,11269,126726168317
126726168317,R-3,6222,11432,126726168317
126726168317,R-4,8281,11031,126726168317
126729668317,W-0,205,12013,126729668317
126729668317,R-0,530,1330,126729668317
126729668317,R-1,2203,3013,126729668317
126729668317,R-2,4185,4866,126729668317
126729668317,R-3,6192,7209,126729668317
126729668317,R-4,8333,9512,126729668317
126730168317,W-0,220,60248,126730168317
126730168317,R-0,231,1242,126727668317
126730168317,R-0,11483,12174,126730168317
126730168317,R-1,2231,3162,126730168317
126730168317,R-2,4201,4881,126730168317
126730168317,R-3,6188,6852,126730168317
126730168317,R-4,8372,9268,126730168317
126731168317,W-0,426,38932,126731168317
126731168317,R-0,178,894,126725668317
126731168317,R-0,11174,11950,126731168317
126731168317,R-1,2205,3047,126731168317
126731168317,R-2,4244,4916,126731168317
126731168317,R-3,6190,6883,126731168317
126731168317,R-4,8169,8951,126731168317
126735168317,W-0,202,55665,126735168317
126735168317,R-0,565,1495,126735168317
126735168317,R-1,2192,3034,126735168317
126735168317,R-2,4183,5021,126735168317
126735168317,R-3,6224,6906,126735168317
126735168317,R-4,8214,9068,126735168317
126737668317,W-0,247,16090,126737668317
126737668317,R-0,564,1659,126737668317
126737668317,R-1,2240,3208,126737668317
126737668317,R-2,4139,4816,126737668317
126737668317,R-3,6248,6985,126737668317
126737668317,R-4,8250,9065,126737668317
126738668317,W-0,230,51952,126738668317
126738668317,R-0,537,1738,126738668317
126738668317,R-1,2202,3095,126738668317
126738668317,R-2,4179,4914,126738668317
126738668317,R-3,6203,7208,126738668317
126738668317,R-4,8200,9023,126738668317
126740168317,W-0,302,52484,126740168317
126740168317,R-0,224,1058,126731668317
126740168317,R-0,11381,11986,126740168317
126740168317,R-1,2194,3080,126740168317
126740168317,R-2,4215,4940,126740168317
126740168317,R-3,6191,6854,126740168317
126740168317,R-4,8205,9030,126740168317
126740668317,W-0,164,21557,126740668317
126740668317,R-0,451,1487,126740668317
126740668317,R-1,2183,2922,126740668317
126740668317,R-2,4218,4935,126740668317
126740668317,R-3,6173,6814,126740668317
126740668317,R-4,8194,9034,126740668317
126741168317,W-0,193,82064,126741168317
126741168317,R-0,488,1621,126741168317
126741168317,R-1,2217,2921,126741168317
126741168317,R-2,4203,4974,126741168317
126741168317,R-3,6184,6879,126741168317
126741168317,R-4,8232,9168,126741168317
126744168317,W-0,259,22562,126744168317
126744168317,R-0,619,2489,126744168317
126744168317,R-1,2668,3580,126744168317
126744168317,R-2,4206,4918,126744168317
126744168317,R-3,6194,7114,126744168317
126744168317,R-4,8209,9296,126744168317
126744668317,W-0,465,33334,126744668317
126744668317,R-0,223,1248,126743168317
126744668317,R-0,11512,12342,126744668317
126744668317,R-1,2182,2933,126744668317
126744668317,R-2,4190,4877,126744668317
126744668317,R-3,6248,7232,126744668317
126744668317,R-4,8222,9074,126744668317
126745168317,W-0,239,41042,126745168317
126745168317,R-0,485,1606,126745168317
126745168317,R-1,2194,2924,126745168317
126745168317,R-2,4217,4929,126745168317
126745168317,R-3,6199,6885,126745168317
126745168317,R-4,8184,9244,126745168317
126745668317,W-0,232,46207,126745668317
126745668317,R-0,207,1005,126740168317
126745668317,R-0,11302,11852,126745668317
126745668317,R-1,2195,2964,126745668317
126745668317,R-2,4236,4900,126745668317
126745668317,R-3,6193,6915,126745668317
126745668317,R-4,8189,9178,126745668317
126746668317,W-0,211,35624,126746668317
126746668317,R-0,456,1267,126746668317
126746668317,R-1,2220,2917,126746668317
126746668317,R-2,4256,4882,126746668317
126746668317,R-3,6186,6865,126746668317
126746668317,R-4,8194,8856,126746668317
126749668317,W-0,219,22002,126749668317
126749668317,R-0,463,1356,126749668317
126749668317,R-1,2182,3063,126749668317
126749668317,R-2,4202,4904,126749668317
126749668317,R-3,6187,6828,126749668317
126749668317,R-4,8327,8910,126749668317
126751668317,W-0,205,12890,126751668317
126751668317,R-0,457,1681,126751668317
126751668317,R-1,2225,3245,126751668317
126751668317,R-2,4199,4926,126751668317
