Time(micros),Thread, Start(micros),Delay (micros),Value
127318000212,W-0,208,51743,127318000212
127318000212,R-0,702,1762,127318000212
127318000212,R-1,2201,3073,127318000212
127318000212,R-2,4198,4975,127318000212
127318000212,R-3,6198,7014,127318000212
127318000212,R-4,8218,9090,127318000212
127318500212,W-0,207,35187,127318500212
127318500212,R-0,207,1104,127318000212
127318500212,R-0,11385,12083,127318500212
127318500212,R-1,2199,3117,127318500212
127318500212,R-2,4205,5110,127318500212
127318500212,R-3,6202,6972,127318500212
127318500212,R-4,8183,9266,127318500212
127319500212,W-0,281,41254,127319500212
127319500212,R-0,614,3184,127319500212
127319500212,R-1,2988,3976,127319500212
127319500212,R-2,4197,5062,127319500212
127319500212,R-3,6184,6973,127319500212
127319500212,R-4,8197,9893,127319500212
127320500212,W-0,206,25168,127320500212
127320500212,R-0,572,1636,127320500212
127320500212,R-1,2203,3195,127320500212
127320500212,R-2,4192,5036,127320500212
127320500212,R-3,6263,7193,127320500212
127320500212,R-4,8195,9078,127320500212
127321500212,W-0,213,48186,127321500212
127321500212,R-0,553,1584,127321500212
127321500212,R-1,2263,3120,127321500212
127321500212,R-2,4260,4945,127321500212
127321500212,R-3,6193,6915,127321500212
127321500212,R-4,8408,9126,127321500212
127325000212,W-0,185,49037,127325000212
127325000212,R-0,563,3966,127325000212
127325000212,R-1,2221,4495,127325000212
127325000212,R-2,4240,4925,127325000212
127325000212,R-3,6228,7059,127325000212
127325000212,R-4,8200,8979,127325000212
127325500212,W-0,225,300000,127325500212
127325500212,R-0,299,1581,127325500212
127325500212,R-1,2191,3081,127325500212
127325500212,R-2,4201,5065,127325500212
127325500212,R-3,6195,6940,127325500212
127325500212,R-4,8204,8964,127325500212
127326500212,W-0,218,54300,127326500212
127326500212,R-0,239,1358,127321000212
127326500212,R-0,11861,12610,127326500212
127326500212,R-1,2328,3934,127326500212
127326500212,R-2,4183,5061,127326500212
127326500212,R-3,6217,7204,127326500212
127326500212,R-4,8193,9137,127326500212
127330500212,W-0,197,25107,127330500212
127330500212,R-0,477,1464,127325500212
127330500212,R-0,11721,12486,127330500212
127330500212,R-1,2440,3350,127330500212
127330500212,R-2,4192,5052,127330500212
127330500212,R-3,6191,7028,127330500212
127330500212,R-4,8234,9151,127330500212
127333000212,W-0,212,37865,127333000212
127333000212,R-0,537,1929,127333000212
127333000212,R-1,2160,2953,127333000212
127333000212,R-2,4275,5021,127333000212
127333000212,R-3,6216,6927,127333000212
127333000212,R-4,8190,8938,127333000212
127334000212,W-0,270,27461,127334000212
127334000212,R-0,547,1546,127334000212
127334000212,R-1,2195,2929,127334000212
127334000212,R-2,4216,4959,127334000212
127334000212,R-3,6196,6969,127334000212
127334000212,R-4,8251,8977,127334000212
127335500212,W-0,204,21119,127335500212
127335500212,R-0,503,1669,127335500212
127335500212,R-1,2214,3165,127335500212
127335500212,R-2,4198,4892,127335500212
127335500212,R-3,6206,6891,127335500212
127335500212,R-4,8175,9019,127335500212
127336000212,W-0,211,161403,127336000212
127336000212,R-0,488,1447,127336000212
127336000212,R-1,2184,3007,127336000212
127336000212,R-2,4186,4925,127336000212
