Time(micros),Thread, Start(micros),Delay (micros),Value
129105057067,W-0,213,17343,129105057067
129105057067,R-0,766,1634,129104557067
129105057067,R-0,11865,12840,129105057067
129105057067,R-1,2174,3093,129105057067
129105057067,R-2,4214,7262,129105057067
129105057067,R-3,6294,7112,129105057067
129105057067,R-4,8189,9057,129105057067
129105557067,W-0,192,14565,129105557067
129105557067,R-0,684,2319,129105057067
129105557067,R-0,12574,13540,129105557067
129105557067,R-1,2229,2980,129105557067
129105557067,R-2,4223,5201,129105557067
129105557067,R-3,6187,7144,129105557067
129105557067,R-4,8259,9697,129105557067
129106557067,W-0,272,38853,129106557067
129106557067,R-0,670,1439,129105557067
129106557067,R-0,11714,12845,129106557067
129106557067,R-1,2198,3129,129106557067
129106557067,R-2,4221,5037,129106557067
129106557067,R-3,6185,6881,129106557067
129106557067,R-4,8207,9045,129106557067
129107557067,W-0,213,43488,129107557067
129107557067,R-0,438,1271,129106557067
129107557067,R-0,11643,12246,129106557067
129107557067,R-0,22498,23142,129106557067
129107557067,R-0,33361,34100,129106557067
129107557067,R-0,44548,45185,129106557067
129107557067,R-0,55401,56083,129106557067
129107557067,R-0,66281,67059,129106557067
129107557067,R-0,77262,78065,129106557067
129107557067,R-0,88318,89131,129106557067
129107557067,R-0,99339,100102,129106557067
129107557067,R-0,110342,111019,129106557067
129107557067,R-0,121248,121896,129106557067
129107557067,R-0,132181,133071,129106557067
129107557067,R-0,143288,144089,129106557067
129107557067,R-0,154316,155373,129106557067
129107557067,R-0,165612,166204,129106557067
129107557067,R-0,176508,177161,129106557067
129107557067,R-0,187359,188089,129106557067
129107557067,R-0,198302,199148,129106557067
129107557067,R-0,209593,210209,129106557067
129107557067,R-0,220484,221242,129106557067
129107557067,R-0,231468,233151,129106557067
129107557067,R-0,243387,244139,129106557067
129107557067,R-0,254386,255124,129106557067
129107557067,R-0,265336,266099,129106557067
129107557067,R-0,276327,277197,129106557067
129107557067,R-0,288122,289694,129106557067
129107557067,R-0,299868,300758,129106557067
129107557067,R-0,311013,311688,129106557067
129107557067,R-0,322002,322745,129106557067
129107557067,R-0,333028,333990,129106557067
129107557067,R-0,344172,344991,129106557067
129107557067,R-0,355267,356077,129106557067
129107557067,R-0,366288,367051,129106557067
129107557067,R-0,377258,378086,129106557067
129107557067,R-0,388297,389085,129106557067
129107557067,R-0,399294,400281,129107557067
129107557067,R-1,2262,3127,129106557067
129107557067,R-1,13354,14069,129106557067
129107557067,R-1,24287,25052,129106557067
129107557067,R-1,35298,35992,129106557067
129107557067,R-1,46193,46793,129106557067
129107557067,R-1,57006,58874,129106557067
129107557067,R-1,69078,69978,129106557067
129107557067,R-1,80339,81318,129106557067
129107557067,R-1,91832,92557,129106557067
129107557067,R-1,102852,103913,129106557067
129107557067,R-1,114248,114835,129106557067
129107557067,R-1,125231,125901,129106557067
129107557067,R-1,136350,137072,129106557067
129107557067,R-1,147630,148392,129106557067
129107557067,R-1,158628,159187,129106557067
129107557067,R-1,169555,170270,129106557067
129107557067,R-1,181348,182266,129106557067
129107557067,R-1,192472,193135,129106557067
129107557067,R-1,203636,204236,129106557067
129107557067,R-1,214449,215105,129106557067
129107557067,R-1,225473,226284,129106557067
129107557067,R-1,236520,237229,129106557067
129107557067,R-1,247428,248505,129106557067
129107557067,R-1,258711,259518,129106557067
129107557067,R-1,269772,270506,129106557067
129107557067,R-1,280791,281619,129106557067
129107557067,R-1,296704,297439,129106557067
129107557067,R-1,307682,308817,129106557067
129107557067,R-1,319083,319822,129106557067
129107557067,R-1,330055,330791,129106557067
129107557067,R-1,341036,342310,129106557067
129107557067,R-1,352542,353671,129106557067
129107557067,R-1,363976,364731,129106557067
129107557067,R-1,375045,375931,129106557067
129107557067,R-1,386349,387478,129107557067
129107557067,R-2,4175,4902,129106557067
129107557067,R-2,15172,15857,129106557067
129107557067,R-2,26067,26624,129106557067
129107557067,R-2,36828,37665,129106557067
129107557067,R-2,47849,48498,129106557067
129107557067,R-2,58710,59399,129106557067
129107557067,R-2,69550,70188,129106557067
129107557067,R-2,80471,81128,129106557067
129107557067,R-2,91600,92251,129106557067
129107557067,R-2,102582,103163,129106557067
129107557067,R-2,113392,114054,129106557067
129107557067,R-2,124338,125081,129106557067
129107557067,R-2,135307,136199,129106557067
129107557067,R-2,146720,147516,129106557067
129107557067,R-2,157724,158364,129106557067
129107557067,R-2,168591,169438,129106557067
129107557067,R-2,179655,181117,129106557067
129107557067,R-2,191336,191991,129106557067
129107557067,R-2,202250,203117,129106557067
129107557067,R-2,213322,214171,129106557067
129107557067,R-2,224479,225272,129106557067
129107557067,R-2,235493,236239,129106557067
129107557067,R-2,246526,247176,129106557067
129107557067,R-2,257382,258056,129106557067
129107557067,R-2,268258,269185,129106557067
129107557067,R-2,279423,280208,129106557067
129107557067,R-2,290759,291445,129106557067
129107557067,R-2,301652,302406,129106557067
129107557067,R-2,312669,313441,129106557067
129107557067,R-2,323699,324473,129106557067
129107557067,R-2,334717,335485,129106557067
129107557067,R-2,346168,347894,129106557067
129107557067,R-2,358233,359081,129106557067
129107557067,R-2,369340,370270,129106557067
129107557067,R-2,380447,381283,129106557067
129107557067,R-2,391515,394761,129107557067
129107557067,R-3,6249,6981,129106557067
129107557067,R-3,17221,17815,129106557067
129107557067,R-3,28020,28630,129106557067
129107557067,R-3,38842,39687,129106557067
129107557067,R-3,49886,50521,129106557067
129107557067,R-3,60842,61586,129106557067
129107557067,R-3,71788,72567,129106557067
129107557067,R-3,82770,83488,129106557067
129107557067,R-3,94197,95115,129106557067
129107557067,R-3,105437,106157,129106557067
129107557067,R-3,116389,117013,129106557067
129107557067,R-3,127228,128005,129106557067
129107557067,R-3,138252,139293,129106557067
129107557067,R-3,149507,150130,129106557067
129107557067,R-3,160331,161082,129106557067
129107557067,R-3,171325,172049,129106557067
129107557067,R-3,182471,183163,129106557067
129107557067,R-3,193514,194201,129106557067
129107557067,R-3,204425,205054,129106557067
129107557067,R-3,215322,216217,129106557067
129107557067,R-3,226468,227184,129106557067
129107557067,R-3,237398,238185,129106557067
129107557067,R-3,248971,250386,129106557067
129107557067,R-3,260596,261367,129106557067
129107557067,R-3,271567,272284,129106557067
129107557067,R-3,286253,287133,129106557067
129107557067,R-3,297533,298223,129106557067
129107557067,R-3,308617,309344,129106557067
129107557067,R-3,319597,320688,129106557067
129107557067,R-3,331002,331705,129106557067
129107557067,R-3,341916,343093,129106557067
129107557067,R-3,353357,354132,129106557067
129107557067,R-3,364402,365172,129106557067
129107557067,R-3,375395,376280,129106557067
129107557067,R-3,386601,387566,129107557067
129107557067,R-4,8191,8973,129106557067
129107557067,R-4,19331,20192,129106557067
129107557067,R-4,30409,31099,129106557067
129107557067,R-4,41342,42014,129106557067
129107557067,R-4,52214,52864,129106557067
129107557067,R-4,63079,63752,129106557067
129107557067,R-4,73988,74636,129106557067
129107557067,R-4,84831,85788,129106557067
129107557067,R-4,96111,96754,129106557067
129107557067,R-4,106995,107583,129106557067
129107557067,R-4,117821,118407,129106557067
129107557067,R-4,128629,129432,129106557067
129107557067,R-4,139651,140487,129106557067
129107557067,R-4,150716,151409,129106557067
129107557067,R-4,161607,162354,129106557067
129107557067,R-4,172592,173360,129106557067
129107557067,R-4,183636,184622,129106557067
129107557067,R-4,194866,195560,129106557067
129107557067,R-4,205762,206323,129106557067
129107557067,R-4,216470,217192,129106557067
129107557067,R-4,227401,228166,129106557067
129107557067,R-4,238498,239325,129106557067
129107557067,R-4,250095,250868,129106557067
129107557067,R-4,261049,261679,129106557067
129107557067,R-4,272009,272735,129106557067
129107557067,R-4,283052,284047,129106557067
129107557067,R-4,294318,295455,129106557067
129107557067,R-4,305679,306460,129106557067
129107557067,R-4,316684,317455,129106557067
129107557067,R-4,327661,328431,129106557067
129107557067,R-4,338648,340201,129106557067
129107557067,R-4,350473,351323,129106557067
129107557067,R-4,361552,362431,129106557067
129107557067,R-4,372663,373637,129106557067
129107557067,R-4,383843,386861,129107557067
129108557067,W-0,202,21740,129108557067
129108557067,R-0,577,1634,129107057067
129108557067,R-0,11880,12658,129107057067
129108557067,R-0,22881,23544,129108557067
129108557067,R-1,2236,3311,129107057067
129108557067,R-1,13576,15325,129107057067
129108557067,R-1,25686,26630,129108557067
129108557067,R-2,4210,4931,129108557067
129108557067,R-3,6210,7098,129107057067
129108557067,R-3,17383,18131,129108557067
129108557067,R-4,8193,8871,129108557067
129112057067,W-0,213,53105,129112057067
129112057067,R-0,378,1340,129111057067
129112057067,R-0,11626,12451,129112057067
129112057067,R-1,2219,3220,129112057067
129112057067,R-2,4184,5106,129112057067
129112057067,R-3,6226,7139,129112057067
129112057067,R-4,8191,9203,129112057067
129112557067,W-0,221,23404,129112557067
129112557067,R-0,582,1429,129110057067
129112557067,R-0,11670,12282,129112557067
129112557067,R-1,2207,2851,129110057067
129112557067,R-1,13099,13681,129112557067
129112557067,R-2,4197,4975,129112557067
129112557067,R-3,6192,6837,129112557067
129112557067,R-4,8201,8830,129112557067
129113557067,W-0,231,11314,129113557067
129113557067,R-0,528,1281,129108057067
129113557067,R-0,11608,12271,129113557067
