Time(micros),Thread, Start(micros),Delay (micros),Value
130294732350,W-0,207,55491,130294732350
130294732350,R-0,213,1044,130294232350
130294732350,R-0,11319,12057,130294732350
130294732350,R-1,2215,3234,130294732350
130294732350,R-2,4180,6861,130294732350
130294732350,R-3,6315,7061,130294732350
130294732350,R-4,8133,10571,130294732350
130295232350,W-0,695,31247,130295232350
130295232350,R-0,375,1268,130294732350
130295232350,R-0,11557,12315,130295232350
130295232350,R-1,2222,3079,130294732350
130295232350,R-1,13306,14113,130295232350
130295232350,R-2,4196,5148,130295232350
130295232350,R-3,6195,7001,130295232350
130295232350,R-4,8220,9252,130295232350
130296232350,W-0,230,32250,130296232350
130296232350,R-0,457,1239,130295232350
130296232350,R-0,11504,12340,130296232350
130296232350,R-1,2208,2928,130296232350
130296232350,R-2,4215,4924,130296232350
130296232350,R-3,6206,7067,130296232350
130296232350,R-4,8191,8989,130296232350
130297232350,W-0,273,73133,130297232350
130297232350,R-0,316,1412,130296232350
130297232350,R-0,11745,12544,130297232350
130297232350,R-1,2213,2964,130297232350
130297232350,R-2,4218,5105,130297232350
130297232350,R-3,6211,7175,130297232350
130297232350,R-4,8194,9127,130297232350
130298232350,W-0,241,47530,130298232350
130298232350,R-0,615,1463,130296732350
130298232350,R-0,11732,12462,130296732350
130298232350,R-0,22723,23791,130296732350
130298232350,R-0,34020,34761,130296732350
130298232350,R-0,44976,45926,130298232350
130298232350,R-1,2208,3013,130296732350
130298232350,R-1,13224,14041,130298232350
130298232350,R-2,4200,5006,130298232350
130298232350,R-3,6254,7205,130298232350
130298232350,R-4,8192,9572,130296732350
130298232350,R-4,19909,20592,130296732350
130298232350,R-4,30928,31811,130296732350
130298232350,R-4,42038,42875,130298232350
130301732350,W-0,207,54364,130301732350
130301732350,R-0,634,1721,130300732350
130301732350,R-0,11977,12585,130301732350
130301732350,R-1,2219,3039,130301732350
130301732350,R-2,4222,5062,130301732350
130301732350,R-3,6200,7082,130301732350
130301732350,R-4,8203,9294,130301732350
130302232350,W-0,207,34818,130302232350
130302232350,R-0,506,1481,130299732350
130302232350,R-0,11780,12505,130302232350
