Time(micros),Thread, Start(micros),Delay (micros),Value
136854094986,W-0,226,4102,136854094986
136854094986,R-0,184,1646,136853594986
136854094986,R-0,11941,14259,136854094986
136854094986,R-1,2200,5762,136854094986
136854094986,R-2,4262,6091,136854094986
136854094986,R-3,6276,9673,136854094986
136854094986,R-4,8270,9417,136854094986
136854594986,W-0,229,3541,136854594986
136854594986,R-0,221,1120,136854094986
136854594986,R-0,11392,13361,136854594986
136854594986,R-1,2182,3191,136854094986
136854594986,R-1,13493,14179,136854594986
136854594986,R-2,4188,7356,136854094986
136854594986,R-2,17626,18294,136854594986
136854594986,R-3,6234,7106,136854594986
136854594986,R-4,8222,10610,136854594986
136855594986,W-0,238,31257,136855594986
136855594986,R-0,572,1382,136854594986
136855594986,R-0,11724,12357,136855594986
136855594986,R-1,2240,4965,136855594986
136855594986,R-2,4374,5303,136855594986
136855594986,R-3,6240,7076,136855594986
136855594986,R-4,8141,8898,136855594986
136856594986,W-0,605,4161,136856594986
136856594986,R-0,269,1259,136855594986
136856594986,R-0,11793,12636,136856594986
136856594986,R-1,2175,3220,136856594986
136856594986,R-2,4299,5114,136856594986
136856594986,R-3,6185,9243,136856594986
136856594986,R-4,8187,8945,136856594986
136857594986,W-0,208,4062,136857594986
136857594986,R-0,210,956,136856094986
136857594986,R-0,11323,12115,136857594986
136857594986,R-1,2189,3053,136856094986
136857594986,R-1,13283,13989,136857594986
136857594986,R-2,4210,4906,136857594986
136857594986,R-3,6209,7162,136857594986
136857594986,R-4,8216,8917,136857594986
136861094986,W-0,174,2578,136861094986
136861094986,R-0,467,1239,136861094986
136861094986,R-1,2191,3289,136860094986
136861094986,R-1,13509,14154,136861094986
136861094986,R-2,4213,4931,136861094986
136861094986,R-3,6248,7072,136861094986
136861094986,R-4,8194,8842,136861094986
136861594986,W-0,174,3719,136861594986
136861594986,R-0,218,1248,136859094986
136861594986,R-0,11496,12365,136861594986
136861594986,R-1,2224,3173,136861594986
136861594986,R-2,4225,5141,136861594986
136861594986,R-3,6173,7110,136861594986
136861594986,R-4,8150,8963,136861594986
136862594986,W-0,205,5313,136862594986
136862594986,R-0,518,1600,136862594986
136862594986,R-1,2177,3215,136862594986
136862594986,R-2,4196,4972,136862594986
136862594986,R-3,6188,6938,136862594986
136862594986,R-4,8174,8780,136862594986
136866594986,W-0,214,3635,136866594986
136866594986,R-0,568,1548,136866594986
136866594986,R-1,2142,3046,136866594986
136866594986,R-2,4194,4876,136866594986
136866594986,R-3,6156,6918,136866594986
136866594986,R-4,8211,9094,136866594986
136869094986,W-0,609,3936,136869094986
136869094986,R-0,282,1259,136868094986
136869094986,R-0,11594,12266,136869094986
136869094986,R-1,2200,3001,136869094986
136869094986,R-2,4160,4823,136869094986
136869094986,R-3,6211,6839,136869094986
136869094986,R-4,8218,9107,136869094986
136870094986,W-0,200,3779,136870094986
136870094986,R-0,524,1627,136870094986
136870094986,R-1,2197,3118,136870094986
136870094986,R-2,4128,4959,136870094986
136870094986,R-3,6219,6918,136870094986
136870094986,R-4,8203,9124,136870094986
136871594986,W-0,205,2780,136871594986
136871594986,R-0,496,1227,136863094986
136871594986,R-0,11475,12154,136871594986
136871594986,R-1,2176,3002,136863094986
136871594986,R-1,13265,13973,136871594986
136871594986,R-2,4187,4811,136871594986
136871594986,R-3,6205,6855,136871594986
136871594986,R-4,8261,8870,136871594986
136872094986,W-0,176,3640,136872094986
136872094986,R-0,183,826,136855094986
136872094986,R-0,11123,11850,136872094986
136872094986,R-1,2191,2899,136855094986
136872094986,R-1,13153,13828,136872094986
136872094986,R-2,4302,4949,136872094986
136872094986,R-3,6142,6796,136855094986
136872094986,R-3,17068,17789,136872094986
136872094986,R-4,8332,9080,136855094986
136872094986,R-4,19322,19988,136872094986
136872594986,W-0,235,3628,136872594986
136872594986,R-0,214,903,136859594986
136872594986,R-0,11155,11776,136872594986
136872594986,R-1,2199,2962,136872594986
136872594986,R-2,4145,4875,136872594986
136872594986,R-3,6234,6966,136872594986
136872594986,R-4,8273,9055,136872594986
136875594986,W-0,202,4402,136875594986
136875594986,R-0,486,1915,136875594986
136875594986,R-1,2183,3002,136875594986
136875594986,R-2,4188,4796,136875594986
136875594986,R-3,6204,6884,136875594986
136875594986,R-4,8213,8933,136875594986
136876094986,W-0,211,4289,136876094986
136876094986,R-0,544,1841,136874594986
136876094986,R-0,12190,12793,136876094986
136876094986,R-1,2189,3467,136876094986
136876094986,R-2,4244,4915,136876094986
136876094986,R-3,6193,6909,136876094986
136876094986,R-4,8203,8993,136876094986
136876594986,W-0,251,5209,136876594986
