Time(micros),Thread, Start(micros),Delay (micros),Value
138640901167,W-0,198,4660,138640901167
138640901167,R-0,744,2585,138640901167
138640901167,R-1,2187,3046,138640901167
138640901167,R-2,4248,5214,138640901167
138640901167,R-3,6203,7153,138640901167
138640901167,R-4,8189,9294,138640901167
138641401167,W-0,214,4235,138641401167
138641401167,R-0,811,1963,138641401167
138641401167,R-1,2267,3180,138641401167
138641401167,R-2,4419,5114,138641401167
138641401167,R-3,6185,6994,138641401167
138641401167,R-4,8217,8993,138641401167
138642401167,W-0,234,5422,138642401167
138642401167,R-0,704,1626,138642401167
138642401167,R-1,2187,3384,138642401167
138642401167,R-2,4198,5121,138642401167
138642401167,R-3,6180,7107,138642401167
138642401167,R-4,8189,9021,138642401167
138643401167,W-0,349,4053,138643401167
138643401167,R-0,390,1294,138642401167
138643401167,R-0,11594,12223,138643401167
138643401167,R-1,2186,3635,138643401167
138643401167,R-2,4367,5136,138643401167
138643401167,R-3,6182,7094,138643401167
138643401167,R-4,8195,8991,138643401167
138644401167,W-0,212,3747,138644401167
138644401167,R-0,548,1467,138644401167
138644401167,R-1,2205,3242,138644401167
138644401167,R-2,4192,5055,138644401167
138644401167,R-3,6177,7044,138644401167
138644401167,R-4,8194,9381,138644401167
138647901167,W-0,451,4428,138647901167
138647901167,R-0,300,1234,138646901167
138647901167,R-0,11489,12074,138647901167
138647901167,R-1,2199,2957,138647901167
138647901167,R-2,4224,5533,138647901167
138647901167,R-3,6202,7191,138647901167
138647901167,R-4,8246,9125,138647901167
138648401167,W-0,237,3623,138648401167
138648401167,R-0,553,1478,138648401167
138648401167,R-1,2195,3010,138648401167
138648401167,R-2,4232,4986,138648401167
138648401167,R-3,6420,7052,138648401167
138648401167,R-4,8201,9055,138648401167
138649401167,W-0,197,3749,138649401167
138649401167,R-0,484,1676,138649401167
138649401167,R-1,2219,3045,138649401167
138649401167,R-2,4191,5011,138649401167
138649401167,R-3,6193,7195,138649401167
138649401167,R-4,8142,9015,138649401167
138653401167,W-0,202,9996,138653401167
138653401167,R-0,572,1538,138653401167
138653401167,R-1,2169,2983,138653401167
138653401167,R-2,4197,5059,138653401167
138653401167,R-3,6267,7438,138653401167
138653401167,R-4,8193,9008,138653401167
138655901167,W-0,239,3917,138655901167
138655901167,R-0,580,1590,138655901167
138655901167,R-1,2171,3150,138655901167
138655901167,R-2,4166,4927,138655901167
138655901167,R-3,6263,6974,138655901167
138655901167,R-4,8195,8941,138655901167
138656901167,W-0,573,5357,138656901167
138656901167,R-0,390,1146,138647901167
138656901167,R-0,11396,12067,138656901167
138656901167,R-1,2205,3021,138656901167
138656901167,R-2,4201,5088,138656901167
138656901167,R-3,6245,6941,138656901167
138656901167,R-4,8197,8998,138656901167
138658401167,W-0,233,16766,138658401167
138658401167,R-0,561,1479,138658401167
138658401167,R-1,2215,3078,138658401167
138658401167,R-2,4153,4806,138658401167
138658401167,R-3,6252,7226,138658401167
138658401167,R-4,8215,9478,138658401167
138658901167,W-0,335,4525,138658901167
138658901167,R-0,687,1913,138658901167
138658901167,R-1,2219,3025,138658901167
138658901167,R-2,4192,5013,138658901167
138658901167,R-3,6200,7019,138658901167
138658901167,R-4,8218,9038,138658901167
138659401167,W-0,448,5155,138659401167
138659401167,R-0,307,1081,138646401167
138659401167,R-0,11348,11980,138659401167
138659401167,R-1,2263,3360,138659401167
138659401167,R-2,4209,5317,138659401167
138659401167,R-3,6200,6905,138659401167
138659401167,R-4,8218,8985,138659401167
138662401167,W-0,190,3615,138662401167
138662401167,R-0,512,1465,138662401167
138662401167,R-1,2216,3213,138662401167
138662401167,R-2,4182,5350,138662401167
138662401167,R-3,6199,7017,138662401167
138662401167,R-4,8181,9030,138662401167
138662901167,W-0,207,2649,138662901167
138662901167,R-0,491,1274,138662901167
138662901167,R-1,2163,2990,138662901167
138662901167,R-2,4216,5069,138662901167
138662901167,R-3,6182,6778,138662901167
138662901167,R-4,8186,8899,138662901167
138663401167,W-0,236,3951,138663401167
138663401167,R-0,526,1760,138663401167
138663401167,R-1,2251,3019,138663401167
138663401167,R-2,4197,4923,138663401167
138663401167,R-3,6199,6784,138663401167
138663401167,R-4,8185,9066,138663401167
138663901167,W-0,209,12048,138663901167
138663901167,R-0,280,1284,138663901167
138663901167,R-1,2172,2816,138663901167
138663901167,R-2,4141,4970,138663901167
138663901167,R-3,6194,6797,138663901167
138663901167,R-4,8171,9507,138663901167
138664901167,W-0,210,4603,138664901167
138664901167,R-0,522,1809,138664901167
138664901167,R-1,2262,3000,138664901167
138664901167,R-2,4247,5117,138664901167
138664901167,R-3,6192,7200,138664901167
138664901167,R-4,8187,9015,138664901167
138667901167,W-0,207,5302,138667901167
138667901167,R-0,456,1658,138667901167
138667901167,R-1,2218,2994,138667901167
138667901167,R-2,4250,5035,138667901167
138667901167,R-3,6206,6820,138667901167
138667901167,R-4,8213,8773,138667901167
138669901167,W-0,213,11009,138669901167
138669901167,R-0,492,1483,138669901167
138669901167,R-1,2173,3050,138669901167
138669901167,R-2,4188,4978,138669901167
138669901167,R-3,6185,6825,138669901167
138669901167,R-4,8141,8887,138669901167
138670401167,W-0,454,4622,138670401167
138670401167,R-0,329,1762,138644401167
138670401167,R-0,12066,12637,138670401167
138670401167,R-1,2206,2771,138670401167
138670401167,R-2,4207,4944,138670401167
138670401167,R-3,6203,7517,138670401167
138670401167,R-4,8173,8887,138670401167
138670901167,W-0,204,3778,138670901167
138670901167,R-0,425,1504,138670901167
138670901167,R-1,2195,3220,138670901167
138670901167,R-2,4185,5332,138670901167
138670901167,R-3,6205,7092,138670901167
138670901167,R-4,8191,8991,138670901167
138672401167,W-0,206,3680,138672401167
138672401167,R-0,503,1685,138672401167
138672401167,R-1,2152,2871,138672401167
