Time(micros),Thread, Start(micros),Delay (micros),Value
139831211533,W-0,186,4587,139831211533
139831211533,R-0,733,1864,139831211533
139831211533,R-1,2191,3076,139831211533
139831211533,R-2,4179,4863,139831211533
139831211533,R-3,6184,8531,139831211533
139831211533,R-4,8187,9147,139831211533
139831711533,W-0,747,6694,139831711533
139831711533,R-0,291,2772,139831711533
139831711533,R-1,2318,3556,139831711533
139831711533,R-2,4206,5004,139831711533
139831711533,R-3,6241,7037,139831711533
139831711533,R-4,8216,8969,139831711533
139832711533,W-0,223,3867,139832711533
139832711533,R-0,583,1705,139832711533
139832711533,R-1,2259,2948,139832711533
139832711533,R-2,4222,5009,139832711533
139832711533,R-3,6188,7122,139832711533
139832711533,R-4,8196,8930,139832711533
139833711533,W-0,216,65069,139833711533
139833711533,R-0,228,1222,139832711533
139833711533,R-0,11507,65805,139833711533
139833711533,R-1,2189,3074,139833711533
139833711533,R-2,4199,4999,139833711533
139833711533,R-3,6266,7149,139833711533
139833711533,R-4,8209,65721,139833711533
139834711533,W-0,237,3974,139834711533
139834711533,R-0,565,2052,139834711533
139834711533,R-1,2360,3214,139834711533
139834711533,R-2,4201,5038,139834711533
139834711533,R-3,6189,6876,139834711533
139834711533,R-4,8199,8989,139834711533
139838211533,W-0,228,262559,139838211533
139838211533,R-0,554,1511,139838211533
139838211533,R-1,2137,2966,139838211533
139838211533,R-2,4207,5068,139838211533
139838211533,R-3,6187,7006,139838211533
139838211533,R-4,8203,8960,139838211533
139838711533,W-0,209,3926,139838711533
139838711533,R-0,543,1518,139838711533
139838711533,R-1,2206,3204,139838711533
139838711533,R-2,4176,4763,139838711533
139838711533,R-3,6199,6902,139838711533
139838711533,R-4,8180,8910,139838711533
139839711533,W-0,204,3871,139839711533
139839711533,R-0,654,1836,139839711533
139839711533,R-1,2201,2855,139839711533
139839711533,R-2,4193,4764,139839711533
139839711533,R-3,6190,6842,139839711533
139839711533,R-4,8186,8976,139839711533
139843711533,W-0,213,9971,139843711533
139843711533,R-0,218,1052,139838711533
139843711533,R-0,11306,12009,139843711533
139843711533,R-1,2215,2881,139843711533
139843711533,R-2,4204,4947,139843711533
139843711533,R-3,6189,7000,139843711533
139843711533,R-4,8224,9021,139843711533
139846211533,W-0,226,10289,139846211533
139846211533,R-0,594,1692,139846211533
139846211533,R-1,2136,3142,139846211533
139846211533,R-2,4161,4786,139846211533
139846211533,R-3,6211,7006,139846211533
139846211533,R-4,8202,9051,139846211533
139847211533,W-0,210,3832,139847211533
139847211533,R-0,397,1534,139847211533
139847211533,R-1,2275,3336,139847211533
139847211533,R-2,4220,5144,139847211533
139847211533,R-3,6186,7062,139847211533
139847211533,R-4,8189,8979,139847211533
139848711533,W-0,247,3935,139848711533
139848711533,R-0,507,1682,139848711533
139848711533,R-1,2143,3054,139848711533
139848711533,R-2,4208,4799,139848711533
139848711533,R-3,6215,7270,139848711533
139848711533,R-4,8188,8934,139848711533
139849211533,W-0,170,15809,139849211533
139849211533,R-0,453,1312,139849211533
139849211533,R-1,2221,2838,139849211533
139849211533,R-2,4154,4755,139849211533
139849211533,R-3,6216,6994,139849211533
139849211533,R-4,8206,8829,139849211533
139849711533,W-0,221,3697,139849711533
139849711533,R-0,524,1579,139849711533
139849711533,R-1,2209,2961,139849711533
139849711533,R-2,4235,4959,139849711533
139849711533,R-3,6200,6879,139849711533
139849711533,R-4,8168,8925,139849711533
139852711533,W-0,242,4629,139852711533
139852711533,R-0,546,2037,139852711533
139852711533,R-1,2220,2923,139852711533
139852711533,R-2,4290,5034,139852711533
139852711533,R-3,6191,6868,139852711533
139852711533,R-4,8211,8870,139852711533
139853211533,W-0,242,3652,139853211533
139853211533,R-0,530,1558,139853211533
139853211533,R-1,2190,2869,139853211533
139853211533,R-2,4197,4978,139853211533
139853211533,R-3,6253,7009,139853211533
139853211533,R-4,8193,8842,139853211533
139853711533,W-0,223,23894,139853711533
139853711533,R-0,554,20456,139853711533
139853711533,R-1,2203,20325,139853711533
139853711533,R-2,4201,19596,139853711533
139853711533,R-3,6206,19862,139853711533
139853711533,R-4,8220,20094,139853711533
139854211533,W-0,205,4660,139854211533
139854211533,R-0,522,1454,139854211533
139854211533,R-1,2133,2933,139854211533
139854211533,R-2,4228,5029,139854211533
139854211533,R-3,6293,6992,139854211533
139854211533,R-4,8435,9217,139854211533
139855211533,W-0,212,64340,139855211533
139855211533,R-0,621,1620,139855211533
139855211533,R-1,2194,3000,139855211533
139855211533,R-2,4262,5012,139855211533
139855211533,R-3,6252,6923,139855211533
139855211533,R-4,8204,8974,139855211533
139858211533,W-0,209,4548,139858211533
139858211533,R-0,221,1239,139849711533
139858211533,R-0,11595,12284,139858211533
139858211533,R-1,2186,3188,139858211533
139858211533,R-2,4243,5007,139858211533
139858211533,R-3,6193,7430,139858211533
139858211533,R-4,8187,8974,139858211533
139860211533,W-0,206,4195,139860211533
139860211533,R-0,466,1675,139860211533
139860211533,R-1,2211,2967,139860211533
139860211533,R-2,4346,5011,139860211533
139860211533,R-3,6192,7106,139860211533
139860211533,R-4,8187,8788,139860211533
139860711533,W-0,196,3323,139860711533
139860711533,R-0,608,1634,139860711533
139860711533,R-1,2187,3034,139860711533
139860711533,R-2,4196,4747,139860711533
139860711533,R-3,6187,6930,139860711533
139860711533,R-4,8225,8849,139860711533
139861211533,W-0,257,3746,139861211533
139861211533,R-0,560,1834,139861211533
139861211533,R-1,2184,3100,139861211533
139861211533,R-2,4204,4839,139861211533
139861211533,R-3,6189,7154,139861211533
139861211533,R-4,8203,8843,139861211533
139862711533,W-0,173,110315,139862711533
139862711533,R-0,455,1524,139862711533
139862711533,R-1,2169,2972,139862711533
139862711533,R-2,4215,4864,139862711533
139862711533,R-3,6231,6873,139862711533
139862711533,R-4,8234,8973,139862711533
139863211533,W-0,415,3323,139863211533
139863211533,R-0,192,955,139860211533
139863211533,R-0,11258,12010,139863211533
139863211533,R-1,2229,2963,139863211533
139863211533,R-2,4203,4965,139863211533
139863211533,R-3,6192,6931,139863211533
139863211533,R-4,8206,8805,139863211533
139865711533,W-0,235,5229,139865711533
139865711533,R-0,579,1930,139865711533
139865711533,R-1,2228,2872,139865711533
139865711533,R-2,4205,4796,139865711533
139865711533,R-3,6190,6808,139865711533
139865711533,R-4,8186,9017,139865711533
139866711533,W-0,233,4065,139866711533
139866711533,R-0,551,1854,139866711533
139866711533,R-1,2206,2869,139866711533
139866711533,R-2,4256,4951,139866711533
139866711533,R-3,6219,6871,139866711533
139866711533,R-4,8183,8921,139866711533
139867211533,W-0,222,3922,139867211533
139867211533,R-0,600,2043,139867211533
139867211533,R-1,2315,3004,139867211533
139867211533,R-2,4206,4985,139867211533
139867211533,R-3,6243,7323,139867211533
139867211533,R-4,8169,8868,139867211533
139869211533,W-0,238,5128,139869211533
139869211533,R-0,554,1523,139869211533
139869211533,R-1,2193,2812,139869211533
139869211533,R-2,4226,4871,139869211533
139869211533,R-3,6196,6809,139869211533
139869211533,R-4,8187,8954,139869211533
139870211533,W-0,231,3766,139870211533
139870211533,R-0,547,1646,139870211533
139870211533,R-1,2206,2885,139870211533
139870211533,R-2,4238,4978,139870211533
139870211533,R-3,6209,6821,139870211533
139870211533,R-4,8179,8999,139870211533
139870711533,W-0,229,4680,139870711533
139870711533,R-0,245,1236,139869211533
139870711533,R-0,11572,12442,139870711533
139870711533,R-1,2201,3049,139870711533
139870711533,R-2,4317,5115,139870711533
139870711533,R-3,6212,7050,139870711533
139870711533,R-4,8187,8897,139870711533
139871711533,W-0,268,3957,139871711533
139871711533,R-0,591,1730,139871711533
139871711533,R-1,2211,3096,139871711533
139871711533,R-2,4213,4973,139871711533
139871711533,R-3,6211,6996,139871711533
139871711533,R-4,8247,9681,139871711533
139872711533,W-0,208,3810,139872711533
139872711533,R-0,440,1451,139872711533
139872711533,R-1,2213,2883,139872711533
139872711533,R-2,4225,4918,139872711533
139872711533,R-3,6189,6782,139872711533
139872711533,R-4,8203,8810,139872711533
139873211533,W-0,209,3853,139873211533
139873211533,R-0,520,1695,139873211533
139873211533,R-1,2226,2952,139873211533
139873211533,R-2,4203,4860,139873211533
139873211533,R-3,6189,6779,139873211533
139873211533,R-4,8266,8936,139873211533
139874711533,W-0,255,3773,139874711533
139874711533,R-0,621,1397,139874711533
139874711533,R-1,2202,2815,139874711533
139874711533,R-2,4242,4929,139874711533
139874711533,R-3,6435,7126,139874711533
139874711533,R-4,8252,8950,139874711533
139876211533,W-0,466,4557,139876211533
139876211533,R-0,237,1212,139844711533
139876211533,R-0,11591,12274,139876211533
139876211533,R-1,2199,3098,139876211533
139876211533,R-2,4233,5066,139876211533
139876211533,R-3,6207,6958,139876211533
139876211533,R-4,8242,9072,139876211533
139876711533,W-0,232,3709,139876711533
139876711533,R-0,554,1672,139876711533
139876711533,R-1,2201,2812,139876711533
139876711533,R-2,4217,4864,139876711533
139876711533,R-3,6191,7081,139876711533
139876711533,R-4,8194,8807,139876711533
139879211533,W-0,409,4510,139879211533
139879211533,R-0,189,947,139847211533
139879211533,R-0,11283,11942,139879211533
139879211533,R-1,2218,2879,139879211533
139879211533,R-2,4219,4945,139879211533
139879211533,R-3,6385,7271,139879211533
139879211533,R-4,8186,8914,139879211533
139879711533,W-0,237,4506,139879711533
139879711533,R-0,380,1607,139879711533
139879711533,R-1,2190,3080,139879711533
139879711533,R-2,4212,4800,139879711533
139879711533,R-3,6196,6886,139879711533
139879711533,R-4,8208,8913,139879711533
139880211533,W-0,212,8670,139880211533
139880211533,R-0,427,5374,139880211533
139880211533,R-1,2189,5918,139880211533
139880211533,R-2,4189,5158,139880211533
139880211533,R-3,6680,7706,139880211533
139880211533,R-4,8280,9094,139880211533
139881211533,W-0,257,5451,139881211533
139881211533,R-0,552,1447,139881211533
139881211533,R-1,2140,2782,139881211533
139881211533,R-2,4223,5143,139881211533
139881211533,R-3,6193,6852,139881211533
139881211533,R-4,8231,8951,139881211533
139881711533,W-0,575,5513,139881711533
139881711533,R-0,270,1076,139856211533
139881711533,R-0,11440,12019,139881711533
139881711533,R-1,2216,3145,139881711533
139881711533,R-2,4197,4866,139881711533
139881711533,R-3,6195,6824,139881711533
139881711533,R-4,8210,8821,139881711533
139882211533,W-0,188,3395,139882211533
139882211533,R-0,426,1702,139882211533
139882211533,R-1,2271,3059,139882211533
139882211533,R-2,4292,5987,139882211533
139882211533,R-3,6206,6883,139882211533
139882211533,R-4,8188,8735,139882211533
139883711533,W-0,200,3624,139883711533
139883711533,R-0,447,1408,139883711533
139883711533,R-1,2214,3046,139883711533
139883711533,R-2,4298,5098,139883711533
139883711533,R-3,6186,6866,139883711533
139883711533,R-4,8202,8896,139883711533
139884211533,W-0,243,3775,139884211533
139884211533,R-0,537,1375,139884211533
139884211533,R-1,2196,3044,139884211533
139884211533,R-2,4283,4901,139884211533
139884211533,R-3,6219,6778,139884211533
139884211533,R-4,8216,8825,139884211533
139885211533,W-0,209,3656,139885211533
139885211533,R-0,542,1638,139885211533
139885211533,R-1,2200,2865,139885211533
139885211533,R-2,4207,4955,139885211533
139885211533,R-3,6211,6874,139885211533
139885211533,R-4,8193,8788,139885211533
139885711533,W-0,752,4506,139885711533
139885711533,R-0,601,1398,139877711533
139885711533,R-0,11706,12312,139885711533
139885711533,R-1,2189,2850,139885711533
139885711533,R-2,4191,4788,139885711533
139885711533,R-3,6183,6795,139885711533
139885711533,R-4,8213,8815,139885711533
139886711533,W-0,189,3853,139886711533
139886711533,R-0,189,1055,139881211533
139886711533,R-0,11370,12147,139886711533
139886711533,R-1,2273,3100,139886711533
139886711533,R-2,4190,4933,139886711533
139886711533,R-3,6203,6989,139886711533
139886711533,R-4,8754,9530,139886711533
139887211533,W-0,188,3682,139887211533
139887211533,R-0,646,1624,139887211533
