Time(micros),Thread, Start(micros),Delay (micros),Value
141021119107,W-0,228,4080,141021119107
141021119107,R-0,1164,4833,141021119107
141021119107,R-1,2261,7603,141021119107
141021119107,R-2,4220,5070,141021119107
141021119107,R-3,6245,9469,141021119107
141021119107,R-4,8187,11204,141021119107
141021619107,W-0,623,4636,141021619107
141021619107,R-0,192,1889,141021119107
141021619107,R-0,12742,13607,141021619107
141021619107,R-1,2224,3067,141021119107
141021619107,R-1,13343,14145,141021619107
141021619107,R-2,4174,5050,141021619107
141021619107,R-3,6191,6959,141021619107
141021619107,R-4,8181,9040,141021619107
141022619107,W-0,290,17764,141022619107
141022619107,R-0,315,1250,141021619107
141022619107,R-0,11504,12155,141021619107
141022619107,R-0,22367,23101,141022619107
141022619107,R-1,2194,3093,141021619107
141022619107,R-1,13377,14188,141021619107
141022619107,R-1,24399,25171,141021619107
141022619107,R-1,35394,36466,141022619107
141022619107,R-2,4190,7379,141021619107
141022619107,R-2,18057,18975,141022619107
141022619107,R-3,6220,7170,141021619107
141022619107,R-3,17422,18485,141021619107
141022619107,R-3,28691,29487,141021619107
141022619107,R-3,39700,40493,141021619107
141022619107,R-3,50720,51505,141021619107
141022619107,R-3,61725,62798,141021619107
141022619107,R-3,73082,73959,141021619107
141022619107,R-3,84223,85343,141022619107
141022619107,R-4,8197,9115,141021619107
141022619107,R-4,19434,20062,141022619107
141023619107,W-0,197,3717,141023619107
141023619107,R-0,197,1339,141022619107
141023619107,R-0,11598,12275,141023619107
141023619107,R-1,2251,3188,141023619107
141023619107,R-2,4186,5085,141023619107
141023619107,R-3,6200,7063,141023619107
141023619107,R-4,10061,10752,141023619107
141024619107,W-0,1990,24447,141024619107
141024619107,R-0,2127,3165,141023119107
141024619107,R-0,13398,14156,141024619107
141024619107,R-1,2448,3266,141023119107
141024619107,R-1,13621,14635,141024619107
141024619107,R-2,4172,5060,141024619107
141024619107,R-3,6228,7076,141024619107
141024619107,R-4,8173,9370,141024619107
141028119107,W-0,210,3532,141028119107
141028119107,R-0,490,1236,141027119107
141028119107,R-0,11492,12169,141028119107
141028119107,R-1,2202,3152,141028119107
141028119107,R-2,4229,4958,141028119107
141028119107,R-3,6203,6837,141028119107
141028119107,R-4,8172,8786,141028119107
141028619107,W-0,195,3556,141028619107
141028619107,R-0,490,1227,141026119107
141028619107,R-0,11471,12125,141028619107
141028619107,R-1,2190,2986,141028619107
141028619107,R-2,4190,4934,141028619107
141028619107,R-3,6191,6840,141028619107
141028619107,R-4,8185,8949,141028619107
141029619107,W-0,252,23953,141029619107
141029619107,R-0,275,1061,141024119107
141029619107,R-0,11341,12246,141029619107
141029619107,R-1,2233,3024,141029619107
141029619107,R-2,4210,5017,141029619107
141029619107,R-3,6219,6885,141029619107
141029619107,R-4,8207,9010,141029619107
141033619107,W-0,180,4662,141033619107
141033619107,R-0,449,1271,141028619107
141033619107,R-0,11573,12430,141033619107
141033619107,R-1,2194,3680,141028619107
141033619107,R-1,13992,14776,141033619107
141033619107,R-2,4314,5071,141033619107
141033619107,R-3,6221,7044,141033619107
141033619107,R-4,8192,9148,141033619107
141036119107,W-0,248,3254,141036119107
141036119107,R-0,241,1052,141035119107
141036119107,R-0,11375,12030,141036119107
141036119107,R-1,2206,3003,141036119107
141036119107,R-2,4226,5147,141036119107
141036119107,R-3,6190,6934,141036119107
141036119107,R-4,8208,8769,141036119107
141037119107,W-0,199,5047,141037119107
141037119107,R-0,479,1236,141028119107
141037119107,R-0,11596,12303,141037119107
141037119107,R-1,2195,2871,141028119107
141037119107,R-1,13167,13816,141037119107
141037119107,R-2,4246,4816,141037119107
141037119107,R-3,6213,7032,141037119107
141037119107,R-4,8221,9062,141037119107
141038619107,W-0,252,3811,141038619107
141038619107,R-0,277,1150,141030119107
141038619107,R-0,11484,12200,141038619107
141038619107,R-1,2204,3063,141038619107
141038619107,R-2,4232,5153,141038619107
141038619107,R-3,6214,7090,141038619107
141038619107,R-4,8212,9067,141038619107
141039119107,W-0,218,4580,141039119107
141039119107,R-0,469,1533,141022119107
141039119107,R-0,11831,12698,141039119107
141039119107,R-1,2258,3122,141022119107
141039119107,R-1,13343,14010,141039119107
141039119107,R-2,4231,5164,141039119107
141039119107,R-3,6207,7143,141039119107
141039119107,R-4,8193,9025,141039119107
141039619107,W-0,231,3953,141039619107
141039619107,R-0,554,1370,141026619107
141039619107,R-0,11681,12375,141039619107
141039619107,R-1,2194,3010,141039619107
141039619107,R-2,4217,4945,141039619107
141039619107,R-3,6198,6935,141039619107
141039619107,R-4,8226,8966,141039619107
141042619107,W-0,236,3725,141042619107
141042619107,R-0,542,1530,141025619107
141042619107,R-0,11807,12356,141042619107
141042619107,R-1,2185,3127,141042619107
141042619107,R-2,4226,5026,141042619107
141042619107,R-3,6198,6976,141042619107
141042619107,R-4,8209,8972,141042619107
141043119107,W-0,230,8017,141043119107
141043119107,R-0,372,1296,141041619107
141043119107,R-0,11565,12250,141043119107
141043119107,R-1,2205,2936,141041619107
141043119107,R-1,13272,13845,141043119107
141043119107,R-2,4240,4972,141041619107
141043119107,R-2,15211,15859,141043119107
141043119107,R-3,6213,7053,141041619107
141043119107,R-3,17300,17847,141043119107
141043119107,R-4,8206,8990,141041619107
141043119107,R-4,19185,19768,141043119107
141043619107,W-0,738,4892,141043619107
141043619107,R-0,480,1540,141036619107
141043619107,R-0,11976,12958,141043619107
141043619107,R-1,2266,3344,141036619107
141043619107,R-1,13687,14343,141043619107
141043619107,R-2,4275,5165,141043619107
141043619107,R-3,6266,7238,141043619107
141043619107,R-4,8162,8822,141043619107
141044119107,W-0,178,3719,141044119107
141044119107,R-0,474,1267,141038619107
141044119107,R-0,11532,12223,141044119107
141044119107,R-1,2249,3227,141044119107
141044119107,R-2,4189,4801,141044119107
141044119107,R-3,6304,6998,141044119107
141044119107,R-4,8197,8859,141044119107
141045119107,W-0,242,4844,141045119107
141045119107,R-0,290,1230,141041119107
141045119107,R-0,11439,12102,141045119107
141045119107,R-1,2201,3446,141041119107
141045119107,R-1,13717,14340,141045119107
141045119107,R-2,4407,5109,141045119107
141045119107,R-3,6179,6809,141045119107
141045119107,R-4,8193,9049,141045119107
141048119107,W-0,218,3688,141048119107
141048119107,R-0,489,1233,141039619107
141048119107,R-0,11505,12191,141048119107
141048119107,R-1,2198,3380,141048119107
141048119107,R-2,4218,5009,141048119107
141048119107,R-3,6184,6880,141048119107
141048119107,R-4,8195,8774,141048119107
141050119107,W-0,247,3967,141050119107
141050119107,R-0,516,1504,141047119107
141050119107,R-0,11760,12462,141050119107
141050119107,R-1,2250,3250,141050119107
141050119107,R-2,4145,4984,141050119107
141050119107,R-3,6190,6837,141050119107
141050119107,R-4,8186,8828,141050119107
141050619107,W-0,519,6000,141050619107
141050619107,R-0,356,1241,141024619107
141050619107,R-0,11510,12097,141050619107
141050619107,R-1,2205,3101,141050619107
141050619107,R-2,4187,4797,141050619107
141050619107,R-3,6234,6969,141050619107
141050619107,R-4,8185,9038,141050619107
141051119107,W-0,471,4223,141051119107
141051119107,R-0,212,957,141032119107
141051119107,R-0,11294,12035,141051119107
141051119107,R-1,2203,2829,141032119107
141051119107,R-1,13110,13743,141051119107
141051119107,R-2,4376,4972,141032119107
141051119107,R-2,15211,15885,141051119107
141051119107,R-3,6239,6821,141032119107
141051119107,R-3,17136,17719,141051119107
141051119107,R-4,8192,9397,141051119107
141052619107,W-0,244,3593,141052619107
141052619107,R-0,259,1717,141029619107
141052619107,R-0,12119,12863,141052619107
141052619107,R-1,2219,3132,141052619107
141052619107,R-2,4213,4881,141052619107
141052619107,R-3,6215,7020,141052619107
141052619107,R-4,8192,8782,141052619107
141053119107,W-0,213,4961,141053119107
141053119107,R-0,480,1237,141050119107
141053119107,R-0,11592,12286,141053119107
141053119107,R-1,3016,4679,141053119107
141053119107,R-2,4359,5543,141053119107
141053119107,R-3,6207,6866,141053119107
141053119107,R-4,8259,8980,141053119107
141055619107,W-0,214,3718,141055619107
141055619107,R-0,509,1389,141049119107
141055619107,R-0,11667,12460,141055619107
141055619107,R-1,2199,3172,141055619107
141055619107,R-2,4207,4841,141055619107
141055619107,R-3,6201,6879,141055619107
141055619107,R-4,8210,9122,141055619107
141056619107,W-0,225,3605,141056619107
141056619107,R-0,401,1199,141053119107
141056619107,R-0,11543,12214,141056619107
141056619107,R-1,2197,2870,141056619107
141056619107,R-2,4239,4857,141056619107
141056619107,R-3,6194,6781,141056619107
141056619107,R-4,8211,9002,141056619107
141057119107,W-0,245,3796,141057119107
141057119107,R-0,539,1355,141042619107
141057119107,R-0,11627,12319,141057119107
141057119107,R-1,2151,3231,141042619107
141057119107,R-1,13600,14183,141057119107
141057119107,R-2,4275,5136,141057119107
141057119107,R-3,6210,6979,141057119107
141057119107,R-4,8226,9069,141057119107
141059119107,W-0,223,3494,141059119107
141059119107,R-0,491,1448,141029119107
141059119107,R-0,11740,12577,141059119107
141059119107,R-1,2209,3005,141059119107
141059119107,R-2,4225,5191,141059119107
141059119107,R-3,6155,7073,141059119107
141059119107,R-4,8196,8944,141059119107
141060119107,W-0,213,14524,141060119107
141060119107,R-0,497,1286,141046619107
141060119107,R-0,11565,12180,141060119107
141060119107,R-1,2129,2990,141060119107
141060119107,R-2,4238,4925,141060119107
141060119107,R-3,6194,6967,141060119107
141060119107,R-4,8197,8807,141060119107
141060619107,W-0,235,3467,141060619107
141060619107,R-0,592,1368,141059119107
141060619107,R-0,11678,12273,141060619107
141060619107,R-1,2194,3079,141060619107
141060619107,R-2,4193,5006,141060619107
141060619107,R-3,6216,7052,141060619107
141060619107,R-4,8250,8931,141060619107
141061619107,W-0,216,5747,141061619107
141061619107,R-0,467,1451,141042119107
141061619107,R-0,11791,12569,141061619107
141061619107,R-1,2177,3194,141042119107
141061619107,R-1,13469,14097,141061619107
141061619107,R-2,4199,5031,141061619107
141061619107,R-3,6235,7098,141061619107
141061619107,R-4,8188,9234,141061619107
141062619107,W-0,215,3713,141062619107
141062619107,R-0,521,1294,141032619107
141062619107,R-0,11561,12265,141062619107
141062619107,R-1,2213,3093,141062619107
141062619107,R-2,4132,4888,141062619107
141062619107,R-3,6193,7062,141062619107
141062619107,R-4,8183,8873,141062619107
141063119107,W-0,191,3700,141063119107
141063119107,R-0,445,1230,141043119107
141063119107,R-0,11481,12048,141063119107
141063119107,R-1,2184,2808,141063119107
141063119107,R-2,4174,5069,141063119107
141063119107,R-3,6181,7020,141063119107
141063119107,R-4,8201,8955,141063119107
141064619107,W-0,164,3290,141064619107
141064619107,R-0,164,1116,141050619107
141064619107,R-0,11440,12119,141064619107
141064619107,R-1,2177,3067,141064619107
141064619107,R-2,4187,4971,141064619107
141064619107,R-3,6186,6986,141064619107
141064619107,R-4,8207,9041,141064619107
141066119107,W-0,234,4017,141066119107
141066119107,R-0,482,1379,141034619107
141066119107,R-0,11677,12299,141066119107
141066119107,R-1,2153,3313,141066119107
141066119107,R-2,4201,4932,141066119107
141066119107,R-3,6185,7081,141066119107
141066119107,R-4,8358,9214,141066119107
141066619107,W-0,244,3683,141066619107
141066619107,R-0,516,1207,141044119107
141066619107,R-0,11456,12041,141066619107
141066619107,R-1,2205,2851,141066619107
141066619107,R-2,4255,4949,141066619107
141066619107,R-3,6215,6840,141066619107
141066619107,R-4,8182,8766,141066619107
141069119107,W-0,218,3026,141069119107
141069119107,R-0,450,1183,141037119107
141069119107,R-0,11426,12047,141069119107
141069119107,R-1,2187,2829,141069119107
141069119107,R-2,4180,4767,141069119107
141069119107,R-3,6201,6827,141069119107
141069119107,R-4,8179,8876,141069119107
141069619107,W-0,490,3817,141069619107
141069619107,R-0,283,1127,141023619107
141069619107,R-0,11401,12227,141069619107
141069619107,R-1,2178,3011,141069619107
141069619107,R-2,4174,4813,141069619107
141069619107,R-3,6181,6815,141069619107
141069619107,R-4,8240,8979,141069619107
141070119107,W-0,229,3883,141070119107
141070119107,R-0,519,1394,141068619107
141070119107,R-0,11684,12584,141070119107
141070119107,R-1,2218,3106,141070119107
141070119107,R-2,4296,5121,141070119107
141070119107,R-3,6265,7092,141070119107
141070119107,R-4,9008,10075,141070119107
141071119107,W-0,492,4709,141071119107
141071119107,R-0,252,1009,141058119107
141071119107,R-0,11235,12010,141071119107
141071119107,R-1,2247,3384,141071119107
141071119107,R-2,4351,5141,141071119107
141071119107,R-3,6202,6886,141071119107
141071119107,R-4,8198,9133,141071119107
141071619107,W-0,452,3709,141071619107
141071619107,R-0,210,1121,141046119107
141071619107,R-0,11360,11976,141071619107
141071619107,R-1,2199,2855,141046119107
141071619107,R-1,13108,13868,141046119107
141071619107,R-1,24111,24717,141071619107
141071619107,R-2,4206,4822,141071619107
141071619107,R-3,6191,6890,141046119107
141071619107,R-3,17489,18161,141071619107
141071619107,R-4,8195,8848,141071619107
141072119107,W-0,228,3931,141072119107
141072119107,R-0,655,1609,141045119107
141072119107,R-0,11879,12691,141072119107
141072119107,R-1,2193,3011,141072119107
141072119107,R-2,4257,4983,141045119107
141072119107,R-2,15192,15817,141072119107
141072119107,R-3,6207,6837,141072119107
141072119107,R-4,8212,8989,141045119107
141072119107,R-4,19205,20051,141072119107
141073619107,W-0,209,3856,141073619107
141073619107,R-0,468,1241,141033119107
141073619107,R-0,11582,12272,141073619107
141073619107,R-1,2226,3226,141073619107
141073619107,R-2,4208,4890,141073619107
141073619107,R-3,6203,6999,141073619107
141073619107,R-4,8254,8941,141073619107
141074119107,W-0,819,5477,141074119107
141074119107,R-0,590,1408,141058619107
141074119107,R-0,11783,12655,141074119107
141074119107,R-1,2225,3038,141058619107
141074119107,R-1,13246,14076,141058619107
141074119107,R-1,24269,24964,141074119107
141074119107,R-2,4199,5019,141058619107
141074119107,R-2,15338,16090,141074119107
141074119107,R-3,6242,6994,141074119107
141074119107,R-4,8199,9051,141058619107
141074119107,R-4,19541,20293,141074119107
141075119107,W-0,209,3682,141075119107
141075119107,R-0,494,1185,141049619107
141075119107,R-0,11426,12001,141075119107
141075119107,R-1,2222,3078,141049619107
141075119107,R-1,13293,13871,141075119107
141075119107,R-2,4185,4948,141075119107
141075119107,R-3,6213,6809,141075119107
141075119107,R-4,8182,8816,141075119107
141075619107,W-0,198,3690,141075619107
141075619107,R-0,454,1200,141067619107
141075619107,R-0,11452,12074,141075619107
141075619107,R-1,2195,2953,141067619107
141075619107,R-1,13168,13749,141075619107
141075619107,R-2,4230,4886,141067619107
141075619107,R-2,15138,15778,141075619107
141075619107,R-3,6745,7454,141075619107
141075619107,R-4,8268,9131,141075619107
141076619107,W-0,195,4722,141076619107
141076619107,R-0,557,1645,141071119107
141076619107,R-0,11878,12589,141071119107
141076619107,R-0,22821,23728,141076619107
141076619107,R-1,2165,3171,141071119107
