Time(micros),Thread, Start(micros),Delay (micros),Value
142211923147,W-0,223,3264,142211923147
142211923147,R-0,906,1778,142211423147
142211923147,R-0,12142,12967,142211923147
142211923147,R-1,2181,5339,142211923147
142211923147,R-2,4199,7725,142211923147
142211923147,R-3,6182,7396,142211923147
142211923147,R-4,8198,10708,142211923147
142212423147,W-0,196,4063,142212423147
142212423147,R-0,218,1263,142211923147
142212423147,R-0,11518,12145,142212423147
142212423147,R-1,2180,3696,142212423147
142212423147,R-2,4189,5209,142212423147
142212423147,R-3,6208,7165,142212423147
142212423147,R-4,8184,9096,142212423147
142213423147,W-0,209,4137,142213423147
142213423147,R-0,241,1287,142212423147
142213423147,R-0,11557,12391,142212423147
142213423147,R-0,22616,23417,142213423147
142213423147,R-1,2205,3093,142212423147
142213423147,R-1,13330,14576,142213423147
142213423147,R-2,4204,5089,142213423147
142213423147,R-3,6246,7223,142213423147
142213423147,R-4,8185,9023,142212423147
142213423147,R-4,19288,20212,142213423147
142214423147,W-0,498,4035,142214423147
142214423147,R-0,212,1230,142213423147
142214423147,R-0,11509,12317,142214423147
142214423147,R-1,2223,3177,142214423147
142214423147,R-2,4202,4981,142214423147
142214423147,R-3,6192,9249,142214423147
142214423147,R-4,8210,8989,142214423147
142215423147,W-0,225,3756,142215423147
142215423147,R-0,299,1349,142213923147
142215423147,R-0,11586,12320,142213923147
142215423147,R-0,22518,23410,142215423147
142215423147,R-1,2199,3278,142213923147
142215423147,R-1,13509,14686,142213923147
142215423147,R-1,25098,26251,142213923147
142215423147,R-1,36484,37220,142215423147
142215423147,R-2,4191,5094,142215423147
142215423147,R-3,6221,7149,142215423147
142215423147,R-4,8186,9267,142213923147
142215423147,R-4,19491,20321,142213923147
142215423147,R-4,30527,31288,142215423147
142218923147,W-0,213,4115,142218923147
142218923147,R-0,479,1824,142217923147
142218923147,R-0,12170,12803,142218923147
142218923147,R-1,2162,3121,142218923147
142218923147,R-2,4258,5045,142218923147
142218923147,R-3,6326,7073,142218923147
142218923147,R-4,8190,9014,142218923147
142219423147,W-0,552,9613,142219423147
142219423147,R-0,340,1099,142216923147
