Time(micros),Thread, Start(micros),Delay (micros),Value
119581068487,W-0,1637,3650,119581068487
119581068487,R-0,598,3887,119581068487
119581068487,R-1,2342,3308,119580568487
119581068487,R-1,13590,16036,119581068487
119581068487,R-2,4187,7904,119581068487
119581068487,R-3,6220,9425,119581068487
119581068487,R-4,8302,9136,119581068487
119581568487,W-0,262,2067,119581568487
119581568487,R-0,811,1802,119581068487
119581568487,R-0,12035,12740,119581568487
119581568487,R-1,2237,3183,119581068487
119581568487,R-1,13889,15888,119581568487
119581568487,R-2,4194,4924,119581568487
119581568487,R-3,6191,7051,119581568487
119581568487,R-4,8184,10707,119581568487
119582568487,W-0,207,3299,119582568487
119582568487,R-0,575,1356,119582568487
119582568487,R-1,2709,3436,119582568487
119582568487,R-2,4202,5012,119582568487
119582568487,R-3,6194,9721,119582568487
119582568487,R-4,8218,9259,119582568487
119583568487,W-0,243,1565,119583568487
119583568487,R-0,231,1253,119582568487
119583568487,R-0,11830,12507,119583568487
119583568487,R-1,2222,3243,119583568487
119583568487,R-2,4131,5053,119582568487
119583568487,R-2,15639,16415,119583568487
119583568487,R-3,6189,6854,119582568487
119583568487,R-3,17069,17767,119583568487
119583568487,R-4,8162,9360,119582568487
119583568487,R-4,19663,20353,119583568487
119584568487,W-0,209,98479,119584568487
119584568487,R-0,688,1504,119583068487
119584568487,R-0,11811,12594,119584568487
119584568487,R-1,2124,2845,119583068487
119584568487,R-1,13244,14114,119584568487
119584568487,R-2,4239,5037,119584568487
119584568487,R-3,6282,7935,119584568487
119584568487,R-4,8166,8916,119584568487
119588068487,W-0,234,6783,119588068487
119588068487,R-0,578,1421,119588068487
119588068487,R-1,2150,2877,119588068487
119588068487,R-2,4143,4841,119587068487
119588068487,R-2,15077,15822,119587068487
119588068487,R-2,26045,26739,119588068487
119588068487,R-3,6190,7036,119588068487
119588068487,R-4,8198,9309,119588068487
119588568487,W-0,184,1616,119588568487
119588568487,R-0,503,1793,119588568487
119588568487,R-1,2195,2885,119588568487
119588568487,R-2,4206,5017,119588568487
119588568487,R-3,6215,6926,119588568487
119588568487,R-4,8223,9044,119588568487
119589568487,W-0,210,5433,119589568487
119589568487,R-0,570,1390,119589568487
119589568487,R-1,2212,2932,119589568487
119589568487,R-2,4228,5168,119589568487
119589568487,R-3,6222,6821,119589568487
119589568487,R-4,8201,8880,119589568487
119593568487,W-0,160,1350,119593568487
119593568487,R-0,463,1701,119593568487
119593568487,R-1,2216,3054,119593568487
119593568487,R-2,4201,5014,119593568487
119593568487,R-3,6181,6830,119593568487
119593568487,R-4,8203,8825,119593568487
119596068487,W-0,232,1699,119596068487
119596068487,R-0,587,1451,119595068487
119596068487,R-0,11764,12410,119596068487
119596068487,R-1,2190,2961,119596068487
119596068487,R-2,4227,5039,119596068487
119596068487,R-3,6217,6913,119596068487
119596068487,R-4,8212,8854,119596068487
119597068487,W-0,203,1982,119597068487
119597068487,R-0,676,1703,119597068487
119597068487,R-1,2162,2903,119588068487
119597068487,R-1,13127,13750,119597068487
119597068487,R-2,4194,4907,119597068487
119597068487,R-3,6217,6842,119597068487
119597068487,R-4,8229,8856,119597068487
119598568487,W-0,183,78638,119598568487
119598568487,R-0,466,1410,119598568487
119598568487,R-1,2216,3021,119598568487
119598568487,R-2,4222,4992,119598568487
119598568487,R-3,6203,6825,119598568487
119598568487,R-4,8198,8885,119598568487
119599068487,W-0,218,1891,119599068487
119599068487,R-0,624,2043,119599068487
119599068487,R-1,2256,2877,119599068487
119599068487,R-2,4356,5013,119599068487
119599068487,R-3,6244,7041,119599068487
119599068487,R-4,8234,9140,119599068487
119599568487,W-0,220,1569,119599568487
119599568487,R-0,579,1742,119599568487
119599568487,R-1,2196,2824,119599568487
119599568487,R-2,4228,4983,119599568487
