Time(micros),Thread, Start(micros),Delay (micros),Value
120175647479,W-0,213,2567,120175647479
120175647479,R-0,505,1415,120175147479
120175647479,R-0,11751,12495,120175647479
120175647479,R-1,2239,3146,120175647479
120175647479,R-2,4244,5274,120175647479
120175647479,R-3,6181,7033,120175647479
120175647479,R-4,8193,8977,120175647479
120176147479,W-0,216,1887,120176147479
120176147479,R-0,700,1693,120176147479
120176147479,R-1,2213,3001,120176147479
120176147479,R-2,4178,4896,120176147479
120176147479,R-3,6239,7227,120176147479
120176147479,R-4,8188,9044,120176147479
120177147479,W-0,214,1677,120177147479
120177147479,R-0,599,1928,120177147479
120177147479,R-1,2189,3010,120177147479
120177147479,R-2,4181,5015,120177147479
120177147479,R-3,6192,6977,120177147479
120177147479,R-4,8198,9020,120177147479
120178147479,W-0,209,1439,120178147479
120178147479,R-0,583,1724,120178147479
120178147479,R-1,2222,3138,120178147479
120178147479,R-2,4187,5055,120178147479
120178147479,R-3,6198,6982,120178147479
120178147479,R-4,8257,9374,120178147479
120179147479,W-0,246,49393,120179147479
120179147479,R-0,653,1731,120179147479
120179147479,R-1,2273,3247,120179147479
120179147479,R-2,4245,5130,120179147479
120179147479,R-3,6192,6979,120179147479
120179147479,R-4,8216,9096,120179147479
120182647479,W-0,224,1757,120182647479
120182647479,R-0,625,1489,120182647479
120182647479,R-1,2147,2970,120182647479
120182647479,R-2,4192,4980,120182647479
120182647479,R-3,6190,7014,120182647479
120182647479,R-4,8220,9734,120182647479
120183147479,W-0,281,1466,120183147479
120183147479,R-0,648,1799,120183147479
120183147479,R-1,2211,2882,120183147479
120183147479,R-2,4191,4866,120183147479
120183147479,R-3,6190,6843,120183147479
120183147479,R-4,8183,8939,120183147479
120184147479,W-0,478,1753,120184147479
120184147479,R-0,225,1289,120178647479
120184147479,R-0,11635,12262,120184147479
120184147479,R-1,2249,3208,120184147479
120184147479,R-2,4264,4957,120184147479
120184147479,R-3,6252,7055,120184147479
120184147479,R-4,8188,8896,120184147479
120188147479,W-0,249,1989,120188147479
120188147479,R-0,586,2386,120188147479
120188147479,R-1,2184,2941,120188147479
120188147479,R-2,4288,5020,120188147479
120188147479,R-3,6225,6994,120188147479
120188147479,R-4,8204,8996,120188147479
120190647479,W-0,235,2062,120190647479
120190647479,R-0,680,1786,120190647479
120190647479,R-1,2260,3234,120190647479
120190647479,R-2,4212,4956,120190647479
120190647479,R-3,6197,6898,120190647479
120190647479,R-4,8208,8938,120190647479
120191647479,W-0,213,1736,120191647479
120191647479,R-0,483,1478,120191647479
120191647479,R-1,2229,3002,120191647479
120191647479,R-2,4235,4884,120191647479
120191647479,R-3,6195,6833,120191647479
120191647479,R-4,8158,8853,120191647479
120193147479,W-0,242,1448,120193147479
120193147479,R-0,450,1706,120193147479
120193147479,R-1,2185,2803,120193147479
120193147479,R-2,4266,4993,120193147479
120193147479,R-3,6191,6964,120193147479
120193147479,R-4,8191,9035,120193147479
120193647479,W-0,189,1837,120193647479
120193647479,R-0,465,1403,120176647479
120193647479,R-0,11666,12253,120193647479
120193647479,R-1,2226,3102,120193647479
