Time(micros),Thread, Start(micros),Delay (micros),Value
121365267910,W-0,230,1764,121365267910
121365267910,R-0,282,1261,121364767910
121365267910,R-0,11488,12203,121365267910
121365267910,R-1,3218,3940,121365267910
121365267910,R-2,4218,5201,121365267910
121365267910,R-3,6193,6938,121365267910
121365267910,R-4,8222,9232,121365267910
121365767910,W-0,212,65931,121365767910
121365767910,R-0,288,1464,121365267910
121365767910,R-0,11794,12660,121365767910
121365767910,R-1,2183,3183,121365767910
121365767910,R-2,4234,5322,121365767910
121365767910,R-3,6200,7589,121365767910
121365767910,R-4,8221,9222,121365767910
121366767910,W-0,219,1367,121366767910
121366767910,R-0,611,1650,121366767910
121366767910,R-1,2230,3050,121366767910
121366767910,R-2,4193,4927,121366767910
121366767910,R-3,6188,6852,121366767910
121366767910,R-4,8187,8872,121366767910
121367767910,W-0,999,2633,121367767910
121367767910,R-0,278,1601,121366767910
121367767910,R-0,12004,12670,121367767910
121367767910,R-1,2199,3451,121367767910
121367767910,R-2,4206,4960,121367767910
121367767910,R-3,6228,6886,121367767910
121367767910,R-4,8200,8910,121367767910
121368767910,W-0,241,1768,121368767910
121368767910,R-0,258,1217,121367267910
121368767910,R-0,11459,12168,121368767910
121368767910,R-1,2196,2863,121368767910
121368767910,R-2,4186,4899,121368767910
121368767910,R-3,6233,6927,121368767910
121368767910,R-4,8193,8878,121368767910
121372267910,W-0,215,1859,121372267910
121372267910,R-0,554,1536,121372267910
121372267910,R-1,2207,2826,121372267910
121372267910,R-2,4236,4868,121372267910
121372267910,R-3,6207,6835,121372267910
121372267910,R-4,8256,8979,121372267910
121372767910,W-0,229,1469,121372767910
121372767910,R-0,573,1706,121372767910
121372767910,R-1,2197,2994,121372767910
121372767910,R-2,4265,5005,121372767910
121372767910,R-3,8458,9670,121372767910
121372767910,R-4,8214,9419,121372767910
121373767910,W-0,205,1317,121373767910
121373767910,R-0,542,1598,121373767910
121373767910,R-1,2196,2881,121373767910
121373767910,R-2,4241,4903,121373767910
121373767910,R-3,6217,6848,121373767910
121373767910,R-4,8220,8900,121373767910
121377767910,W-0,494,1712,121377767910
121377767910,R-0,230,1007,121372767910
121377767910,R-0,11282,11891,121377767910
121377767910,R-1,2190,2944,121377767910
121377767910,R-2,4230,4875,121377767910
121377767910,R-3,6196,6981,121377767910
121377767910,R-4,8229,8894,121377767910
121380267910,W-0,466,1577,121380267910
121380267910,R-0,236,1021,121379267910
121380267910,R-0,11462,12187,121380267910
121380267910,R-1,2221,3040,121380267910
121380267910,R-2,4193,4951,121380267910
121380267910,R-3,6233,6963,121380267910
121380267910,R-4,8251,8987,121380267910
121381267910,W-0,240,1578,121381267910
121381267910,R-0,227,986,121372267910
121381267910,R-0,11248,11869,121381267910
121381267910,R-1,2211,2907,121381267910
121381267910,R-2,4222,4943,121381267910
121381267910,R-3,6256,6905,121381267910
121381267910,R-4,8178,8956,121381267910
121382767910,W-0,216,1749,121382767910
121382767910,R-0,292,1127,121374267910
121382767910,R-0,11429,11996,121382767910
121382767910,R-1,2442,3231,121382767910
121382767910,R-2,4195,4795,121382767910
121382767910,R-3,6188,6809,121382767910
121382767910,R-4,8255,9075,121382767910
121383267910,W-0,220,1983,121383267910
121383267910,R-0,497,1480,121383267910
121383267910,R-1,2298,3323,121383267910
121383267910,R-2,4219,4853,121383267910
121383267910,R-3,6197,7208,121383267910
121383267910,R-4,8212,8899,121383267910
121383767910,W-0,247,2596,121383767910
121383767910,R-0,1218,2167,121383767910
121383767910,R-1,2267,3054,121383767910
121383767910,R-2,4204,5035,121383767910
121383767910,R-3,6205,6991,121383767910
121383767910,R-4,8241,8965,121383767910
121386767910,W-0,199,1949,121386767910
121386767910,R-0,243,1704,121386767910
121386767910,R-1,2232,3003,121386767910
121386767910,R-2,4298,4954,121386767910
121386767910,R-3,6203,6839,121386767910
121386767910,R-4,8220,8880,121386767910
121387267910,W-0,209,1377,121387267910
121387267910,R-0,478,1595,121387267910
121387267910,R-1,2254,3173,121387267910
121387267910,R-2,4193,4853,121387267910
121387267910,R-3,6195,6960,121387267910
121387267910,R-4,8206,8888,121387267910
121387767910,W-0,359,2230,121387767910
121387767910,R-0,199,1003,121380767910
121387767910,R-0,11420,12210,121387767910
121387767910,R-1,2549,3385,121387767910
121387767910,R-2,4237,5063,121387767910
121387767910,R-3,6296,7086,121387767910
121387767910,R-4,8231,8901,121387767910
121388267910,W-0,316,1743,121388267910
121388267910,R-0,592,1964,121388267910
121388267910,R-1,2201,3144,121388267910
121388267910,R-2,4187,4920,121388267910
121388267910,R-3,6205,6988,121388267910
121388267910,R-4,8232,9141,121388267910
121389267910,W-0,241,30008,121389267910
121389267910,R-0,529,1580,121389267910
121389267910,R-1,2230,2970,121389267910
121389267910,R-2,4211,4777,121389267910
121389267910,R-3,6185,6769,121389267910
121389267910,R-4,8185,8770,121389267910
121392267910,W-0,280,1670,121392267910
121392267910,R-0,543,1415,121392267910
121392267910,R-1,2204,2961,121392267910
121392267910,R-2,4188,4881,121392267910
121392267910,R-3,6206,6823,121392267910
121392267910,R-4,8200,8792,121392267910
121394267910,W-0,332,1970,121394267910
121394267910,R-0,353,1355,121391267910
121394267910,R-0,11608,12361,121394267910
121394267910,R-1,2222,2990,121394267910
121394267910,R-2,4247,4996,121394267910
121394267910,R-3,6247,7073,121394267910
121394267910,R-4,8265,9000,121394267910
121394767910,W-0,197,2140,121394767910
121394767910,R-0,497,1684,121368767910
121394767910,R-0,12026,12638,121394767910
121394767910,R-1,2281,2909,121394767910
121394767910,R-2,4201,4833,121394767910
121394767910,R-3,6192,6814,121394767910
121394767910,R-4,8204,8847,121394767910
121395267910,W-0,270,1620,121395267910
121395267910,R-0,331,1253,121376267910
121395267910,R-0,11464,12335,121395267910
121395267910,R-1,2207,2841,121395267910
121395267910,R-2,4203,4770,121395267910
121395267910,R-3,6191,6781,121395267910
121395267910,R-4,8267,8949,121395267910
121396767910,W-0,238,2050,121396767910
