Time(micros),Thread, Start(micros),Delay (micros),Value
122555923933,W-0,791,61046,122555923933
122555923933,R-0,389,1805,122555423933
122555923933,R-0,12718,13663,122555923933
122555923933,R-1,2217,5561,122555923933
122555923933,R-2,4213,5121,122555923933
122555923933,R-3,6196,9219,122555923933
122555923933,R-4,8212,10895,122555923933
122556423933,W-0,654,82849,122556423933
122556423933,R-0,366,1290,122555923933
122556423933,R-0,11574,12385,122556423933
122556423933,R-1,2194,3031,122555923933
122556423933,R-1,13327,14027,122556423933
122556423933,R-2,4184,4993,122555923933
122556423933,R-2,15278,16105,122556423933
122556423933,R-3,6199,7443,122556423933
122556423933,R-4,8197,8996,122555923933
122556423933,R-4,19165,19820,122556423933
122557423933,W-0,897,2361,122557423933
122557423933,R-0,217,1100,122556423933
122557423933,R-0,13226,14416,122557423933
122557423933,R-1,2204,3298,122557423933
122557423933,R-2,4168,4955,122557423933
122557423933,R-3,6224,6946,122557423933
122557423933,R-4,8218,9045,122557423933
122558423933,W-0,1694,5926,122558423933
122558423933,R-0,209,1042,122557423933
122558423933,R-0,11336,12231,122558423933
122558423933,R-1,2193,3118,122557423933
122558423933,R-1,13346,14053,122558423933
122558423933,R-2,4203,5041,122558423933
122558423933,R-3,6187,6931,122558423933
122558423933,R-4,8247,8987,122558423933
122559423933,W-0,236,1693,122559423933
122559423933,R-0,236,1186,122557923933
122559423933,R-0,11479,12174,122559423933
122559423933,R-1,2190,3151,122559423933
122559423933,R-2,4201,5028,122559423933
122559423933,R-3,6241,7010,122559423933
122559423933,R-4,8197,9131,122559423933
122562923933,W-0,222,1628,122562923933
122562923933,R-0,515,1297,122561923933
122562923933,R-0,11596,12546,122562923933
122562923933,R-1,2315,3118,122562923933
122562923933,R-2,4191,5029,122562923933
122562923933,R-3,6232,7165,122562923933
122562923933,R-4,8188,9139,122562923933
122563423933,W-0,274,46889,122563423933
122563423933,R-0,778,2174,122560923933
122563423933,R-0,12474,13439,122563423933
122563423933,R-1,2315,3324,122563423933
122563423933,R-2,4252,5287,122560923933
122563423933,R-2,15542,16612,122560923933
122563423933,R-2,26894,28025,122563423933
122563423933,R-3,6281,7257,122560923933
122563423933,R-3,17533,18506,122563423933
122563423933,R-4,8246,9316,122560923933
122563423933,R-4,19580,20585,122563423933
122564423933,W-0,487,122160,122564423933
122564423933,R-0,756,1480,122558923933
122564423933,R-0,11754,12405,122564423933
122564423933,R-1,2181,2835,122564423933
122564423933,R-2,4251,4899,122564423933
122564423933,R-3,6192,6835,122564423933
122564423933,R-4,8199,8944,122564423933
122568423933,W-0,225,1592,122568423933
122568423933,R-0,581,1291,122563423933
122568423933,R-0,11546,12383,122563423933
122568423933,R-0,23239,26388,122568423933
122568423933,R-1,2183,2845,122568423933
122568423933,R-2,4240,4932,122563423933
122568423933,R-2,15195,15969,122568423933
122568423933,R-3,6218,6885,122568423933
122568423933,R-4,8259,8956,122563423933
122568423933,R-4,19228,19885,122568423933
122570923933,W-0,214,1358,122570923933
122570923933,R-0,672,1595,122569923933
122570923933,R-0,11852,12562,122570923933
122570923933,R-1,2204,2973,122570923933
122570923933,R-2,4186,5064,122570923933
122570923933,R-3,6184,6832,122570923933
122570923933,R-4,8175,8924,122570923933
122571923933,W-0,212,1699,122571923933
122571923933,R-0,524,1422,122562923933
122571923933,R-0,11756,12357,122571923933
122571923933,R-1,2192,2956,122562923933
122571923933,R-1,13259,13902,122571923933
122571923933,R-2,4331,5254,122562923933
122571923933,R-2,15497,16268,122571923933
122571923933,R-3,6181,6960,122571923933
122571923933,R-4,8181,8887,122562923933
122571923933,R-4,19124,19783,122571923933
122573423933,W-0,276,1666,122573423933
122573423933,R-0,597,1309,122564923933
122573423933,R-0,11644,12347,122564923933
122573423933,R-0,22564,23547,122573423933
122573423933,R-1,2178,2881,122564923933
122573423933,R-1,13200,15238,122573423933
122573423933,R-2,4272,5207,122564923933
122573423933,R-2,15990,17128,122564923933
122573423933,R-2,27371,28221,122573423933
122573423933,R-3,6198,6927,122573423933
122573423933,R-4,8192,8870,122573423933
122573923933,W-0,230,1711,122573923933
