Time(micros),Thread, Start(micros),Delay (micros),Value
123745997445,W-0,202,2364,123745997445
123745997445,R-0,809,1912,123745497445
123745997445,R-0,12554,13396,123745997445
123745997445,R-1,2197,3082,123745997445
123745997445,R-2,4197,5110,123745997445
123745997445,R-3,6227,9267,123745997445
123745997445,R-4,8195,9012,123745997445
123746497445,W-0,199,1512,123746497445
123746497445,R-0,296,1118,123745997445
123746497445,R-0,11438,12272,123746497445
123746497445,R-1,2189,3112,123746497445
123746497445,R-2,4229,5314,123746497445
123746497445,R-3,6187,8591,123746497445
123746497445,R-4,8210,9013,123746497445
123747497445,W-0,362,39229,123747497445
123747497445,R-0,339,1520,123746497445
123747497445,R-0,12163,12872,123747497445
123747497445,R-1,2370,3393,123746497445
123747497445,R-1,13663,14446,123747497445
123747497445,R-2,4220,5031,123747497445
123747497445,R-3,6396,8514,123747497445
123747497445,R-4,8188,8916,123747497445
123748497445,W-0,779,3411,123748497445
123748497445,R-0,347,2669,123747497445
123748497445,R-0,12870,13818,123748497445
123748497445,R-1,2284,3204,123747497445
123748497445,R-1,13452,14523,123748497445
123748497445,R-2,4511,5835,123747497445
123748497445,R-2,16064,16941,123748497445
123748497445,R-3,6189,7992,123747497445
123748497445,R-3,18176,18939,123748497445
123748497445,R-4,8199,9088,123748497445
123749497445,W-0,532,1940,123749497445
123749497445,R-0,222,1178,123747997445
123749497445,R-0,11647,12643,123749497445
123749497445,R-1,2203,3608,123749497445
123749497445,R-2,4201,4983,123749497445
123749497445,R-3,6202,6972,123749497445
123749497445,R-4,8193,9854,123749497445
123752997445,W-0,213,1405,123752997445
123752997445,R-0,248,1132,123751997445
123752997445,R-0,11427,12159,123752997445
123752997445,R-1,2125,2929,123751997445
123752997445,R-1,13205,14007,123752997445
123752997445,R-2,4353,5113,123751997445
123752997445,R-2,15355,16061,123752997445
123752997445,R-3,6229,6986,123752997445
123752997445,R-4,8206,8932,123752997445
123753497445,W-0,263,27094,123753497445
123753497445,R-0,621,1480,123750997445
123753497445,R-0,11800,12537,123753497445
123753497445,R-1,2196,3019,123753497445
123753497445,R-2,4274,5130,123753497445
123753497445,R-3,6282,6996,123753497445
123753497445,R-4,8203,8889,123753497445
123754497445,W-0,458,2440,123754497445
123754497445,R-0,672,1895,123748997445
123754497445,R-0,12135,12927,123754497445
123754497445,R-1,2185,2901,123748997445
123754497445,R-1,13128,13773,123754497445
123754497445,R-2,4210,4872,123754497445
123754497445,R-3,6280,6915,123754497445
123754497445,R-4,8229,8845,123754497445
123758497445,W-0,211,1285,123758497445
123758497445,R-0,595,1475,123753497445
123758497445,R-0,12644,13316,123758497445
123758497445,R-1,2165,2876,123758497445
123758497445,R-2,4190,5182,123758497445
123758497445,R-3,6198,6912,123758497445
123758497445,R-4,8218,8950,123758497445
123760997445,W-0,174,1529,123760997445
123760997445,R-0,454,1335,123759997445
123760997445,R-0,11551,12424,123760997445
123760997445,R-1,2169,2858,123760997445
123760997445,R-2,4197,4932,123760997445
123760997445,R-3,6209,7012,123760997445
123760997445,R-4,8195,9009,123760997445
123761997445,W-0,222,10015,123761997445
123761997445,R-0,360,1443,123752997445
123761997445,R-0,11760,12550,123761997445
123761997445,R-1,2197,3125,123761997445
123761997445,R-2,4187,5180,123761997445
123761997445,R-3,6194,7216,123761997445
123761997445,R-4,8221,9233,123761997445
123763497445,W-0,251,5159,123763497445
123763497445,R-0,532,1481,123754997445
123763497445,R-0,11771,12393,123763497445
123763497445,R-1,2210,3137,123754997445
123763497445,R-1,13367,14198,123763497445
123763497445,R-2,4194,4900,123754997445
123763497445,R-2,15131,15703,123763497445
123763497445,R-3,6183,6790,123763497445
123763497445,R-4,8197,8861,123763497445
123763997445,W-0,198,7387,123763997445
123763997445,R-0,244,1141,123746997445
123763997445,R-0,11469,12231,123763997445
123763997445,R-1,2146,2809,123763997445
123763997445,R-2,4152,5064,123763997445
123763997445,R-3,6252,7037,123763997445
123763997445,R-4,8183,10013,123763997445
123764497445,W-0,211,1773,123764497445
123764497445,R-0,501,1269,123751497445
123764497445,R-0,11675,12749,123764497445
123764497445,R-1,2186,2843,123751497445
123764497445,R-1,13141,13842,123764497445
123764497445,R-2,4203,5634,123764497445
123764497445,R-3,6193,6919,123764497445
123764497445,R-4,8204,9028,123764497445
123767497445,W-0,220,35048,123767497445
123767497445,R-0,490,1351,123750497445
123767497445,R-0,11704,12381,123767497445
123767497445,R-1,2194,2901,123750497445
123767497445,R-1,13111,13795,123767497445
123767497445,R-2,4191,4939,123767497445
123767497445,R-3,6202,6921,123767497445
123767497445,R-4,8352,9243,123767497445
123767997445,W-0,456,23452,123767997445
123767997445,R-0,231,985,123766497445
123767997445,R-0,11249,11797,123767997445
123767997445,R-1,2197,2911,123767997445
123767997445,R-2,4245,4983,123767997445
123767997445,R-3,6271,6880,123767997445
123767997445,R-4,8204,9127,123767997445
123768497445,W-0,168,1970,123768497445
123768497445,R-0,519,1621,123761497445
123768497445,R-0,12214,12998,123768497445
123768497445,R-1,2176,3612,123768497445
123768497445,R-2,4223,5141,123768497445
123768497445,R-3,6187,7851,123768497445
123768497445,R-4,8285,9130,123768497445
123768997445,W-0,165,1688,123768997445
123768997445,R-0,516,1323,123763497445
123768997445,R-0,11643,12319,123768997445
123768997445,R-1,2201,3259,123768997445
123768997445,R-2,4228,4890,123768997445
123768997445,R-3,6228,6859,123768997445
123768997445,R-4,8196,8935,123768997445
123769997445,W-0,199,1734,123769997445
123769997445,R-0,526,1377,123765997445
123769997445,R-0,11712,12453,123769997445
123769997445,R-1,2152,2831,123769997445
123769997445,R-2,4142,4930,123769997445
123769997445,R-3,6186,6963,123769997445
123769997445,R-4,8252,9082,123769997445
123772997445,W-0,232,1708,123772997445
123772997445,R-0,613,1392,123764497445
123772997445,R-0,11648,12276,123772997445
123772997445,R-1,2193,2961,123772997445
123772997445,R-2,4220,5017,123772997445
123772997445,R-3,6205,7000,123772997445
123772997445,R-4,8196,8933,123772997445
123774997445,W-0,164,1549,123774997445
123774997445,R-0,426,1269,123771997445
123774997445,R-0,11517,12524,123774997445
123774997445,R-1,2205,2886,123774997445
123774997445,R-2,4212,5058,123774997445
123774997445,R-3,6198,6869,123774997445
123774997445,R-4,8206,8896,123774997445
123775497445,W-0,399,1904,123775497445
123775497445,R-0,178,1112,123749497445
123775497445,R-0,11440,12196,123775497445
123775497445,R-1,2195,3478,123775497445
123775497445,R-2,4189,5114,123775497445
123775497445,R-3,6211,7048,123749497445
123775497445,R-3,17287,18050,123775497445
123775497445,R-4,8201,9042,123775497445
123775997445,W-0,524,1715,123775997445
123775997445,R-0,287,1088,123756997445
123775997445,R-0,11393,12155,123775997445
123775997445,R-1,2197,2989,123775997445
123775997445,R-2,4205,4837,123775997445
123775997445,R-3,6208,6812,123775997445
123775997445,R-4,8174,8791,123775997445
123777497445,W-0,259,1446,123777497445
123777497445,R-0,287,1037,123754497445
123777497445,R-0,11376,12250,123777497445
123777497445,R-1,2242,2860,123754497445
123777497445,R-1,13153,13879,123754497445
123777497445,R-1,24110,24723,123777497445
123777497445,R-2,4217,4923,123754497445
123777497445,R-2,15204,16162,123777497445
123777497445,R-3,6304,7154,123777497445
123777497445,R-4,8208,8962,123754497445
123777497445,R-4,19215,20049,123777497445
123777997445,W-0,212,2139,123777997445
123777997445,R-0,443,1403,123774997445
123777997445,R-0,11705,12228,123777997445
123777997445,R-1,2240,3310,123777997445
123777997445,R-2,4186,4943,123777997445
123777997445,R-3,6193,6934,123777997445
123777997445,R-4,8228,9019,123777997445
123780497445,W-0,236,1665,123780497445
123780497445,R-0,612,1404,123773997445
123780497445,R-0,11716,12502,123780497445
123780497445,R-1,2233,3601,123773997445
123780497445,R-1,14124,14967,123780497445
123780497445,R-2,4308,5226,123773997445
123780497445,R-2,15529,16781,123780497445
123780497445,R-3,6223,7164,123773997445
123780497445,R-3,17454,18411,123780497445
123780497445,R-4,8248,9104,123780497445
123781497445,W-0,231,1788,123781497445
123781497445,R-0,407,1412,123777997445
123781497445,R-0,11768,12369,123781497445
123781497445,R-1,2216,3238,123781497445
123781497445,R-2,4193,4917,123781497445
123781497445,R-3,6242,7022,123781497445
123781497445,R-4,8190,9004,123781497445
123781997445,W-0,429,1524,123781997445
123781997445,R-0,246,993,123767497445
123781997445,R-0,11302,12054,123781997445
123781997445,R-1,2253,2888,123781997445
123781997445,R-2,4226,4927,123781997445
123781997445,R-3,6228,6915,123781997445
123781997445,R-4,8207,8917,123781997445
123783997445,W-0,231,1838,123783997445
123783997445,R-0,500,1483,123753997445
123783997445,R-0,11810,12691,123783997445
123783997445,R-1,2203,2978,123753997445
123783997445,R-1,14712,15374,123783997445
123783997445,R-2,4205,5049,123783997445
123783997445,R-3,6334,7255,123783997445
123783997445,R-4,8194,9023,123783997445
123784997445,W-0,213,1670,123784997445
123784997445,R-0,488,1386,123771497445
123784997445,R-0,11693,12837,123771497445
123784997445,R-0,23035,23762,123771497445
123784997445,R-0,33992,34772,123771497445
123784997445,R-0,47727,48501,123771497445
123784997445,R-0,58792,59622,123771497445
123784997445,R-0,69847,70436,123771497445
123784997445,R-0,80730,81531,123771497445
123784997445,R-0,91817,92844,123771497445
