Time(micros),Thread, Start(micros),Delay (micros),Value
130890225805,W-0,266,5484,130890225805
130890225805,R-0,394,1245,130889725805
130890225805,R-0,11574,13835,130890225805
130890225805,R-1,2191,5371,130890225805
130890225805,R-2,4259,6922,130890225805
130890225805,R-3,6239,8112,130890225805
130890225805,R-4,8192,10693,130890225805
130890725805,W-0,188,4677,130890725805
130890725805,R-0,452,1545,130890225805
130890725805,R-0,11795,12863,130890725805
130890725805,R-1,2273,3462,130890725805
130890725805,R-2,4192,6390,130890725805
130890725805,R-3,6308,7277,130890725805
130890725805,R-4,8290,10182,130890725805
130891725805,W-0,152,6759,130891725805
130891725805,R-0,363,1243,130890725805
130891725805,R-0,11487,12495,130890725805
130891725805,R-0,22748,23482,130890725805
130891725805,R-0,33708,34561,130890725805
130891725805,R-0,44858,45855,130890725805
130891725805,R-0,56118,57060,130891725805
130891725805,R-1,2192,3510,130891725805
130891725805,R-2,4244,5235,130890725805
130891725805,R-2,15462,16428,130891725805
130891725805,R-3,6190,7066,130891725805
130891725805,R-4,8194,9067,130891725805
130892725805,W-0,270,11328,130892725805
130892725805,R-0,456,1446,130891725805
130892725805,R-0,11709,12768,130892725805
130892725805,R-1,2226,3139,130892725805
130892725805,R-2,4226,5154,130892725805
130892725805,R-3,6251,7465,130892725805
130892725805,R-4,8188,8884,130892725805
130893725805,W-0,277,4179,130893725805
130893725805,R-0,248,1237,130892225805
130893725805,R-0,11483,12269,130893725805
130893725805,R-1,2224,3014,130893725805
130893725805,R-2,4349,5135,130893725805
130893725805,R-3,6254,7150,130893725805
130893725805,R-4,8188,9086,130893725805
130897225805,W-0,244,3858,130897225805
130897225805,R-0,320,1726,130897225805
130897225805,R-1,2264,3188,130897225805
130897225805,R-2,4279,5041,130897225805
130897225805,R-3,6256,6917,130897225805
130897225805,R-4,8194,9004,130897225805
130897725805,W-0,240,4249,130897725805
130897725805,R-0,540,1485,130895225805
130897725805,R-0,11736,12635,130897725805
130897725805,R-1,2261,3402,130897725805
130897725805,R-2,4432,5262,130897725805
130897725805,R-3,6193,6971,130897725805
130897725805,R-4,8327,9323,130897725805
130898725805,W-0,279,5517,130898725805
130898725805,R-0,681,1793,130893225805
130898725805,R-0,12119,12940,130898725805
130898725805,R-1,2145,3228,130893225805
130898725805,R-1,13528,14258,130898725805
130898725805,R-2,4188,4946,130898725805
130898725805,R-3,6229,7050,130898725805
130898725805,R-4,8242,9084,130898725805
130902725805,W-0,279,3463,130902725805
130902725805,R-0,585,1700,130902725805
130902725805,R-1,2430,3412,130902725805
130902725805,R-2,4254,5076,130902725805
130902725805,R-3,6242,6912,130902725805
130902725805,R-4,8248,9107,130902725805
130905225805,W-0,166,5271,130905225805
130905225805,R-0,189,1061,130904225805
130905225805,R-0,11344,12061,130905225805
130905225805,R-1,2265,2983,130904225805
130905225805,R-1,13303,14088,130905225805
130905225805,R-2,4257,5044,130905225805
130905225805,R-3,6387,7377,130905225805
130905225805,R-4,8189,8934,130905225805
130906225805,W-0,252,4155,130906225805
130906225805,R-0,322,1319,130897225805
130906225805,R-0,11612,12509,130906225805
130906225805,R-1,2227,3065,130906225805
130906225805,R-2,4402,5301,130906225805
130906225805,R-3,6308,7123,130906225805
130906225805,R-4,8238,9010,130906225805
130907725805,W-0,259,5639,130907725805
130907725805,R-0,415,1507,130899225805
130907725805,R-0,11920,12727,130907725805
130907725805,R-1,2154,2999,130907725805
130907725805,R-2,4298,5164,130907725805
130907725805,R-3,6245,7015,130907725805
130907725805,R-4,8303,9128,130907725805
130908225805,W-0,183,5938,130908225805
130908225805,R-0,383,1542,130891225805
130908225805,R-0,11908,12688,130908225805
130908225805,R-1,2227,3144,130891225805
130908225805,R-1,13443,14141,130908225805
130908225805,R-2,4226,5668,130908225805
130908225805,R-3,6192,6979,130908225805
130908225805,R-4,8243,8930,130908225805
130908725805,W-0,266,3721,130908725805
130908725805,R-0,646,1320,130895725805
130908725805,R-0,11648,12495,130908725805
130908725805,R-1,2188,2918,130908725805
130908725805,R-2,4239,4907,130908725805
130908725805,R-3,6296,6941,130908725805
130908725805,R-4,8251,9012,130908725805
130911725805,W-0,280,4716,130911725805
130911725805,R-0,385,1308,130894725805
130911725805,R-0,11656,12328,130911725805
130911725805,R-1,2266,3069,130911725805
130911725805,R-2,4260,4915,130911725805
130911725805,R-3,6360,7274,130911725805
130911725805,R-4,8247,8978,130911725805
130912225805,W-0,258,4867,130912225805
130912225805,R-0,359,1332,130910725805
130912225805,R-0,11658,12477,130912225805
130912225805,R-1,2266,3042,130910725805
130912225805,R-1,13378,14055,130912225805
130912225805,R-2,4233,5079,130910725805
130912225805,R-2,15383,16170,130912225805
130912225805,R-3,6234,7313,130912225805
130912225805,R-4,8224,9103,130912225805
130912725805,W-0,192,16628,130912725805
130912725805,R-0,406,1368,130905725805
130912725805,R-0,11688,12478,130912725805
130912725805,R-1,2238,3126,130905725805
130912725805,R-1,13400,14412,130912725805
130912725805,R-2,4252,5336,130912725805
130912725805,R-3,6224,6788,130912725805
130912725805,R-4,8274,9003,130912725805
130913225805,W-0,549,4975,130913225805
130913225805,R-0,265,1247,130907725805
130913225805,R-0,11537,12454,130913225805
130913225805,R-1,2191,2914,130913225805
130913225805,R-2,4300,5187,130913225805
130913225805,R-3,6229,7011,130913225805
130913225805,R-4,8229,9068,130913225805
130914225805,W-0,545,3945,130914225805
130914225805,R-0,357,1079,130910225805
130914225805,R-0,11362,12085,130914225805
130914225805,R-1,2371,3393,130914225805
130914225805,R-2,4252,4902,130914225805
130914225805,R-3,6243,6865,130914225805
130914225805,R-4,8381,9034,130914225805
130917225805,W-0,244,17998,130917225805
130917225805,R-0,332,1453,130917225805
130917225805,R-1,2192,3025,130917225805
130917225805,R-2,4234,4970,130917225805
130917225805,R-3,6245,6982,130908725805
130917225805,R-3,17273,18282,130917225805
130917225805,R-4,8187,9009,130917225805
130919225805,W-0,192,3755,130919225805
130919225805,R-0,380,1556,130919225805
130919225805,R-1,2189,3444,130919225805
130919225805,R-2,4224,4935,130919225805
130919225805,R-3,6294,6918,130919225805
130919225805,R-4,8278,8924,130919225805
130919725805,W-0,253,3640,130919725805
130919725805,R-0,364,1481,130919725805
130919725805,R-1,2194,2919,130919725805
130919725805,R-2,4263,4955,130919725805
130919725805,R-3,6224,7280,130919725805
130919725805,R-4,8182,8939,130919725805
130920225805,W-0,347,3998,130920225805
130920225805,R-0,392,1499,130901225805
130920225805,R-0,11774,12796,130920225805
130920225805,R-1,2237,3591,130920225805
130920225805,R-2,4189,4932,130920225805
130920225805,R-3,6194,7099,130920225805
130920225805,R-4,8187,8907,130920225805
130921725805,W-0,262,4121,130921725805
130921725805,R-0,520,1471,130921725805
130921725805,R-1,2193,2973,130921725805
130921725805,R-2,4374,5327,130921725805
130921725805,R-3,6367,7090,130921725805
130921725805,R-4,8191,8989,130921725805
130922225805,W-0,310,6940,130922225805
130922225805,R-0,414,4119,130922225805
130922225805,R-1,2187,4674,130922225805
130922225805,R-2,4419,5390,130919225805
130922225805,R-2,15823,16725,130922225805
130922225805,R-3,6521,7662,130922225805
130922225805,R-4,8281,9073,130922225805
130924725805,W-0,250,3852,130924725805
130924725805,R-0,621,1365,130918225805
130924725805,R-0,11673,12330,130924725805
130924725805,R-1,2156,2781,130924725805
130924725805,R-2,4178,4870,130918225805
130924725805,R-2,15376,16471,130924725805
130924725805,R-3,6224,6893,130918225805
130924725805,R-3,17192,17881,130924725805
130924725805,R-4,8269,8954,130924725805
130925725805,W-0,255,22553,130925725805
130925725805,R-0,256,992,130922225805
130925725805,R-0,11268,11948,130925725805
130925725805,R-1,2234,3123,130925725805
130925725805,R-2,4243,5069,130925725805
130925725805,R-3,6191,6992,130925725805
130925725805,R-4,8264,8983,130925725805
130926225805,W-0,282,9306,130926225805
130926225805,R-0,177,945,130911725805
130926225805,R-0,11237,11886,130911725805
130926225805,R-0,22044,22629,130926225805
130926225805,R-1,2243,2880,130926225805
130926225805,R-2,4222,5164,130911725805
130926225805,R-2,15444,16057,130926225805
130926225805,R-3,6189,6915,130911725805
130926225805,R-3,17189,17968,130911725805
130926225805,R-3,28181,29001,130911725805
130926225805,R-3,39300,39894,130926225805
130926225805,R-4,8327,9028,130911725805
130926225805,R-4,19650,20406,130911725805
130926225805,R-4,30619,31268,130911725805
130926225805,R-4,41503,42309,130926225805
130928225805,W-0,255,4064,130928225805
130928225805,R-0,378,1324,130898225805
130928225805,R-0,11600,12376,130928225805
130928225805,R-1,2241,4324,130928225805
130928225805,R-2,4440,5106,130928225805
130928225805,R-3,6300,6921,130928225805
130928225805,R-4,8242,8914,130928225805
130929225805,W-0,194,3998,130929225805
130929225805,R-0,433,1139,130915725805
130929225805,R-0,11437,12381,130929225805
130929225805,R-1,2245,2924,130915725805
130929225805,R-1,13177,13897,130929225805
130929225805,R-2,4236,4872,130929225805
130929225805,R-3,6276,6954,130929225805
130929225805,R-4,8337,8905,130929225805
130929725805,W-0,377,3863,130929725805
130929725805,R-0,263,1042,130928225805
130929725805,R-0,11504,12081,130929725805
130929725805,R-1,2224,2983,130928225805
130929725805,R-1,13262,13791,130929725805
130929725805,R-2,4285,5021,130929725805
130929725805,R-3,6241,6888,130929725805
130929725805,R-4,8241,8829,130929725805
130930725805,W-0,382,3792,130930725805
130930725805,R-0,403,1232,130911225805
130930725805,R-0,11490,12399,130930725805
130930725805,R-1,2190,3087,130930725805
130930725805,R-2,4166,4831,130930725805
130930725805,R-3,6256,7369,130930725805
130930725805,R-4,8231,8966,130930725805
130931725805,W-0,272,3719,130931725805
130931725805,R-0,398,1466,130931725805
130931725805,R-1,2190,3884,130931725805
130931725805,R-2,4185,4993,130931725805
130931725805,R-3,6252,6917,130931725805
130931725805,R-4,8239,8979,130931725805
130932225805,W-0,278,4149,130932225805
130932225805,R-0,283,1141,130912225805
130932225805,R-0,11461,12253,130932225805
130932225805,R-1,2257,3120,130932225805
130932225805,R-2,4356,5298,130932225805
130932225805,R-3,6242,7001,130932225805
130932225805,R-4,8321,9345,130932225805
130933725805,W-0,289,3711,130933725805
130933725805,R-0,592,1452,130919725805
130933725805,R-0,11749,12457,130933725805
130933725805,R-1,2287,3108,130933725805
130933725805,R-2,4252,4935,130933725805
130933725805,R-3,6230,6823,130933725805
130933725805,R-4,8286,8946,130933725805
130935225805,W-0,592,5473,130935225805
130935225805,R-0,347,1054,130903725805
130935225805,R-0,11324,12178,130935225805
130935225805,R-1,2258,2976,130903725805
130935225805,R-1,13243,14127,130935225805
130935225805,R-2,4269,5093,130903725805
130935225805,R-2,15498,16169,130935225805
130935225805,R-3,6194,7028,130903725805
130935225805,R-3,17288,17984,130935225805
130935225805,R-4,8232,9172,130935225805
130935725805,W-0,153,4070,130935725805
130935725805,R-0,366,1681,130935725805
130935725805,R-1,2287,3309,130935725805
130935725805,R-2,4294,5238,130935725805
130935725805,R-3,6235,6897,130935725805
130935725805,R-4,8233,9291,130935725805
130938225805,W-0,261,3569,130938225805
130938225805,R-0,360,1114,130906225805
130938225805,R-0,11413,12119,130938225805
130938225805,R-1,2232,2881,130938225805
130938225805,R-2,4394,5021,130938225805
130938225805,R-3,6231,6889,130938225805
130938225805,R-4,8259,8903,130938225805
130938725805,W-0,256,4727,130938725805
130938725805,R-0,372,1155,130892725805
130938725805,R-0,11442,12287,130938725805
130938725805,R-1,2166,3521,130892725805
130938725805,R-1,13759,14482,130938725805
130938725805,R-2,4316,5157,130938725805
130938725805,R-3,6312,7110,130938725805
130938725805,R-4,8190,8958,130938725805
130939225805,W-0,227,3812,130939225805
130939225805,R-0,517,1321,130937725805
130939225805,R-0,11640,12456,130939225805
130939225805,R-1,2176,3260,130937725805
130939225805,R-1,13508,14180,130939225805
130939225805,R-2,4252,4992,130939225805
130939225805,R-3,6278,6957,130939225805
130939225805,R-4,8223,9039,130939225805
130940225805,W-0,281,3763,130940225805
130940225805,R-0,549,1291,130927225805
130940225805,R-0,11536,12414,130940225805
130940225805,R-1,2193,2879,130940225805
130940225805,R-2,4190,5009,130940225805
130940225805,R-3,6287,6947,130940225805
130940225805,R-4,8229,8866,130940225805
130940725805,W-0,259,3740,130940725805
130940725805,R-0,515,1495,130915225805
130940725805,R-0,11731,12464,130940725805
130940725805,R-1,2134,3033,130915225805
130940725805,R-1,13275,13949,130940725805
130940725805,R-2,4284,5085,130940725805
130940725805,R-3,6233,6846,130940725805
130940725805,R-4,8287,9023,130940725805
130941225805,W-0,271,4167,130941225805
130941225805,R-0,612,1628,130914225805
130941225805,R-0,11855,12510,130941225805
130941225805,R-1,2226,3132,130914225805
130941225805,R-1,13281,14254,130941225805
130941225805,R-2,4380,5399,130941225805
130941225805,R-3,6226,6942,130941225805
130941225805,R-4,8230,8991,130941225805
130942725805,W-0,310,3903,130942725805
130942725805,R-0,631,1540,130902225805
130942725805,R-0,11839,12482,130942725805
130942725805,R-1,2248,3047,130942725805
130942725805,R-2,4270,4932,130942725805
130942725805,R-3,6268,6909,130942725805
130942725805,R-4,8264,9510,130942725805
130943225805,W-0,283,3065,130943225805
130943225805,R-0,455,1183,130927725805
130943225805,R-0,11454,12075,130943225805
130943225805,R-1,2225,2890,130943225805
130943225805,R-2,4188,4817,130943225805
130943225805,R-3,6225,6933,130943225805
130943225805,R-4,8264,8942,130943225805
130944225805,W-0,262,3863,130944225805
130944225805,R-0,459,1514,130944225805
130944225805,R-1,2283,3023,130944225805
130944225805,R-2,4296,5066,130944225805
