Time(micros),Thread, Start(micros),Delay (micros),Value
132083732513,W-0,202,10718,132083732513
132083732513,R-0,230,1364,132083232513
132083732513,R-0,11649,12557,132083732513
132083732513,R-1,2221,3138,132083732513
132083732513,R-2,4196,5109,132083732513
132083732513,R-3,6187,7115,132083732513
132083732513,R-4,8179,9145,132083732513
132084232513,W-0,225,95222,132084232513
132084232513,R-0,226,1246,132083732513
132084232513,R-0,11599,12323,132084232513
132084232513,R-1,2224,2938,132084232513
132084232513,R-2,4228,5188,132084232513
132084232513,R-3,6186,7095,132084232513
132084232513,R-4,8195,8999,132084232513
132085232513,W-0,301,5347,132085232513
132085232513,R-0,227,1115,132084232513
132085232513,R-0,11468,12335,132085232513
132085232513,R-1,2197,3063,132085232513
132085232513,R-2,4217,5033,132085232513
132085232513,R-3,6186,6871,132085232513
132085232513,R-4,8185,9181,132085232513
132086232513,W-0,553,4115,132086232513
132086232513,R-0,251,1098,132085232513
132086232513,R-0,11432,12223,132086232513
132086232513,R-1,2312,3241,132086232513
132086232513,R-2,4301,5061,132086232513
132086232513,R-3,6655,7356,132086232513
132086232513,R-4,8187,8906,132086232513
132087232513,W-0,219,3178,132087232513
132087232513,R-0,218,1046,132085732513
132087232513,R-0,11597,12315,132087232513
132087232513,R-1,2224,2985,132087232513
132087232513,R-2,4193,4887,132087232513
132087232513,R-3,6184,6908,132087232513
132087232513,R-4,8216,8883,132087232513
132090732513,W-0,454,4148,132090732513
132090732513,R-0,218,985,132089732513
132090732513,R-0,11256,11916,132090732513
132090732513,R-1,2199,2841,132090732513
132090732513,R-2,4292,5008,132090732513
132090732513,R-3,6187,7018,132090732513
132090732513,R-4,8214,9037,132090732513
132091232513,W-0,213,4593,132091232513
132091232513,R-0,549,1343,132088732513
132091232513,R-0,11593,12161,132091232513
132091232513,R-1,2201,2921,132091232513
132091232513,R-2,4215,4847,132091232513
132091232513,R-3,6194,7032,132091232513
132091232513,R-4,8191,9008,132091232513
132092232513,W-0,210,5142,132092232513
132092232513,R-0,618,1534,132092232513
132092232513,R-1,2326,3076,132092232513
132092232513,R-2,4191,4889,132092232513
132092232513,R-3,6228,7670,132092232513
132092232513,R-4,8540,9222,132092232513
132096232513,W-0,206,53047,132096232513
132096232513,R-0,605,1585,132096232513
132096232513,R-1,2143,2944,132096232513
132096232513,R-2,4194,5102,132096232513
132096232513,R-3,6223,7141,132096232513
132096232513,R-4,8204,9163,132096232513
132098732513,W-0,205,3881,132098732513
132098732513,R-0,478,1463,132098732513
132098732513,R-1,2189,2907,132098732513
132098732513,R-2,4186,4944,132098732513
132098732513,R-3,6181,6976,132098732513
132098732513,R-4,8257,8994,132098732513
132099732513,W-0,215,4772,132099732513
132099732513,R-0,561,1449,132099732513
132099732513,R-1,2410,3327,132099732513
132099732513,R-2,4418,5209,132099732513
132099732513,R-3,6198,6851,132099732513
132099732513,R-4,8173,8867,132099732513
132101232513,W-0,198,9328,132101232513
132101232513,R-0,5461,6439,132092732513
132101232513,R-0,16766,17483,132101232513
132101232513,R-1,4658,5767,132092732513
132101232513,R-1,16035,17012,132101232513
132101232513,R-2,4467,6665,132092732513
132101232513,R-2,17202,17907,132101232513
132101232513,R-3,6194,6887,132101232513
132101232513,R-4,8261,9009,132101232513
132101732513,W-0,641,78597,132101732513
132101732513,R-0,274,1012,132084732513
132101732513,R-0,11297,11818,132101732513
132101732513,R-1,2242,2954,132101732513
132101732513,R-2,4194,4858,132101732513
132101732513,R-3,6196,6773,132101732513
132101732513,R-4,8255,8841,132101732513
132102232513,W-0,250,4188,132102232513
132102232513,R-0,285,1271,132089232513
132102232513,R-0,11849,12401,132102232513
132102232513,R-1,2219,2932,132102232513
132102232513,R-2,4337,4945,132102232513
132102232513,R-3,6203,6884,132102232513
132102232513,R-4,8198,8989,132102232513
132105232513,W-0,219,3748,132105232513
132105232513,R-0,525,1482,132105232513
132105232513,R-1,2126,2902,132105232513
132105232513,R-2,4198,5111,132105232513
132105232513,R-3,6231,7077,132105232513
132105232513,R-4,8209,9106,132105232513
132105732513,W-0,194,5237,132105732513
132105732513,R-0,451,1636,132105732513
132105732513,R-1,2191,2879,132105732513
132105732513,R-2,4215,4901,132105732513
132105732513,R-3,6233,6917,132105732513
132105732513,R-4,8200,8879,132105732513
132106232513,W-0,212,3815,132106232513
132106232513,R-0,466,1864,132106232513
132106232513,R-1,2184,3271,132106232513
132106232513,R-2,4200,5043,132106232513
132106232513,R-3,6194,6879,132106232513
132106232513,R-4,8173,8783,132106232513
132106732513,W-0,204,4122,132106732513
132106732513,R-0,478,1518,132106732513
132106732513,R-1,2378,3216,132106732513
132106732513,R-2,4278,5006,132106732513
132106732513,R-3,6229,6829,132106732513
132106732513,R-4,8164,8948,132106732513
132107732513,W-0,344,3793,132107732513
132107732513,R-0,683,1668,132107732513
132107732513,R-1,2167,2778,132107732513
132107732513,R-2,4186,4769,132107732513
132107732513,R-3,6124,6748,132107732513
132107732513,R-4,8253,8937,132107732513
132110732513,W-0,227,4874,132110732513
132110732513,R-0,399,1834,132110732513
132110732513,R-1,2179,2895,132110732513
132110732513,R-2,4400,5266,132110732513
132110732513,R-3,6201,6937,132110732513
132110732513,R-4,8286,9110,132110732513
132112732513,W-0,169,3603,132112732513
132112732513,R-0,273,1590,132112732513
132112732513,R-1,2138,2858,132112732513
132112732513,R-2,4164,4838,132112732513
132112732513,R-3,6200,6761,132112732513
132112732513,R-4,8194,8856,132112732513
132113232513,W-0,229,4077,132113232513
132113232513,R-0,544,1622,132113232513
132113232513,R-1,2165,2760,132113232513
132113232513,R-2,4265,4881,132113232513
132113232513,R-3,6206,6906,132113232513
132113232513,R-4,8184,8815,132113232513
132113732513,W-0,212,10673,132113732513
132113732513,R-0,242,971,132094732513
132113732513,R-0,11313,11845,132113732513
132113732513,R-1,2189,2900,132113732513
132113732513,R-2,4299,4999,132113732513
132113732513,R-3,6192,6819,132113732513
132113732513,R-4,8191,8759,132113732513
132115232513,W-0,223,49187,132115232513
132115232513,R-0,637,1620,132115232513
132115232513,R-1,2216,2935,132115232513
132115232513,R-2,4233,4895,132115232513
132115232513,R-3,6211,6906,132115232513
132115232513,R-4,8238,8957,132115232513
132115732513,W-0,234,3729,132115732513
132115732513,R-0,315,1528,132115732513
132115732513,R-1,2189,3091,132115732513
132115732513,R-2,4196,5043,132115732513
132115732513,R-3,6193,7452,132115732513
132115732513,R-4,8197,9098,132115732513
132118232513,W-0,239,4191,132118232513
132118232513,R-0,566,2563,132118232513
132118232513,R-1,2242,3408,132118232513
132118232513,R-2,4477,5816,132118232513
132118232513,R-3,6198,6845,132118232513
132118232513,R-4,8197,8832,132118232513
132119232513,W-0,555,5298,132119232513
132119232513,R-0,314,1072,132115732513
132119232513,R-0,11361,12127,132119232513
132119232513,R-1,2197,3223,132119232513
132119232513,R-2,4193,5054,132119232513
132119232513,R-3,6300,7098,132119232513
132119232513,R-4,8204,9089,132119232513
132119732513,W-0,195,5184,132119732513
132119732513,R-0,469,1424,132119732513
132119732513,R-1,2192,2926,132119732513
132119732513,R-2,4218,4927,132119732513
132119732513,R-3,6180,6840,132119732513
132119732513,R-4,8123,8746,132119732513
132121732513,W-0,245,3699,132121732513
132121732513,R-0,264,1041,132091732513
132121732513,R-0,11347,11961,132121732513
132121732513,R-1,2193,2837,132121732513
132121732513,R-2,4157,4703,132121732513
132121732513,R-3,6194,6909,132121732513
132121732513,R-4,8273,8850,132121732513
132122732513,W-0,218,3686,132122732513
132122732513,R-0,462,1646,132122732513
132122732513,R-1,2195,2952,132122732513
132122732513,R-2,4264,4801,132122732513
132122732513,R-3,6242,6945,132122732513
132122732513,R-4,8208,8843,132122732513
132123232513,W-0,211,3733,132123232513
132123232513,R-0,525,1591,132123232513
132123232513,R-1,2254,3155,132123232513
132123232513,R-2,4233,5023,132123232513
132123232513,R-3,6196,6870,132123232513
132123232513,R-4,8247,9076,132123232513
132124232513,W-0,205,3677,132124232513
132124232513,R-0,568,1615,132124232513
132124232513,R-1,2187,2768,132124232513
132124232513,R-2,4225,5410,132124232513
132124232513,R-3,6193,6874,132124232513
132124232513,R-4,8245,9382,132124232513
132125232513,W-0,216,3703,132125232513
132125232513,R-0,600,1302,132125232513
132125232513,R-1,2200,2861,132125232513
132125232513,R-2,4231,5067,132125232513
132125232513,R-3,6185,6857,132125232513
132125232513,R-4,8186,8905,132125232513
132125732513,W-0,186,3879,132125732513
132125732513,R-0,435,1572,132125732513
132125732513,R-1,2134,2865,132125732513
132125732513,R-2,4198,4816,132125732513
132125732513,R-3,6205,6868,132125732513
132125732513,R-4,8168,8875,132125732513
132127232513,W-0,271,3694,132127232513
132127232513,R-0,275,963,132113232513
132127232513,R-0,11272,11878,132127232513
132127232513,R-1,2191,2903,132127232513
