Time(micros),Thread, Start(micros),Delay (micros),Value
133872309984,W-0,188,4455,133872309984
133872309984,R-0,728,1887,133872309984
133872309984,R-1,2310,3177,133872309984
133872309984,R-2,4199,5046,133872309984
133872309984,R-3,6172,7139,133872309984
133872309984,R-4,8186,9800,133872309984
133872809984,W-0,300,5868,133872809984
133872809984,R-0,893,2577,133872809984
133872809984,R-1,2156,3356,133872809984
133872809984,R-2,4203,5103,133872809984
133872809984,R-3,6195,7160,133872809984
133872809984,R-4,8220,9072,133872809984
133873809984,W-0,228,3551,133873809984
133873809984,R-0,384,1187,133872809984
133873809984,R-0,11495,13262,133873809984
133873809984,R-1,2320,3224,133873809984
133873809984,R-2,4188,4918,133873809984
133873809984,R-3,6197,6865,133873809984
133873809984,R-4,8206,8889,133873809984
133874809984,W-0,242,3820,133874809984
133874809984,R-0,511,1650,133874809984
133874809984,R-1,2171,2840,133874809984
133874809984,R-2,4225,4940,133874809984
133874809984,R-3,6187,6856,133874809984
133874809984,R-4,8276,8978,133874809984
133875809984,W-0,654365,null,null
133875809984,R-0,252,1538,133874309984
133875809984,R-0,11804,12710,133874309984
133875809984,R-0,22911,23806,133874309984
133875809984,R-0,34009,34907,133874309984
133875809984,R-0,45560,46433,133874309984
133875809984,R-0,56724,57548,133874309984
133875809984,R-0,67792,68725,133874309984
133875809984,R-0,78968,79986,133874309984
133875809984,R-0,90254,91079,133874309984
133875809984,R-0,101295,102150,133874309984
133875809984,R-0,112431,113456,133874309984
133875809984,R-0,123711,124675,133874309984
133875809984,R-0,134971,136092,133874309984
133875809984,R-0,146389,147412,133874309984
133875809984,R-0,157715,158677,133874309984
133875809984,R-0,168901,169768,133874309984
133875809984,R-0,180084,181148,133874309984
133875809984,R-0,191382,192269,133874309984
133875809984,R-0,202525,203435,133874309984
133875809984,R-0,213673,214561,133874309984
133875809984,R-0,224825,225688,133874309984
133875809984,R-0,235928,236764,133874309984
133875809984,R-0,246981,247843,133874309984
133875809984,R-0,258087,258827,133874309984
