Time(micros),Thread, Start(micros),Delay (micros),Value
134468328070,W-0,210,3624,134468328070
134468328070,R-0,749,3864,134468328070
134468328070,R-1,2282,3270,134468328070
134468328070,R-2,4198,5210,134468328070
134468328070,R-3,6294,10098,134468328070
134468328070,R-4,8348,9740,134468328070
134468828070,W-0,202,5257,134468828070
134468828070,R-0,709,1743,134468328070
134468828070,R-0,12010,13038,134468828070
134468828070,R-1,2195,3019,134468828070
134468828070,R-2,4195,7779,134468828070
134468828070,R-3,6539,7551,134468828070
134468828070,R-4,8211,9082,134468828070
134469828070,W-0,203,7459,134469828070
134469828070,R-0,630,1497,134468828070
134469828070,R-0,11890,13157,134469828070
134469828070,R-1,2184,3072,134469828070
134469828070,R-2,4204,5185,134469828070
134469828070,R-3,6194,7195,134469828070
134469828070,R-4,8201,9040,134469828070
134470828070,W-0,216,10188,134470828070
134470828070,R-0,417,1396,134469828070
134470828070,R-0,11651,12415,134470828070
134470828070,R-1,2206,3126,134469828070
134470828070,R-1,13348,14644,134470828070
134470828070,R-2,4181,4914,134469828070
134470828070,R-2,15172,15991,134470828070
134470828070,R-3,6203,6897,134469828070
134470828070,R-3,17310,18073,134470828070
134470828070,R-4,8190,9017,134470828070
134471828070,W-0,204,192644,134471828070
134471828070,R-0,515,1447,134470328070
134471828070,R-0,11822,12995,134471828070
134471828070,R-1,2190,2982,134470328070
134471828070,R-1,13236,14132,134471828070
134471828070,R-2,4220,4904,134471828070
134471828070,R-3,6185,6971,134471828070
134471828070,R-4,8187,8878,134471828070
134475328070,W-0,226,2924,134475328070
134475328070,R-0,530,1243,134474328070
134475328070,R-0,11521,12355,134475328070
134475328070,R-1,2174,2807,134475328070
134475328070,R-2,4195,4839,134475328070
134475328070,R-3,6194,7127,134475328070
134475328070,R-4,8195,9081,134475328070
134475828070,W-0,212,3703,134475828070
134475828070,R-0,521,1325,134473328070
134475828070,R-0,11608,12454,134475828070
134475828070,R-1,2171,2876,134475828070
134475828070,R-2,4248,5053,134475828070
134475828070,R-3,6196,7164,134475828070
134475828070,R-4,8199,9066,134475828070
134476828070,W-0,225,4747,134476828070
134476828070,R-0,494,1163,134471328070
134476828070,R-0,11409,12395,134471328070
134476828070,R-0,22585,23276,134476828070
134476828070,R-1,2246,3213,134471328070
134476828070,R-1,13497,14344,134471328070
134476828070,R-1,24547,25131,134476828070
134476828070,R-2,4284,5150,134471328070
134476828070,R-2,15394,16132,134476828070
134476828070,R-3,6190,7003,134476828070
134476828070,R-4,8240,8995,134471328070
134476828070,R-4,19231,20000,134476828070
134480828070,W-0,152,3623,134480828070
134480828070,R-0,437,1327,134475828070
134480828070,R-0,11642,12475,134480828070
134480828070,R-1,2163,3054,134480828070
134480828070,R-2,4191,5101,134480828070
134480828070,R-3,6189,6907,134480828070
134480828070,R-4,8226,9047,134480828070
134483328070,W-0,204,3474,134483328070
134483328070,R-0,172,1111,134482328070
134483328070,R-0,11370,12049,134483328070
134483328070,R-1,2184,2843,134483328070
134483328070,R-2,4216,4860,134483328070
134483328070,R-3,6210,7120,134483328070
134483328070,R-4,8196,9161,134483328070
134484328070,W-0,386,3837,134484328070
134484328070,R-0,219,1015,134475328070
134484328070,R-0,11258,11922,134484328070
134484328070,R-1,2188,2807,134475328070
134484328070,R-1,13045,13653,134484328070
134484328070,R-2,4238,4817,134484328070
134484328070,R-3,6193,6800,134484328070
134484328070,R-4,8202,8810,134484328070
134485828070,W-0,184,3464,134485828070
134485828070,R-0,468,1188,134477328070
134485828070,R-0,11450,12004,134485828070
134485828070,R-1,2218,2880,134485828070
134485828070,R-2,4197,4848,134485828070
134485828070,R-3,6187,6781,134485828070
134485828070,R-4,8198,8809,134485828070
134486328070,W-0,696,4284,134486328070
134486328070,R-0,392,1236,134469328070
134486328070,R-0,11510,12673,134486328070
134486328070,R-1,2221,3035,134486328070
134486328070,R-2,4202,5251,134486328070
134486328070,R-3,6206,7189,134486328070
134486328070,R-4,8189,9008,134486328070
134486828070,W-0,229,4095,134486828070
134486828070,R-0,230,1067,134473828070
134486828070,R-0,11398,12085,134486828070
134486828070,R-1,2194,2829,134473828070
134486828070,R-1,13068,13652,134486828070
134486828070,R-2,4280,5156,134486828070
134486828070,R-3,6191,6857,134486828070
134486828070,R-4,8233,8926,134486828070
134489828070,W-0,238,4008,134489828070
134489828070,R-0,518,1322,134472828070
134489828070,R-0,11606,12240,134489828070
134489828070,R-1,2189,3042,134489828070
134489828070,R-2,4187,5040,134489828070
134489828070,R-3,6192,6906,134489828070
134489828070,R-4,8194,9019,134489828070
134490328070,W-0,534,6132,134490328070
134490328070,R-0,242,1498,134488828070
134490328070,R-0,11765,12544,134490328070
134490328070,R-1,2288,3177,134488828070
134490328070,R-1,13490,14113,134488828070
134490328070,R-1,24319,24977,134490328070
134490328070,R-2,4196,4801,134488828070
134490328070,R-2,15038,15653,134490328070
134490328070,R-3,6289,7084,134490328070
134490328070,R-4,8191,8919,134488828070
134490328070,R-4,19192,19927,134490328070
134490828070,W-0,202,2656,134490828070
134490828070,R-0,469,1112,134483828070
134490828070,R-0,11363,12170,134490828070
134490828070,R-1,2225,2993,134490828070
134490828070,R-2,4192,4826,134490828070
134490828070,R-3,6155,6914,134490828070
134490828070,R-4,8192,8857,134490828070
134491328070,W-0,230,3635,134491328070
134491328070,R-0,479,1159,134485828070
134491328070,R-0,11509,12103,134491328070
134491328070,R-1,2195,2893,134491328070
134491328070,R-2,4199,4765,134491328070
134491328070,R-3,6185,6883,134491328070
134491328070,R-4,8237,8896,134491328070
134492328070,W-0,205,3557,134492328070
134492328070,R-0,483,1209,134488328070
134492328070,R-0,11482,12273,134492328070
134492328070,R-1,2496,3238,134492328070
134492328070,R-2,4188,4894,134492328070
134492328070,R-3,6189,6908,134492328070
134492328070,R-4,8186,8898,134492328070
134495328070,W-0,339,3769,134495328070
134495328070,R-0,384,1162,134486828070
134495328070,R-0,11423,12157,134495328070
134495328070,R-1,2162,3040,134495328070
134495328070,R-2,4204,4979,134495328070
134495328070,R-3,6223,6876,134495328070
134495328070,R-4,8210,8969,134495328070
134497328070,W-0,286,5170,134497328070
134497328070,R-0,280,1543,134494328070
134497328070,R-0,11802,12549,134497328070
134497328070,R-1,2188,3125,134494328070
134497328070,R-1,13375,14075,134497328070
134497328070,R-2,4173,4839,134497328070
134497328070,R-3,6214,6848,134497328070
134497328070,R-4,8199,8865,134497328070
134497828070,W-0,194,3669,134497828070
134497828070,R-0,158,1101,134471828070
134497828070,R-0,11427,12252,134497828070
134497828070,R-1,2219,3000,134497828070
134497828070,R-2,4259,4986,134497828070
134497828070,R-3,6257,6982,134497828070
134497828070,R-4,8251,9006,134497828070
134498328070,W-0,220,3530,134498328070
134498328070,R-0,525,1325,134479328070
134498328070,R-0,11732,12290,134498328070
134498328070,R-1,2197,3006,134498328070
134498328070,R-2,4323,5002,134498328070
134498328070,R-3,6193,6869,134498328070
134498328070,R-4,8201,8889,134498328070
134499828070,W-0,209,3574,134499828070
134499828070,R-0,367,1042,134476828070
134499828070,R-0,11352,12148,134499828070
134499828070,R-1,2209,3002,134499828070
134499828070,R-2,4281,5069,134499828070
134499828070,R-3,6206,6809,134499828070
134499828070,R-4,8192,8863,134499828070
134500328070,W-0,246,4740,134500328070
134500328070,R-0,600,1679,134497328070
134500328070,R-0,12058,12734,134500328070
134500328070,R-1,2209,2920,134497328070
134500328070,R-1,13198,13863,134500328070
134500328070,R-2,4219,5142,134500328070
134500328070,R-3,6210,7255,134500328070
134500328070,R-4,8207,9034,134500328070
134502828070,W-0,523,4118,134502828070
134502828070,R-0,233,1043,134496328070
134502828070,R-0,11309,11911,134496328070
134502828070,R-0,22111,22820,134502828070
134502828070,R-1,2313,3128,134502828070
134502828070,R-2,4271,5232,134502828070
134502828070,R-3,6184,6907,134496328070
134502828070,R-3,17297,18092,134502828070
134502828070,R-4,8198,8908,134502828070
134503828070,W-0,199,5126,134503828070
134503828070,R-0,525,1471,134500328070
134503828070,R-0,11820,12924,134503828070
134503828070,R-1,2444,3546,134503828070
134503828070,R-2,4202,5216,134503828070
134503828070,R-3,6172,6868,134503828070
134503828070,R-4,8215,9056,134503828070
134504328070,W-0,495,18664,134504328070
134504328070,R-0,222,1137,134489828070
134504328070,R-0,11391,12128,134489828070
134504328070,R-0,22436,23216,134489828070
134504328070,R-0,33370,34039,134504328070
134504328070,R-1,2199,3150,134489828070
134504328070,R-1,13427,14112,134489828070
134504328070,R-1,24354,25197,134504328070
134504328070,R-2,4298,5109,134489828070
134504328070,R-2,15427,16116,134489828070
134504328070,R-2,26375,27104,134489828070
134504328070,R-2,37307,38194,134504328070
134504328070,R-3,6200,6893,134489828070
134504328070,R-3,17188,17869,134489828070
134504328070,R-3,28100,30224,134504328070
134504328070,R-4,8223,8875,134489828070
134504328070,R-4,19146,19865,134504328070
134506328070,W-0,241,4928,134506328070
134506328070,R-0,489,1371,134476328070
134506328070,R-0,11640,12273,134506328070
134506328070,R-1,2190,2800,134476328070
134506328070,R-1,13044,14463,134506328070
134506328070,R-2,4185,4791,134506328070
134506328070,R-3,6192,6809,134506328070
134506328070,R-4,8186,8925,134506328070
134507328070,W-0,293,49804,134507328070
134507328070,R-0,592,1429,134493828070
134507328070,R-0,11699,12399,134493828070
134507328070,R-0,24844,25654,134507328070
134507328070,R-1,2145,2837,134493828070
134507328070,R-1,13106,13875,134507328070
134507328070,R-2,4176,5173,134493828070
134507328070,R-2,15479,16241,134507328070
134507328070,R-3,6202,7165,134493828070
134507328070,R-3,17477,18147,134507328070
134507328070,R-4,8184,9075,134493828070
134507328070,R-4,19302,19924,134493828070
134507328070,R-4,30413,31521,134493828070
134507328070,R-4,41757,42381,134493828070
134507328070,R-4,52691,53990,134493828070
134507328070,R-4,64231,64855,134507328070
134507828070,W-0,460,5399,134507828070
134507828070,R-0,249,1160,134506328070
134507828070,R-0,11404,12011,134507828070
134507828070,R-1,2193,3069,134507828070
134507828070,R-2,4244,5109,134507828070
134507828070,R-3,6223,7037,134507828070
134507828070,R-4,8207,8894,134507828070
134508828070,W-0,252,3643,134508828070
134508828070,R-0,708,1660,134489328070
134508828070,R-0,11907,12592,134508828070
134508828070,R-1,2209,2971,134508828070
134508828070,R-2,4204,5124,134508828070
134508828070,R-3,6199,6876,134508828070
134508828070,R-4,8213,8862,134508828070
134509828070,W-0,228,3527,134509828070
134509828070,R-0,590,1374,134479828070
134509828070,R-0,11614,12425,134509828070
134509828070,R-1,2151,3047,134509828070
134509828070,R-2,4192,4888,134509828070
134509828070,R-3,6194,6805,134509828070
134509828070,R-4,8177,8899,134509828070
134510328070,W-0,218,3524,134510328070
134510328070,R-0,459,1153,134490328070
134510328070,R-0,11408,12002,134510328070
134510328070,R-1,2202,2855,134510328070
134510328070,R-2,4262,4878,134510328070
134510328070,R-3,6194,6826,134510328070
134510328070,R-4,8191,8807,134510328070
134511828070,W-0,414,3815,134511828070
134511828070,R-0,210,838,134497828070
134511828070,R-0,11078,11694,134511828070
134511828070,R-1,2190,2895,134511828070
134511828070,R-2,4195,4792,134511828070
134511828070,R-3,6182,6870,134511828070
134511828070,R-4,8201,8875,134511828070
134513328070,W-0,484,7406,134513328070
134513328070,R-0,189,982,134481828070
134513328070,R-0,11286,11857,134513328070
134513328070,R-1,2188,3010,134513328070
134513328070,R-2,4217,5067,134513328070
134513328070,R-3,6221,6846,134513328070
134513328070,R-4,8195,8829,134513328070
134513828070,W-0,225,3769,134513828070
134513828070,R-0,295,1046,134491328070
134513828070,R-0,11357,12018,134513828070
134513828070,R-1,2205,2895,134491328070
134513828070,R-1,13182,13778,134513828070
134513828070,R-2,4227,4920,134491328070
134513828070,R-2,15198,15857,134513828070
134513828070,R-3,6266,7142,134491328070
134513828070,R-3,17396,18032,134513828070
134513828070,R-4,8199,8851,134513828070
134516328070,W-0,197,2492,134516328070
134516328070,R-0,448,1154,134484328070
134516328070,R-0,11480,12217,134516328070
134516328070,R-1,2191,3022,134484328070
134516328070,R-1,13295,14040,134516328070
134516328070,R-2,4193,4898,134516328070
134516328070,R-3,7052,8429,134516328070
134516328070,R-4,8181,8783,134516328070
134516828070,W-0,210,3726,134516828070
134516828070,R-0,459,1211,134470828070
134516828070,R-0,11433,12113,134516828070
134516828070,R-1,2212,2978,134516828070
134516828070,R-2,4188,5007,134516828070
134516828070,R-3,6189,6914,134516828070
134516828070,R-4,8201,8802,134516828070
134517328070,W-0,198,3089,134517328070
134517328070,R-0,492,1124,134515828070
134517328070,R-0,11489,12080,134517328070
134517328070,R-1,2186,2882,134517328070
134517328070,R-2,4191,4805,134517328070
134517328070,R-3,6267,6852,134517328070
134517328070,R-4,8168,8743,134517328070
134518328070,W-0,478,3724,134518328070
134518328070,R-0,248,1153,134505328070
134518328070,R-0,11380,11999,134518328070
134518328070,R-1,2186,3375,134518328070
134518328070,R-2,4225,4881,134518328070
134518328070,R-3,6184,6882,134518328070
134518328070,R-4,8188,8811,134518328070
134518828070,W-0,201,3632,134518828070
134518828070,R-0,471,1535,134493328070
134518828070,R-0,11789,12463,134518828070
134518828070,R-1,2183,3180,134518828070
134518828070,R-2,4213,4907,134518828070
134518828070,R-3,6187,7005,134518828070
134518828070,R-4,8189,9053,134518828070
134519328070,W-0,240,3037,134519328070
134519328070,R-0,523,1210,134492328070
134519328070,R-0,11442,12094,134519328070
134519328070,R-1,2182,2869,134519328070
134519328070,R-2,4183,5055,134519328070
134519328070,R-3,6212,6994,134519328070
134519328070,R-4,8317,9117,134519328070
134520828070,W-0,261,3718,134520828070
134520828070,R-0,497,1153,134480328070
134520828070,R-0,11450,12137,134520828070
134520828070,R-1,2191,2891,134520828070
134520828070,R-2,4191,4905,134520828070
134520828070,R-3,6272,7262,134520828070
134520828070,R-4,8204,8898,134520828070
134521328070,W-0,226,5211,134521328070
134521328070,R-0,484,1131,134505828070
134521328070,R-0,11347,12013,134505828070
134521328070,R-0,22213,22825,134521328070
134521328070,R-1,2183,3021,134505828070
134521328070,R-1,13237,13827,134505828070
134521328070,R-1,24018,24590,134521328070
134521328070,R-2,4217,4982,134521328070
134521328070,R-3,6200,6874,134521328070
134521328070,R-4,8189,8859,134505828070
134521328070,R-4,19069,19743,134521328070
134522328070,W-0,219,3588,134522328070
134522328070,R-0,479,1444,134496828070
134522328070,R-0,11727,12540,134522328070
134522328070,R-1,2198,2968,134522328070
134522328070,R-2,4262,5119,134522328070
134522328070,R-3,6208,7134,134522328070
134522328070,R-4,8257,8890,134522328070
134522828070,W-0,166,3302,134522828070
134522828070,R-0,434,1102,134514828070
134522828070,R-0,11410,12097,134522828070
134522828070,R-1,2206,2896,134522828070
134522828070,R-2,4363,5048,134522828070
134522828070,R-3,6171,7173,134522828070
134522828070,R-4,8227,8909,134522828070
134523828070,W-0,226,3773,134523828070
134523828070,R-0,501,1213,134518328070
134523828070,R-0,11534,12335,134523828070
134523828070,R-1,2183,2911,134523828070
134523828070,R-2,4197,4870,134523828070
134523828070,R-3,6223,7027,134523828070
134523828070,R-4,8191,9064,134523828070
134524328070,W-0,228,3762,134524328070
134524328070,R-0,505,1308,134513328070
134524328070,R-0,11563,12081,134524328070
134524328070,R-1,2194,2995,134524328070
134524328070,R-2,4225,5017,134513328070
134524328070,R-2,15250,16038,134524328070
134524328070,R-3,6182,6800,134524328070
134524328070,R-4,8195,8868,134524328070
134524828070,W-0,224,8447,134524828070
134524828070,R-0,497,1309,134504828070
134524828070,R-0,11708,12378,134524828070
134524828070,R-1,2220,3076,134504828070
134524828070,R-1,13292,13975,134524828070
134524828070,R-2,4196,4990,134524828070
134524828070,R-3,6224,7019,134524828070
134524828070,R-4,8208,8806,134524828070
134525328070,W-0,187,11894,134525328070
134525328070,R-0,492,1334,134500828070
134525328070,R-0,11584,12485,134500828070
134525328070,R-0,22724,24016,134500828070
134525328070,R-0,34233,35100,134525328070
134525328070,R-1,2524,3374,134525328070
134525328070,R-2,4178,4756,134525328070
134525328070,R-3,6180,6870,134500828070
134525328070,R-3,17121,18146,134500828070
134525328070,R-3,28361,29185,134525328070
134525328070,R-4,8182,8976,134525328070
134526828070,W-0,170,4630,134526828070
134526828070,R-0,474,1420,134499828070
134526828070,R-0,11635,12407,134526828070
134526828070,R-1,2197,3191,134526828070
134526828070,R-2,4276,5203,134526828070
134526828070,R-3,6184,6971,134526828070
134526828070,R-4,8235,9073,134526828070
134528828070,W-0,209,3670,134528828070
134528828070,R-0,455,1239,134478328070
134528828070,R-0,11474,12043,134528828070
134528828070,R-1,2211,2829,134528828070
134528828070,R-2,4196,4774,134528828070
134528828070,R-3,6404,7006,134528828070
134528828070,R-4,8189,8815,134528828070
134529828070,W-0,404,13579,134529828070
134529828070,R-0,218,864,134483328070
134529828070,R-0,11142,11732,134483328070
134529828070,R-0,21982,22529,134529828070
134529828070,R-1,2285,3129,134483328070
134529828070,R-1,13688,14384,134529828070
134529828070,R-2,4152,4768,134483328070
134529828070,R-2,15037,15558,134529828070
134529828070,R-3,6267,7025,134483328070
134529828070,R-3,17219,17778,134529828070
134529828070,R-4,8175,8765,134483328070
134529828070,R-4,19009,19517,134529828070
134530328070,W-0,222,3558,134530328070
134530328070,R-0,600,1265,134525828070
134530328070,R-0,11500,12236,134530328070
134530328070,R-1,2182,2888,134530328070
134530328070,R-2,4223,4887,134530328070
134530328070,R-3,6182,6776,134530328070
134530328070,R-4,8188,8928,134530328070
134530828070,W-0,536,4051,134530828070
134530828070,R-0,819,2132,134508828070
134530828070,R-0,15078,15754,134530828070
134530828070,R-1,2558,3729,134530828070
134530828070,R-2,4542,5245,134530828070
134530828070,R-3,6156,6746,134530828070
134530828070,R-4,8244,8973,134530828070
134531328070,W-0,205,3889,134531328070
134531328070,R-0,295,1021,134527328070
134531328070,R-0,11251,11847,134531328070
134531328070,R-1,2197,2926,134531328070
134531328070,R-2,4197,4967,134531328070
134531328070,R-3,6205,6763,134531328070
134531328070,R-4,8207,8791,134531328070
134532828070,W-0,244,3615,134532828070
134532828070,R-0,530,1457,134530328070
134532828070,R-0,11736,12406,134532828070
134532828070,R-1,2185,2813,134532828070
134532828070,R-2,4206,4890,134532828070
