Time(micros),Thread, Start(micros),Delay (micros),Value
135661624463,W-0,206,4171,135661624463
135661624463,R-0,2675,7821,135661624463
135661624463,R-1,2231,3378,135661624463
135661624463,R-2,4328,7762,135661624463
135661624463,R-3,6287,7203,135661624463
135661624463,R-4,8190,10958,135661624463
135662124463,W-0,167,7141,135662124463
135662124463,R-0,230,1387,135661624463
135662124463,R-0,11644,12349,135662124463
135662124463,R-1,2190,3148,135661624463
135662124463,R-1,13427,14304,135661624463
135662124463,R-1,24514,27483,135662124463
135662124463,R-2,4239,5178,135662124463
135662124463,R-3,6186,9874,135662124463
135662124463,R-4,8269,9498,135662124463
135663124463,W-0,200,2753,135663124463
135663124463,R-0,532,1427,135662124463
135663124463,R-0,11659,12376,135663124463
135663124463,R-1,2195,3220,135663124463
135663124463,R-2,4207,5035,135663124463
135663124463,R-3,6215,6867,135663124463
135663124463,R-4,8190,8934,135663124463
135664124463,W-0,239,6169,135664124463
135664124463,R-0,578,1262,135663124463
135664124463,R-0,11474,12150,135664124463
135664124463,R-1,2226,2993,135664124463
135664124463,R-2,4188,4860,135664124463
135664124463,R-3,6311,7064,135664124463
135664124463,R-4,8194,9128,135664124463
135665124463,W-0,209,4197,135665124463
135665124463,R-0,652,1660,135663624463
135665124463,R-0,11910,12739,135665124463
135665124463,R-1,2177,3828,135663624463
135665124463,R-1,14125,14868,135665124463
135665124463,R-2,4341,5204,135665124463
135665124463,R-3,6206,7254,135665124463
135665124463,R-4,8188,8854,135665124463
135668624463,W-0,214,7239,135668624463
135668624463,R-0,392,1178,135667624463
135668624463,R-0,11431,12319,135668624463
135668624463,R-1,2190,2968,135668624463
135668624463,R-2,4190,4945,135668624463
135668624463,R-3,6230,6902,135668624463
135668624463,R-4,8204,8831,135668624463
135669124463,W-0,306,3758,135669124463
135669124463,R-0,457,1517,135666624463
135669124463,R-0,11839,12684,135669124463
135669124463,R-1,2191,3269,135669124463
135669124463,R-2,4194,5057,135669124463
135669124463,R-3,6196,7041,135669124463
135669124463,R-4,8248,9133,135669124463
135670124463,W-0,261,3753,135670124463
135670124463,R-0,608,1627,135664624463
135670124463,R-0,11878,12647,135670124463
135670124463,R-1,2150,2872,135670124463
135670124463,R-2,4179,4918,135670124463
135670124463,R-3,6183,6997,135670124463
135670124463,R-4,8189,8969,135670124463
135674124463,W-0,534,28296,135674124463
135674124463,R-0,256,1104,135669124463
135674124463,R-0,11378,12379,135674124463
135674124463,R-1,2233,3012,135674124463
135674124463,R-2,4185,4891,135674124463
135674124463,R-3,6201,6883,135674124463
135674124463,R-4,8210,8995,135674124463
135676624463,W-0,456,4171,135676624463
135676624463,R-0,239,1031,135675624463
135676624463,R-0,11331,12073,135676624463
135676624463,R-1,2187,3078,135676624463
135676624463,R-2,4388,5348,135676624463
135676624463,R-3,6210,6934,135676624463
135676624463,R-4,8226,9169,135676624463
135677624463,W-0,214,4528,135677624463
135677624463,R-0,505,1527,135668624463
135677624463,R-0,12001,12712,135677624463
135677624463,R-1,2278,3031,135668624463
135677624463,R-1,13246,13773,135677624463
135677624463,R-2,4245,4864,135677624463
135677624463,R-3,6225,6870,135677624463
135677624463,R-4,8203,8856,135677624463
135679124463,W-0,164,3587,135679124463
135679124463,R-0,426,1271,135670624463
135679124463,R-0,11525,12180,135679124463
135679124463,R-1,2251,3044,135670624463
135679124463,R-1,13276,13975,135679124463
135679124463,R-2,4191,4997,135670624463
135679124463,R-2,15240,15958,135679124463
135679124463,R-3,6189,6932,135679124463
135679124463,R-4,8209,8989,135670624463
135679124463,R-4,19224,19872,135679124463
135679624463,W-0,358,3697,135679624463
135679624463,R-0,634,1456,135662624463
135679624463,R-0,11717,12587,135679624463
135679624463,R-1,2198,2896,135679624463
135679624463,R-2,4228,4945,135679624463
135679624463,R-3,6193,6822,135679624463
135679624463,R-4,8224,8851,135679624463
135680124463,W-0,205,3860,135680124463
135680124463,R-0,498,1517,135667124463
135680124463,R-0,11809,12503,135667124463
135680124463,R-0,22790,23602,135680124463
135680124463,R-1,2247,3043,135667124463
135680124463,R-1,13311,13962,135667124463
135680124463,R-1,24153,25085,135680124463
135680124463,R-2,4193,4941,135667124463
135680124463,R-2,15225,15942,135680124463
135680124463,R-3,6182,7006,135680124463
135680124463,R-4,8205,9039,135680124463
135683124463,W-0,243,3664,135683124463
135683124463,R-0,509,1375,135666124463
135683124463,R-0,11635,12347,135683124463
135683124463,R-1,2206,2974,135683124463
135683124463,R-2,4218,5025,135683124463
135683124463,R-3,6190,6928,135683124463
135683124463,R-4,8285,8975,135683124463
135683624463,W-0,253,72422,135683624463
135683624463,R-0,302,1115,135682124463
135683624463,R-0,11374,12018,135683624463
135683624463,R-1,2207,2980,135683624463
135683624463,R-2,4238,4835,135683624463
135683624463,R-3,6208,6874,135683624463
135683624463,R-4,8295,9066,135683624463
135684124463,W-0,612,5115,135684124463
135684124463,R-0,345,1638,135677124463
135684124463,R-0,12077,12823,135684124463
135684124463,R-1,2213,2936,135677124463
135684124463,R-1,13192,13888,135684124463
135684124463,R-2,4198,4794,135684124463
135684124463,R-3,6193,6931,135684124463
135684124463,R-4,8192,8794,135684124463
135684624463,W-0,167,4026,135684624463
135684624463,R-0,427,1307,135679124463
135684624463,R-0,11647,12292,135684624463
135684624463,R-1,2211,2926,135684624463
135684624463,R-2,4241,4846,135684624463
135684624463,R-3,6164,6805,135684624463
135684624463,R-4,8230,8910,135684624463
135685624463,W-0,218,3670,135685624463
135685624463,R-0,491,1317,135681624463
135685624463,R-0,11599,12212,135685624463
135685624463,R-1,2230,2985,135685624463
135685624463,R-2,4321,4935,135685624463
135685624463,R-3,6193,6795,135685624463
135685624463,R-4,8211,8780,135685624463
135688624463,W-0,274,3692,135688624463
135688624463,R-0,332,1192,135680124463
135688624463,R-0,11473,12266,135688624463
135688624463,R-1,2217,2925,135688624463
135688624463,R-2,4191,4853,135688624463
135688624463,R-3,6236,6894,135688624463
135688624463,R-4,8224,8923,135688624463
135690624463,W-0,202,3769,135690624463
135690624463,R-0,454,1235,135687624463
135690624463,R-0,11500,12405,135690624463
135690624463,R-1,2191,2879,135690624463
135690624463,R-2,4223,5021,135690624463
135690624463,R-3,6191,6808,135687624463
135690624463,R-3,17094,17839,135690624463
135690624463,R-4,8191,8732,135687624463
135690624463,R-4,19022,19791,135687624463
135690624463,R-4,30045,30788,135690624463
135691124463,W-0,212,5184,135691124463
135691124463,R-0,499,1344,135665124463
135691124463,R-0,11630,12214,135691124463
135691124463,R-1,2203,2876,135665124463
135691124463,R-1,13124,13702,135691124463
135691124463,R-2,4212,4819,135691124463
135691124463,R-3,6213,6798,135691124463
135691124463,R-4,8191,8773,135691124463
135691624463,W-0,229,3645,135691624463
135691624463,R-0,495,1222,135672624463
135691624463,R-0,11525,12203,135691624463
135691624463,R-1,2213,2905,135691624463
135691624463,R-2,4229,4984,135691624463
135691624463,R-3,6185,6894,135691624463
135691624463,R-4,8202,8911,135691624463
135693124463,W-0,252,5844,135693124463
135693124463,R-0,438,1486,135670124463
135693124463,R-0,11988,12737,135693124463
135693124463,R-1,2205,3200,135670124463
135693124463,R-1,13592,14279,135693124463
135693124463,R-2,4234,5015,135693124463
135693124463,R-3,6212,7126,135693124463
135693124463,R-4,8193,8980,135693124463
135693624463,W-0,225,3793,135693624463
135693624463,R-0,495,1955,135690624463
135693624463,R-0,12222,12824,135693624463
135693624463,R-1,2233,2963,135693624463
135693624463,R-2,4206,4888,135693624463
135693624463,R-3,6210,6868,135693624463
135693624463,R-4,8232,8833,135693624463
135696124463,W-0,226,3874,135696124463
135696124463,R-0,488,1272,135689624463
135696124463,R-0,11533,12736,135696124463
135696124463,R-1,2281,3087,135696124463
135696124463,R-2,4187,5036,135696124463
135696124463,R-3,6219,7072,135689624463
135696124463,R-3,17440,18371,135689624463
135696124463,R-3,28629,29322,135696124463
