Time(micros),Thread, Start(micros),Delay (micros),Value
113628260184,W-0,206,2394,113628260184
113628260184,R-0,704,3008,113628260184
113628260184,R-1,2229,5705,113628260184
113628260184,R-2,4195,8125,113628260184
113628260184,R-3,6182,9125,113628260184
113628260184,R-4,8181,10759,113628260184
113628760184,W-0,158,67495,113628760184
113628760184,R-0,628,1759,113628760184
113628760184,R-1,2199,4563,113628760184
113628760184,R-2,4197,5018,113628760184
113628760184,R-3,6209,7309,113628760184
113628760184,R-4,8176,9267,113628760184
113629760184,W-0,175,1406,113629760184
113629760184,R-0,514,1656,113629760184
113629760184,R-1,2217,3089,113629760184
113629760184,R-2,4184,4896,113629760184
113629760184,R-3,6191,6973,113629760184
113629760184,R-4,8191,10939,113629760184
113630760184,W-0,186,11301,113630760184
113630760184,R-0,536,4773,113629760184
113630760184,R-0,15618,16294,113630760184
113630760184,R-1,2321,10547,113629760184
113630760184,R-1,20900,21747,113630760184
113630760184,R-2,4256,5094,113629760184
113630760184,R-2,15328,16048,113630760184
113630760184,R-3,6256,7103,113629760184
113630760184,R-3,17331,18063,113630760184
113630760184,R-4,8195,10963,113629760184
113630760184,R-4,21227,22016,113630760184
113631760184,W-0,647,2011,113631760184
113631760184,R-0,1148,2588,113630260184
113631760184,R-0,12871,13629,113631760184
113631760184,R-1,2210,3016,113630260184
113631760184,R-1,13258,13951,113631760184
113631760184,R-2,4195,4976,113631760184
113631760184,R-3,6212,7107,113631760184
113631760184,R-4,8189,9041,113631760184
113635260184,W-0,256,1811,113635260184
113635260184,R-0,731,1585,113634260184
113635260184,R-0,11860,12679,113635260184
113635260184,R-1,2223,3075,113635260184
113635260184,R-2,4194,5081,113635260184
113635260184,R-3,6241,7121,113635260184
113635260184,R-4,8206,8919,113635260184
113635760184,W-0,190,26966,113635760184
113635760184,R-0,490,1621,113635760184
113635760184,R-1,2193,3227,113635760184
113635760184,R-2,4292,5189,113635760184
113635760184,R-3,6194,7159,113635760184
113635760184,R-4,8222,9266,113633260184
113635760184,R-4,19509,20453,113635760184
113636760184,W-0,235,1519,113636760184
113636760184,R-0,527,1254,113631260184
113636760184,R-0,11530,12230,113636760184
113636760184,R-1,2202,2976,113636760184
113636760184,R-2,4209,5167,113636760184
113636760184,R-3,6187,7011,113636760184
113636760184,R-4,8190,8869,113636760184
113640760184,W-0,516,2058,113640760184
113640760184,R-0,244,1331,113635760184
113640760184,R-0,11576,12336,113640760184
113640760184,R-1,2215,3022,113635760184
113640760184,R-1,13276,13965,113640760184
113640760184,R-2,4190,4900,113640760184
113640760184,R-3,6172,7165,113640760184
113640760184,R-4,8189,8926,113640760184
113643260184,W-0,261,1564,113643260184
113643260184,R-0,529,1279,113642260184
113643260184,R-0,11523,12183,113643260184
113643260184,R-1,2189,2944,113643260184
113643260184,R-2,4217,4876,113643260184
113643260184,R-3,6218,7080,113643260184
113643260184,R-4,8206,8982,113643260184
113644260184,W-0,244,1883,113644260184
113644260184,R-0,737,1577,113635260184
113644260184,R-0,11915,12612,113644260184
113644260184,R-1,2209,2981,113644260184
113644260184,R-2,4219,4953,113644260184
113644260184,R-3,6207,6944,113644260184
113644260184,R-4,8272,9001,113644260184
113645760184,W-0,459,1480,113645760184
113645760184,R-0,227,1110,113637260184
113645760184,R-0,11393,12304,113645760184
113645760184,R-1,2194,2954,113645760184
113645760184,R-2,4202,5071,113645760184
113645760184,R-3,6190,6915,113645760184
113645760184,R-4,8207,9026,113645760184
113646260184,W-0,505,2731,113646260184
113646260184,R-0,360,1145,113629260184
113646260184,R-0,11346,12148,113646260184
