Time(micros),Thread, Start(micros),Delay (micros),Value
114818559309,W-0,194,1610,114818559309
114818559309,R-0,213,1126,114818059309
114818559309,R-0,11338,11969,114818559309
114818559309,R-1,2190,3497,114818559309
114818559309,R-2,4214,4964,114818559309
114818559309,R-3,6281,7051,114818559309
114818559309,R-4,8216,8924,114818559309
114819059309,W-0,462,4615,114819059309
114819059309,R-0,203,1198,114818559309
114819059309,R-0,11858,12601,114819059309
114819059309,R-1,2245,3200,114819059309
114819059309,R-2,4232,5080,114819059309
114819059309,R-3,6538,7414,114819059309
114819059309,R-4,8188,8891,114819059309
114820059309,W-0,174,1990,114820059309
114820059309,R-0,459,1785,114820059309
114820059309,R-1,2521,3463,114820059309
114820059309,R-2,4215,5196,114820059309
114820059309,R-3,6217,7002,114820059309
114820059309,R-4,8238,9139,114820059309
114821059309,W-0,239,1917,114821059309
114821059309,R-0,527,1590,114821059309
114821059309,R-1,2190,3017,114821059309
114821059309,R-2,4294,5097,114821059309
114821059309,R-3,6199,7071,114821059309
114821059309,R-4,8185,8885,114821059309
114822059309,W-0,240,1631,114822059309
114822059309,R-0,582,2217,114822059309
114822059309,R-1,2473,3362,114822059309
114822059309,R-2,4239,5114,114822059309
114822059309,R-3,6267,7279,114822059309
114822059309,R-4,8194,9213,114822059309
114825559309,W-0,299,1817,114825559309
114825559309,R-0,610,1506,114825559309
114825559309,R-1,2226,2986,114825559309
114825559309,R-2,4203,5057,114825559309
114825559309,R-3,6209,6946,114825559309
114825559309,R-4,8190,8889,114825559309
114826059309,W-0,221,1832,114826059309
114826059309,R-0,507,1580,114826059309
114826059309,R-1,2228,3020,114826059309
114826059309,R-2,4187,5038,114826059309
114826059309,R-3,6233,6937,114826059309
114826059309,R-4,8230,8981,114826059309
114827059309,W-0,388,1905,114827059309
114827059309,R-0,806,2201,114827059309
114827059309,R-1,2508,3399,114827059309
114827059309,R-2,4254,5056,114827059309
114827059309,R-3,6200,7124,114827059309
114827059309,R-4,8188,9056,114827059309
114831059309,W-0,562,1677,114831059309
114831059309,R-0,284,1120,114826059309
114831059309,R-0,11394,12031,114831059309
114831059309,R-1,2214,3100,114831059309
114831059309,R-2,4199,4951,114831059309
114831059309,R-3,6210,7075,114831059309
114831059309,R-4,8284,9224,114831059309
114833559309,W-0,226,1356,114833559309
114833559309,R-0,534,1520,114833559309
114833559309,R-1,2187,3077,114833559309
114833559309,R-2,4267,4902,114833559309
114833559309,R-3,6237,6936,114833559309
114833559309,R-4,8197,8973,114833559309
114834559309,W-0,216,1388,114834559309
114834559309,R-0,499,1555,114834559309
114834559309,R-1,2233,3054,114834559309
114834559309,R-2,4193,4894,114834559309
114834559309,R-3,6203,6890,114834559309
114834559309,R-4,8176,8823,114834559309
114836059309,W-0,213,3464,114836059309
114836059309,R-0,571,1379,114836059309
114836059309,R-1,2227,3835,114836059309
114836059309,R-2,4236,4935,114836059309
114836059309,R-3,6220,6912,114836059309
114836059309,R-4,8196,8862,114836059309
114836559309,W-0,218,1320,114836559309
114836559309,R-0,506,1566,114836559309
114836559309,R-1,2186,2975,114836559309
114836559309,R-2,4217,4876,114836559309
114836559309,R-3,6208,6912,114836559309
114836559309,R-4,8192,8841,114836559309
114837059309,W-0,479,1626,114837059309
114837059309,R-0,207,912,114824059309
114837059309,R-0,11220,11872,114837059309
114837059309,R-1,2220,3006,114837059309
114837059309,R-2,4224,5725,114837059309
114837059309,R-3,6198,6842,114837059309
114837059309,R-4,8158,8829,114837059309
114840059309,W-0,211,1541,114840059309
114840059309,R-0,603,1857,114840059309
114840059309,R-1,2236,2974,114840059309
114840059309,R-2,4218,4895,114840059309
114840059309,R-3,6200,6907,114840059309
114840059309,R-4,8187,8948,114840059309
114840559309,W-0,245,1556,114840559309
114840559309,R-0,245,1134,114839059309
114840559309,R-0,11349,11925,114840559309
114840559309,R-1,2207,2898,114840559309
114840559309,R-2,4211,4928,114840559309
114840559309,R-3,6227,6941,114840559309
114840559309,R-4,8268,8905,114840559309
114841059309,W-0,296,1966,114841059309
114841059309,R-0,823,1650,114841059309
114841059309,R-1,2304,3070,114841059309
114841059309,R-2,4194,4923,114841059309
114841059309,R-3,6212,6916,114841059309
114841059309,R-4,8197,8938,114841059309
114841559309,W-0,242,2047,114841559309
114841559309,R-0,294,1674,114841559309
114841559309,R-1,2349,3260,114841559309
114841559309,R-2,4372,5185,114841559309
114841559309,R-3,6249,7515,114841559309
114841559309,R-4,8301,9061,114841559309
114842559309,W-0,211,1296,114842559309
114842559309,R-0,519,1494,114842559309
114842559309,R-1,2221,2956,114842559309
114842559309,R-2,4228,4876,114842559309
114842559309,R-3,6215,6904,114842559309
114842559309,R-4,8195,8976,114842559309
114845559309,W-0,323,1847,114845559309
114845559309,R-0,585,1649,114845559309
114845559309,R-1,2237,2941,114845559309
114845559309,R-2,4192,4822,114845559309
114845559309,R-3,6213,6991,114845559309
114845559309,R-4,8272,8896,114845559309
114847559309,W-0,227,1678,114847559309
114847559309,R-0,525,1536,114847559309
114847559309,R-1,2262,3083,114847559309
114847559309,R-2,4251,4964,114847559309
114847559309,R-3,6233,6990,114847559309
114847559309,R-4,8272,9042,114847559309
114848059309,W-0,228,1313,114848059309
114848059309,R-0,508,1523,114848059309
114848059309,R-1,2214,3258,114848059309
114848059309,R-2,4228,4972,114848059309
114848059309,R-3,6248,6961,114848059309
114848059309,R-4,8215,8932,114848059309
114848559309,W-0,425,16282,114848559309
114848559309,R-0,213,944,114829559309
114848559309,R-0,11225,11843,114848559309
114848559309,R-1,2214,2980,114848559309
114848559309,R-2,4223,4879,114848559309
114848559309,R-3,6206,6882,114848559309
114848559309,R-4,8172,8859,114848559309
114850059309,W-0,214,1290,114850059309
114850059309,R-0,526,1463,114850059309
114850059309,R-1,2186,3057,114850059309
114850059309,R-2,4195,4868,114850059309
114850059309,R-3,6213,7299,114850059309
114850059309,R-4,8234,8833,114850059309
114850559309,W-0,219,6518,114850559309
114850559309,R-0,495,1371,114850559309
114850559309,R-1,2262,3079,114850559309
114850559309,R-2,4203,6019,114850559309
114850559309,R-3,6324,6952,114850559309
114850559309,R-4,8211,8952,114850559309
114853059309,W-0,206,1502,114853059309
114853059309,R-0,243,1031,114846559309
114853059309,R-0,11298,11960,114853059309
114853059309,R-1,2217,3029,114853059309
114853059309,R-2,4186,4838,114853059309
114853059309,R-3,6178,6957,114853059309
114853059309,R-4,8200,9148,114853059309
114854059309,W-0,207,1747,114854059309
114854059309,R-0,489,1530,114854059309
114854059309,R-1,2202,3076,114854059309
114854059309,R-2,4198,4936,114854059309
114854059309,R-3,6235,7057,114854059309
114854059309,R-4,8213,8969,114854059309
114854559309,W-0,239,1298,114854559309
114854559309,R-0,600,1549,114854559309
114854559309,R-1,2215,2819,114854559309
114854559309,R-2,4206,4830,114854559309
114854559309,R-3,6236,6896,114854559309
114854559309,R-4,8194,8908,114854559309
114856559309,W-0,230,1923,114856559309
114856559309,R-0,491,1661,114856559309
114856559309,R-1,2236,3082,114856559309
114856559309,R-2,4187,4877,114856559309
114856559309,R-3,6225,6890,114856559309
114856559309,R-4,8271,8943,114856559309
114857559309,W-0,630,1608,114857559309
114857559309,R-0,329,1218,114844059309
114857559309,R-0,11485,12109,114857559309
114857559309,R-1,2213,3018,114857559309
114857559309,R-2,4201,4912,114857559309
114857559309,R-3,6224,6886,114857559309
114857559309,R-4,8175,9015,114857559309
114858059309,W-0,473,1809,114858059309
114858059309,R-0,220,1189,114856559309
114858059309,R-0,11451,275154,114858059309
114858059309,R-1,2234,3106,114858059309
114858059309,R-2,4188,4836,114858059309
114858059309,R-3,6175,6941,114858059309
114858059309,R-4,8221,9040,114858059309
114859059309,W-0,256,5428,114859059309
114859059309,R-0,562,1548,114859059309
114859059309,R-1,2236,2867,114859059309
114859059309,R-2,4227,4846,114859059309
114859059309,R-3,6204,6860,114859059309
114859059309,R-4,8171,8875,114859059309
114860059309,W-0,263,1248,114860059309
114860059309,R-0,668,1445,114860059309
114860059309,R-1,2204,3409,114860059309
114860059309,R-2,4188,4833,114860059309
114860059309,R-3,6146,6829,114860059309
114860059309,R-4,8189,8870,114860059309
114860559309,W-0,219,1845,114860559309
114860559309,R-0,479,1609,114860559309
114860559309,R-1,2214,2961,114860559309
114860559309,R-2,4184,4909,114860559309
114860559309,R-3,6236,6976,114860559309
114860559309,R-4,8202,9044,114860559309
114862059309,W-0,232,1296,114862059309
114862059309,R-0,511,1525,114862059309
114862059309,R-1,2208,2837,114862059309
114862059309,R-2,4205,4876,114862059309
114862059309,R-3,6214,6878,114862059309
114862059309,R-4,8258,9035,114862059309
114863559309,W-0,214,1759,114863559309
114863559309,R-0,566,1427,114863559309
114863559309,R-1,2240,3005,114863559309
114863559309,R-2,4194,4953,114863559309
114863559309,R-3,6221,6930,114863559309
114863559309,R-4,8200,8920,114863559309
114864059309,W-0,514,1557,114864059309
114864059309,R-0,235,1060,114841559309
114864059309,R-0,11332,11953,114864059309
114864059309,R-1,2218,3029,114864059309
114864059309,R-2,4190,4896,114864059309
114864059309,R-3,6249,6875,114864059309
114864059309,R-4,8199,8924,114864059309
114866559309,W-0,240,1433,114866559309
114866559309,R-0,578,1619,114866559309
114866559309,R-1,2228,3079,114866559309
114866559309,R-2,4201,4889,114866559309
114866559309,R-3,6507,7229,114866559309
114866559309,R-4,8215,8985,114866559309
114867059309,W-0,243,1658,114867059309
114867059309,R-0,224,1110,114821059309
114867059309,R-0,11357,12316,114867059309
114867059309,R-1,2238,2963,114867059309
114867059309,R-2,4277,5054,114867059309
114867059309,R-3,6222,6890,114867059309
114867059309,R-4,8673,9515,114867059309
114867559309,W-0,498,74386,114867559309
114867559309,R-0,284,1148,114866059309
114867559309,R-0,11394,11955,114867559309
114867559309,R-1,2197,3015,114867559309
114867559309,R-2,4255,4913,114867559309
114867559309,R-3,6217,6890,114867559309
114867559309,R-4,8208,8911,114867559309
114868559309,W-0,494,1590,114868559309
114868559309,R-0,223,896,114855559309
114868559309,R-0,11143,11753,114868559309
114868559309,R-1,2268,2991,114868559309
114868559309,R-2,4191,4821,114868559309
114868559309,R-3,6215,6917,114868559309
114868559309,R-4,8248,9184,114868559309
114869059309,W-0,282,278658,114869059309
114869059309,R-0,585,1876,114869059309
114869059309,R-1,2253,3122,114869059309
114869059309,R-2,6540,7323,114869059309
114869059309,R-3,6259,7488,114869059309
114869059309,R-4,8201,8995,114869059309
114869559309,W-0,263,300000,114869559309
114869559309,R-0,215,1470,114842559309
114869559309,R-0,11801,12540,114869559309
114869559309,R-1,2253,3182,114869559309
114869559309,R-2,4212,5031,114869559309
114869559309,R-3,6225,7000,114869559309
114869559309,R-4,8217,9018,114869559309
114871059309,W-0,825081,null,null
114871059309,R-0,349,1268,114830559309
114871059309,R-0,11500,12555,114830559309
114871059309,R-0,22975,23909,114830559309
114871059309,R-0,34125,35354,114830559309
114871059309,R-0,45863,46538,114830559309
114871059309,R-0,56851,57648,114830559309
114871059309,R-0,68829,69483,114830559309
114871059309,R-0,82568,83069,114830559309
114871059309,R-0,93304,94014,114830559309
114871059309,R-0,104312,104945,114830559309
114871059309,R-0,115146,115816,114830559309
114871059309,R-0,126094,126786,114830559309
114871059309,R-0,137026,137521,114830559309
114871059309,R-0,147753,148280,114830559309
114871059309,R-0,158473,158951,114830559309
114871059309,R-0,169140,169964,114830559309
114871059309,R-0,180169,180852,114830559309
114871059309,R-0,191054,191870,114830559309
114871059309,R-0,202210,203023,114830559309
114871059309,R-0,213195,213893,114830559309
114871059309,R-0,224127,224940,114830559309
114871059309,R-0,235251,235962,114830559309
114871059309,R-0,246151,246864,114830559309
114871059309,R-0,257012,257598,114830559309
114871059309,R-0,267767,268366,114830559309
114871059309,R-0,278635,279284,114830559309
114871059309,R-0,289461,290315,114830559309
114871059309,R-0,300503,301171,114830559309
114871059309,R-0,311351,312015,114830559309
114871059309,R-0,322294,323004,114830559309
114871059309,R-0,333152,333764,114830559309
114871059309,R-0,343952,344447,114830559309
114871059309,R-0,354628,355337,114830559309
114871059309,R-0,365506,366158,114830559309
114871059309,R-0,376385,377090,114830559309
114871059309,R-0,387260,387825,114830559309
114871059309,R-0,398178,398682,114830559309
114871059309,R-0,408964,410035,114830559309
114871059309,R-0,420293,420820,114830559309
114871059309,R-0,431039,431529,114830559309
114871059309,R-0,441735,442393,114830559309
114871059309,R-0,452582,453075,114830559309
114871059309,R-0,463915,464506,114830559309
114871059309,R-0,474945,475476,114830559309
114871059309,R-0,486012,486859,114830559309
114871059309,R-0,497048,497748,114830559309
114871059309,R-0,507813,508378,114830559309
114871059309,R-0,518448,518901,114830559309
114871059309,R-0,529468,530343,114830559309
114871059309,R-0,540566,541611,114830559309
114871059309,R-0,551825,552411,114830559309
114871059309,R-0,563481,564068,114830559309
114871059309,R-0,574524,575004,114830559309
114871059309,R-0,585425,586068,114830559309
114871059309,R-0,596241,596751,114830559309
114871059309,R-0,607079,607881,114830559309
114871059309,R-0,618248,618801,114830559309
114871059309,R-0,629080,629615,114830559309
114871059309,R-0,639955,640440,114830559309
114871059309,R-0,650604,651036,114830559309
114871059309,R-0,661349,661849,114830559309
114871059309,R-0,672119,672637,114830559309
114871059309,R-0,682808,683339,114830559309
114871059309,R-0,693519,694092,114830559309
114871059309,R-0,704377,704861,114830559309
114871059309,R-0,715083,715592,114830559309
114871059309,R-0,725992,726612,114830559309
114871059309,R-0,737166,737828,114830559309
114871059309,R-0,748048,748512,114830559309
114871059309,R-0,758748,759376,114830559309
114871059309,R-0,770003,770831,114830559309
114871059309,R-0,781230,781781,114830559309
114871059309,R-0,791952,792432,114830559309
114871059309,R-0,802622,803214,114830559309
114871059309,R-0,813436,813990,114830559309
114871059309,R-0,826615,831474,114830559309
114871059309,R-0,849425,856899,114830559309
114871059309,R-0,872137,874501,114830559309
114871059309,R-0,896545,896998,114830559309
114871059309,R-0,909402,909878,114830559309
114871059309,R-0,924460,925070,114830559309
114871059309,R-0,936951,937596,114830559309
114871059309,R-0,947855,948322,114830559309
114871059309,R-0,958514,958985,114830559309
114871059309,R-0,969120,969611,114830559309
114871059309,R-0,979677,980297,114830559309
114871059309,R-0,990415,990903,114830559309
114871059309,R-0,1001872,1002450,114830559309
114871059309,R-0,1012490,1013047,114830559309
114871059309,R-0,1023111,1023571,114830559309
114871059309,R-0,1033804,1034286,114830559309
114871059309,R-0,1044528,1044988,114830559309
114871059309,R-0,1055182,1055672,114830559309
114871059309,R-0,1065870,1066397,114830559309
114871059309,R-0,1076615,1077168,114830559309
114871059309,R-0,1087304,1087885,114830559309
114871059309,R-0,1098042,1098580,114830559309
114871059309,R-0,1108838,1109544,114830559309
114871059309,R-0,1119770,1120317,114830559309
114871059309,R-0,1130496,1130940,114830559309
114871059309,R-0,1141126,1141597,114830559309
114871059309,R-0,1151768,1152225,114830559309
114871059309,R-0,1162413,1162887,114830559309
114871059309,R-0,1173056,1173495,114830559309
114871059309,R-0,1183664,1184154,114830559309
114871059309,R-0,1194319,1194820,114830559309
114871059309,R-0,1205031,1205636,114830559309
114871059309,R-0,1215778,1216354,114830559309
114871059309,R-0,1226562,1226987,114830559309
114871059309,R-0,1237057,1237805,114830559309
114871059309,R-0,1247881,1248340,114830559309
114871059309,R-0,1258852,1259744,114830559309
114871059309,R-0,1270049,1270830,114830559309
114871059309,R-0,1280984,1281556,114830559309
114871059309,R-0,1291760,1292360,114830559309
114871059309,R-0,1302564,1303021,114830559309
114871059309,R-0,1313182,1313760,114830559309
114871059309,R-0,1323927,1324340,114830559309
114871059309,R-0,1334591,1335091,114830559309
114871059309,R-0,1345257,1345785,114830559309
