Time(micros),Thread, Start(micros),Delay (micros),Value
116008260623,W-0,270,2293,116008260623
116008260623,R-0,604,1494,116007760623
116008260623,R-0,11901,12834,116008260623
116008260623,R-1,2183,3115,116008260623
116008260623,R-2,4202,5090,116008260623
116008260623,R-3,6205,7147,116008260623
116008260623,R-4,8245,9158,116008260623
116008760623,W-0,204,1960,116008760623
116008760623,R-0,195,1042,116008260623
116008760623,R-0,11357,12340,116008760623
116008760623,R-1,2184,2982,116008760623
116008760623,R-2,4185,4953,116008760623
116008760623,R-3,6188,7061,116008760623
116008760623,R-4,8273,9438,116008760623
116009760623,W-0,201,260755,116009760623
116009760623,R-0,590,1814,116009760623
116009760623,R-1,2264,3227,116009760623
116009760623,R-2,4282,5141,116009760623
116009760623,R-3,6225,7068,116009760623
116009760623,R-4,8200,9094,116009760623
116010760623,W-0,540,2146,116010760623
116010760623,R-0,211,1213,116009760623
116010760623,R-0,11484,12221,116010760623
116010760623,R-1,2291,3070,116010760623
116010760623,R-2,4190,4979,116010760623
116010760623,R-3,6221,6968,116010760623
116010760623,R-4,8476,9472,116010760623
116011760623,W-0,9852,10865,116011760623
116011760623,R-0,206,1110,116010260623
116011760623,R-0,11368,12619,116011760623
116011760623,R-1,2285,3063,116010260623
116011760623,R-1,13284,13966,116011760623
116011760623,R-2,4192,4935,116010260623
116011760623,R-2,15153,15733,116011760623
116011760623,R-3,6237,7046,116010260623
116011760623,R-3,17260,17906,116011760623
116011760623,R-4,8275,9072,116010260623
116011760623,R-4,19297,19934,116011760623
116015260623,W-0,239,1971,116015260623
116015260623,R-0,552,1727,116015260623
116015260623,R-1,2170,2920,116015260623
116015260623,R-2,4203,4841,116015260623
116015260623,R-3,6253,7128,116015260623
116015260623,R-4,8192,8886,116015260623
116015760623,W-0,517,2465,116015760623
116015760623,R-0,227,2022,116015760623
116015760623,R-1,2240,3165,116015760623
116015760623,R-2,4172,4933,116015760623
116015760623,R-3,6209,6919,116015760623
116015760623,R-4,8199,8826,116015760623
116016760623,W-0,240,8669,116016760623
116016760623,R-0,563,1557,116016760623
116016760623,R-1,2149,2788,116016760623
116016760623,R-2,4246,4988,116016760623
116016760623,R-3,6191,7026,116016760623
116016760623,R-4,8322,9140,116016760623
116020760623,W-0,240,12052,116020760623
116020760623,R-0,265,1210,116015760623
116020760623,R-0,11471,12216,116020760623
116020760623,R-1,2205,2979,116020760623
116020760623,R-2,4194,4922,116020760623
116020760623,R-3,6236,6959,116020760623
116020760623,R-4,8206,8836,116020760623
116023260623,W-0,200,1949,116023260623
116023260623,R-0,534,1631,116023260623
116023260623,R-1,2264,3199,116023260623
116023260623,R-2,4242,5003,116023260623
116023260623,R-3,6218,6980,116023260623
116023260623,R-4,8247,8976,116023260623
116024260623,W-0,174,1659,116024260623
116024260623,R-0,472,1464,116024260623
116024260623,R-1,2182,2819,116024260623
116024260623,R-2,4206,4885,116024260623
116024260623,R-3,6199,6883,116024260623
116024260623,R-4,8252,9089,116024260623
116025760623,W-0,208,1852,116025760623
116025760623,R-0,519,1654,116025760623
116025760623,R-1,2177,2895,116025760623
116025760623,R-2,4212,4820,116025760623
116025760623,R-3,6192,6830,116025760623
116025760623,R-4,8179,9176,116025760623
116026260623,W-0,234,1351,116026260623
116026260623,R-0,518,1566,116026260623
116026260623,R-1,2189,2833,116026260623
116026260623,R-2,4216,4833,116026260623
116026260623,R-3,6190,6785,116026260623
116026260623,R-4,8248,8998,116026260623
116026760623,W-0,223,7843,116026760623
116026760623,R-0,509,1523,116026760623
116026760623,R-1,2188,3058,116026760623
116026760623,R-2,4193,4956,116026760623
116026760623,R-3,6209,6836,116026760623
116026760623,R-4,8177,8960,116026760623
116029760623,W-0,225,1846,116029760623
116029760623,R-0,574,1685,116029760623
116029760623,R-1,2433,3368,116029760623
116029760623,R-2,4206,4871,116029760623
116029760623,R-3,6200,7050,116029760623
116029760623,R-4,8188,8913,116029760623
116030260623,W-0,246,1797,116030260623
116030260623,R-0,464,1248,116028760623
116030260623,R-0,11544,12225,116030260623
116030260623,R-1,2280,3089,116030260623
116030260623,R-2,4199,4841,116030260623
116030260623,R-3,6142,7024,116030260623
116030260623,R-4,8312,9159,116030260623
116030760623,W-0,209,1775,116030760623
116030760623,R-0,504,1588,116030760623
116030760623,R-1,2228,3049,116030760623
116030760623,R-2,4295,5068,116030760623
116030760623,R-3,6194,7053,116030760623
116030760623,R-4,8176,8923,116030760623
116031260623,W-0,203,1248,116031260623
116031260623,R-0,496,1476,116031260623
116031260623,R-1,2192,2777,116031260623
116031260623,R-2,4197,4859,116031260623
116031260623,R-3,6206,6747,116031260623
116031260623,R-4,8209,8756,116031260623
116032260623,W-0,225,1605,116032260623
116032260623,R-0,233,1098,116028260623
116032260623,R-0,11315,11901,116032260623
116032260623,R-1,2461,3371,116032260623
116032260623,R-2,4180,4795,116032260623
116032260623,R-3,6230,6831,116032260623
116032260623,R-4,8229,8934,116032260623
116035260623,W-0,234,1577,116035260623
116035260623,R-0,556,1758,116035260623
116035260623,R-1,2188,2882,116035260623
116035260623,R-2,4195,4848,116035260623
116035260623,R-3,6192,6849,116035260623
116035260623,R-4,8199,8958,116035260623
116037260623,W-0,206,1597,116037260623
116037260623,R-0,548,1899,116037260623
116037260623,R-1,2174,2839,116037260623
116037260623,R-2,4251,4954,116037260623
116037260623,R-3,6194,6891,116037260623
116037260623,R-4,8197,9116,116037260623
116037760623,W-0,228,1225,116037760623
116037760623,R-0,510,1477,116037760623
116037760623,R-1,2166,3025,116037760623
116037760623,R-2,4184,4763,116037760623
116037760623,R-3,6181,6772,116037760623
116037760623,R-4,8226,8933,116037760623
116038260623,W-0,229,2535,116038260623
116038260623,R-0,543,1844,116038260623
116038260623,R-1,2213,2928,116038260623
116038260623,R-2,4187,4736,116038260623
116038260623,R-3,6197,7249,116038260623
116038260623,R-4,8213,9064,116038260623
116039760623,W-0,197,18086,116039760623
116039760623,R-0,533,1451,116039760623
116039760623,R-1,2209,3062,116039760623
116039760623,R-2,4193,4856,116039760623
116039760623,R-3,6206,6833,116039760623
