Time(micros),Thread, Start(micros),Delay (micros),Value
117198045793,W-0,258,2008,117198045793
117198045793,R-0,151,1258,117197545793
117198045793,R-0,11582,12384,117198045793
117198045793,R-1,2291,5601,117198045793
117198045793,R-2,4203,5465,117198045793
117198045793,R-3,6269,7177,117198045793
117198045793,R-4,8264,10954,117198045793
117198545793,W-0,747,2140,117198545793
117198545793,R-0,431,2414,117198045793
117198545793,R-0,12643,13448,117198545793
117198545793,R-1,2248,3897,117198045793
117198545793,R-1,14150,14874,117198545793
117198545793,R-2,4186,5555,117198545793
117198545793,R-3,6241,9597,117198545793
117198545793,R-4,8292,9335,117198545793
117199545793,W-0,202,1608,117199545793
117199545793,R-0,386,1565,117198545793
117199545793,R-0,11809,12725,117199545793
117199545793,R-1,2172,3179,117198545793
117199545793,R-1,13437,14184,117199545793
117199545793,R-2,4166,5024,117199545793
117199545793,R-3,6186,7028,117199545793
117199545793,R-4,8296,9144,117199545793
117200545793,W-0,344,1488,117200545793
117200545793,R-0,441,1259,117199545793
117200545793,R-0,11831,12750,117200545793
117200545793,R-1,2193,3198,117199545793
117200545793,R-1,13428,14100,117199545793
117200545793,R-1,24423,26437,117199545793
117200545793,R-1,36740,37722,117199545793
117200545793,R-1,47982,48758,117200545793
117200545793,R-2,4269,5116,117199545793
117200545793,R-2,15339,16360,117200545793
117200545793,R-3,6280,7310,117200545793
117200545793,R-4,8340,9359,117199545793
117200545793,R-4,19661,20576,117200545793
117201545793,W-0,550,2527,117201545793
117201545793,R-0,242,1145,117200045793
117201545793,R-0,11416,12289,117201545793
117201545793,R-1,2199,3301,117201545793
117201545793,R-2,4252,5083,117201545793
117201545793,R-3,6178,6986,117201545793
117201545793,R-4,8182,9044,117201545793
117205045793,W-0,250,1673,117205045793
117205045793,R-0,522,1387,117204045793
117205045793,R-0,11665,12798,117205045793
117205045793,R-1,2181,3330,117205045793
117205045793,R-2,4328,5263,117205045793
117205045793,R-3,6191,7014,117204045793
117205045793,R-3,17275,18017,117205045793
117205045793,R-4,8194,9159,117204045793
117205045793,R-4,19431,20171,117205045793
117205545793,W-0,205,1749,117205545793
117205545793,R-0,443,1388,117203045793
117205545793,R-0,11677,12414,117205545793
117205545793,R-1,2203,2931,117205545793
117205545793,R-2,4311,5131,117205545793
117205545793,R-3,6191,6944,117205545793
117205545793,R-4,8250,9099,117205545793
117206545793,W-0,267,1901,117206545793
117206545793,R-0,393,1503,117201045793
117206545793,R-0,12049,13115,117206545793
117206545793,R-1,2173,3262,117206545793
117206545793,R-2,4238,11527,117206545793
117206545793,R-3,11711,12577,117206545793
117206545793,R-4,11361,12889,117206545793
117210545793,W-0,259,1660,117210545793
117210545793,R-0,419,1347,117205545793
117210545793,R-0,11622,12951,117210545793
117210545793,R-1,2186,3175,117210545793
117210545793,R-2,4183,4913,117210545793
117210545793,R-3,6204,6966,117210545793
117210545793,R-4,8195,8979,117210545793
117213045793,W-0,269,1731,117213045793
117213045793,R-0,372,1318,117212045793
117213045793,R-0,11704,12401,117213045793
117213045793,R-1,2165,3057,117213045793
117213045793,R-2,4268,5462,117213045793
117213045793,R-3,6197,7049,117213045793
117213045793,R-4,8205,8985,117213045793
117214045793,W-0,270,1862,117214045793
117214045793,R-0,473,1470,117205045793
117214045793,R-0,11802,12470,117214045793
117214045793,R-1,2189,3119,117214045793
117214045793,R-2,4199,4982,117214045793
117214045793,R-3,6246,6949,117214045793
117214045793,R-4,8277,9093,117214045793
117215545793,W-0,331,165739,117215545793
117215545793,R-0,394,1078,117207045793
117215545793,R-0,11363,12051,117207045793
117215545793,R-0,22327,23038,117207045793
117215545793,R-0,33337,34092,117207045793
117215545793,R-0,44350,45070,117207045793
117215545793,R-0,55306,56139,117207045793
117215545793,R-0,66414,67272,117215545793
117215545793,R-1,2193,2969,117207045793
117215545793,R-1,13301,13974,117215545793
117215545793,R-2,4244,4937,117215545793
117215545793,R-3,6196,6894,117215545793
117215545793,R-4,8293,8978,117215545793
117216045793,W-0,327,1689,117216045793
117216045793,R-0,591,1470,117199045793
117216045793,R-0,12012,12918,117216045793
117216045793,R-1,2201,3127,117216045793
117216045793,R-2,4189,5176,117216045793
117216045793,R-3,6241,7051,117216045793
117216045793,R-4,8382,9374,117216045793
117216545793,W-0,290,1293,117216545793
117216545793,R-0,632,1572,117203545793
117216545793,R-0,11848,12533,117216545793
117216545793,R-1,2166,2826,117203545793
117216545793,R-1,13070,13660,117216545793
117216545793,R-2,4199,4911,117216545793
117216545793,R-3,6197,6869,117216545793
117216545793,R-4,8175,8995,117216545793
117219545793,W-0,284,1883,117219545793
117219545793,R-0,607,1596,117202545793
117219545793,R-0,11860,12569,117219545793
117219545793,R-1,2182,3259,117219545793
117219545793,R-2,4189,5126,117219545793
117219545793,R-3,6297,7323,117219545793
117219545793,R-4,8753,9509,117219545793
117220045793,W-0,282,1695,117220045793
117220045793,R-0,553,1400,117218545793
117220045793,R-0,11669,12357,117220045793
117220045793,R-1,2200,2844,117220045793
117220045793,R-2,4190,4997,117220045793
117220045793,R-3,6256,7106,117220045793
117220045793,R-4,8203,8882,117220045793
117220545793,W-0,255,1507,117220545793
117220545793,R-0,376,1192,117213545793
117220545793,R-0,11474,12177,117220545793
117220545793,R-1,2173,2834,117213545793
117220545793,R-1,13103,13860,117220545793
117220545793,R-2,4175,4886,117213545793
117220545793,R-2,15149,16041,117220545793
117220545793,R-3,6317,7054,117213545793
117220545793,R-3,17299,17940,117220545793
117220545793,R-4,8195,8896,117213545793
117220545793,R-4,19195,19962,117220545793
117221045793,W-0,188,11996,117221045793
117221045793,R-0,451,1371,117215545793
117221045793,R-0,11669,12317,117221045793
117221045793,R-1,2182,2929,117215545793
117221045793,R-1,13188,13939,117221045793
117221045793,R-2,4265,5349,117221045793
117221045793,R-3,6186,6897,117221045793
