Time(micros),Thread, Start(micros),Delay (micros),Value
118388926706,W-0,205,1922,118388926706
118388926706,R-0,909,1693,118388426706
118388926706,R-0,11975,14866,118388926706
118388926706,R-1,2195,3098,118388426706
118388926706,R-1,13382,14583,118388926706
118388926706,R-2,4166,4849,118388926706
118388926706,R-3,6223,11112,118388926706
118388926706,R-4,8264,10562,118388926706
118389426706,W-0,208,1971,118389426706
118389426706,R-0,786,1719,118388926706
118389426706,R-0,11978,12632,118389426706
118389426706,R-1,2228,3144,118388926706
118389426706,R-1,13403,14110,118388926706
118389426706,R-1,24365,25153,118389426706
118389426706,R-2,4210,6810,118389426706
118389426706,R-3,6205,7685,118388926706
118389426706,R-3,17998,18952,118389426706
118389426706,R-4,8199,9019,118389426706
118390426706,W-0,203,128046,118390426706
118390426706,R-0,566,1385,118389426706
118390426706,R-0,11657,12507,118390426706
118390426706,R-1,2174,3154,118390426706
118390426706,R-2,4211,5065,118390426706
118390426706,R-3,6226,7068,118390426706
118390426706,R-4,8182,9124,118390426706
118391426706,W-0,239,1445,118391426706
118391426706,R-0,195,938,118390426706
118391426706,R-0,11261,12042,118391426706
118391426706,R-1,2190,3145,118391426706
118391426706,R-2,4385,5590,118391426706
118391426706,R-3,6215,6976,118391426706
118391426706,R-4,8197,8921,118391426706
118392426706,W-0,225,1545,118392426706
118392426706,R-0,213,1172,118390926706
118392426706,R-0,11563,12206,118392426706
118392426706,R-1,2201,3183,118392426706
118392426706,R-2,4194,5147,118392426706
118392426706,R-3,6197,7146,118392426706
118392426706,R-4,8191,9025,118392426706
118395926706,W-0,95238,100821,118395926706
118395926706,R-0,265,1065,null
118395926706,R-0,11375,11982,null
118395926706,R-0,22157,22806,null
118395926706,R-0,33079,33913,null
118395926706,R-0,44103,45543,null
118395926706,R-0,62569,63289,null
118395926706,R-0,74387,75016,null
118395926706,R-0,85896,86983,null
118395926706,R-0,122629,126887,null
118395926706,R-0,137128,137694,null
118395926706,R-0,193390,199976,null
118395926706,R-0,211761,248580,null
118395926706,R-0,258775,260187,null
118395926706,R-0,301528,308239,null
118395926706,R-0,319007,320515,null
118395926706,R-0,331932,335195,null
118395926706,R-0,345469,350197,null
118395926706,R-0,361087,365479,null
118395926706,R-0,377451,378128,null
118395926706,R-0,388840,389609,null
118395926706,R-0,399975,401772,null
118395926706,R-0,413016,414099,null
118395926706,R-0,424465,425114,null
118395926706,R-0,435366,436010,null
118395926706,R-0,446235,447442,null
118395926706,R-0,457634,458396,null
118395926706,R-0,468690,469403,null
118395926706,R-0,479553,480219,null
118395926706,R-0,490376,491046,null
118395926706,R-0,502680,503176,null
118395926706,R-0,513613,514284,null
118395926706,R-0,524659,526522,null
118395926706,R-0,536745,537370,null
118395926706,R-0,547522,548050,null
118395926706,R-0,558225,559004,null
118395926706,R-0,569163,569747,null
118395926706,R-0,579931,580618,null
118395926706,R-0,590826,591569,null
118395926706,R-0,601765,602339,null
118395926706,R-0,612535,613221,null
118395926706,R-0,623446,623939,null
118395926706,R-0,634096,634766,null
118395926706,R-0,644929,645533,null
118395926706,R-0,655695,656227,null
118395926706,R-0,666380,667029,null
118395926706,R-0,677210,678040,null
118395926706,R-0,688236,688911,null
118395926706,R-0,699074,699781,null
118395926706,R-0,710110,711085,null
118395926706,R-0,722208,723144,null
118395926706,R-0,733502,734363,null
118395926706,R-0,744690,745461,null
118395926706,R-0,755647,756422,null
118395926706,R-0,766641,768155,null
118395926706,R-0,778321,779015,null
118395926706,R-0,789241,789928,null
118395926706,R-0,800190,800957,null
118395926706,R-0,811170,811975,null
118395926706,R-0,822146,822868,null
118395926706,R-0,833016,833594,null
118395926706,R-0,843711,844350,null
118395926706,R-0,854496,855263,null
118395926706,R-0,865435,866037,null
118395926706,R-0,876200,876894,null
118395926706,R-0,887051,887657,null
118395926706,R-0,897798,898438,null
118395926706,R-0,908602,909242,null
118395926706,R-0,919420,919979,null
118395926706,R-0,930134,930584,null
118395926706,R-0,940744,941491,null
118395926706,R-0,951817,952615,null
118395926706,R-0,963382,964013,null
118395926706,R-0,974177,975015,null
118395926706,R-0,985212,985874,null
118395926706,R-0,996040,996613,null
118395926706,R-0,1006791,1007367,null
118395926706,R-0,1017523,1018025,null
